Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
AARD	"[""AARD""]"	nACSNLQK7a	2026-05-25 10:00:00	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Aardvark Therapeutics, Inc. - AARD	ACCESSWIRE	12.55	NASDAQ	2026-05-25 10:00:00.610161	0.1263	0.1161	0.7576	0.0102	neutral	NO:sentiment_score
GRCE	"[""GRCE""]"	nACSrL5Tza	2026-05-25 10:00:04	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Grace Therapeutics, Inc. - GRCE	ACCESSWIRE	11.25	NASDAQ	2026-05-25 10:00:04.429515	0.1404	0.1317	0.7279	0.0087	neutral	NO:sentiment_score
BYRN	"[""BYRN""]"	nACSBkmRfa	2026-05-25 10:00:05	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Byrna Technologies Inc. - BYRN	ACCESSWIRE	17.76	NASDAQ	2026-05-25 10:00:05.954222	0.0992	0.0909	0.8099	0.0083	neutral	NO:sentiment_score
ANGI	"[""ANGI""]"	nACStb0FKa	2026-05-25 10:00:08	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Angi Inc. - ANGI	ACCESSWIRE	28.5	NASDAQ	2026-05-25 10:00:08.675135	0.0722	0.0878	0.84	-0.0156	neutral	NO:sentiment_score
GAIA	"[""GAIA""]"	nACSKcN9Ma	2026-05-25 10:00:09	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Gaia, Inc. - GAIA	ACCESSWIRE	17.95	NASDAQ	2026-05-25 10:00:09.164900	0.0948	0.081	0.8242	0.0138	neutral	NO:sentiment_score
SNBR	"[""SNBR""]"	nACSyF1jya	2026-05-25 10:00:09	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sleep Number Corporation - SNBR	ACCESSWIRE	18.68	NASDAQ	2026-05-25 10:00:09.998261	0.0942	0.0692	0.8365	0.025	neutral	NO:sentiment_score
VTSI	"[""VTSI""]"	nACS8f2T2a	2026-05-25 10:00:10	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of VirTra, Inc. - VTSI	ACCESSWIRE	10.86	NASDAQ	2026-05-25 10:00:10.345133	0.1149	0.1011	0.7841	0.0138	neutral	NO:sentiment_score
ENGN	"[""ENGN""]"	nACS75rTSa	2026-05-25 10:00:10	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of enGene Therapeutics Inc. - ENGN	ACCESSWIRE	30.51	NASDAQ	2026-05-25 10:00:10.366547	0.1345	0.0716	0.7939	0.0629	positive	NO:sentiment_score
BKKT	"[""BKKT""]"	nACSbx954a	2026-05-25 10:00:10	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Bakkt, Inc. - BKKT	ACCESSWIRE	30.15	NYSE	2026-05-25 10:00:10.407034	0.1281	0.1233	0.7486	0.0048	neutral	NO:sentiment_score
TLSI	"[""TLSI""]"	nACSf2kyxa	2026-05-25 11:00:03	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against TriSalus Life Sciences, Inc. (TLSI) and Encourages Stockholders to Learn More About the Investigation	ACCESSWIRE	41.43	NASDAQ	2026-05-25 11:00:03.044695	0.2535	0.068	0.6785	0.1855	positive	NO:sentiment_score
UHG	"[""UHG""]"	nACS0V4b8a	2026-05-25 11:00:05	UHG INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Reminds Investors of United Homes Group, Inc. to Contact the Firm Today!	ACCESSWIRE		NASDAQ	2026-05-25 11:00:05.430021	0.1423	0.0593	0.7984	0.0831	positive	NO:sentiment_score,Float
GAIA	"[""GAIA""]"	nACS20f10a	2026-05-25 11:00:07	Bronstein, Gewirtz & Grossman, LLC Encourages Gaia, Inc. (GAIA) Shareholders to Inquire about Securities Investigation	ACCESSWIRE	17.95	NASDAQ	2026-05-25 11:00:07.221592	0.077	0.0502	0.8727	0.0268	neutral	NO:sentiment_score
FCHL	"[""FCHL""]"	nGNX9qJzXB	2026-05-25 12:00:02	Bronstein, Gewirtz & Grossman LLC Urges Fitness Champs Holdings Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	0.38	NASDAQ	2026-05-25 12:00:02.911806	0.144	0.192	0.664	-0.048	neutral	NO:sentiment_score
SNBR	"[""SNBR""]"	nGNXqtMZQ	2026-05-25 12:09:19	SNBR Investors Have Opportunity to Join Sleep Number Corporation Fraud Investigation with the Schall Law Firm	Globe Newswire	18.68	NASDAQ	2026-05-25 12:09:19.392289	0.2359	0.0124	0.7517	0.2234	positive	NO:sentiment_score
VFS	"[""VFS""]"	nPnb83sgpa	2026-05-25 12:55:24	VINFAST NAMES MR. PHAM NHAT QUAN ANH AS CHAIRMAN OF THE BOARD OF DIRECTORS	PR Newswire	49.63	NASDAQ	2026-05-25 12:55:24.977706	0.0534	0.0232	0.9233	0.0302	neutral	NO:sentiment_score
VMAR	"[""VMAR""]"	nPn3JHrzfa	2026-05-25 16:30:00	Vision Marine Technologies Provides Operational Update on Nautical Ventures Platform	PR Newswire	1.71	NASDAQ	2026-05-25 16:30:00.791330	0.1054	0.024	0.8707	0.0814	positive	NO:sentiment_score
PHR	"[""PHR""]"	nPn3N5xl9a	2026-05-25 16:44:00	PHR Investors Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit	PR Newswire	46.89	NYSE	2026-05-25 16:44:00.548703	0.1267	0.0681	0.8052	0.0587	positive	NO:sentiment_score
III	"[""III""]"	nGNX64g26W	2026-05-25 17:10:20	Imperial Announces Normal Course Issuer Bid	Globe Newswire	33.4	TSX	2026-05-25 17:10:20.533803	0.1083	0.0404	0.8513	0.0679	positive	NO:sentiment_score
UHG	"[""UHG""]"	nACSWZsSYa	2026-05-25 18:00:05	Pomerantz LLP Reminds Shareholders with Losses on their Investment in United Homes Group, Inc.  of Class Action Lawsuit – UHG	ACCESSWIRE		NASDAQ	2026-05-25 18:00:05.059104	0.2308	0.5992	0.17	-0.3685	negative	NO:sentiment_score,Float
FCHL	"[""FCHL""]"	nACS4QSv1a	2026-05-25 18:00:07	Pomerantz LLP Issues Important Reminder to Investors in Fitness Champs Holdings Ltd.  of Class Action Lawsuit – FCHL	ACCESSWIRE	0.38	NASDAQ	2026-05-25 18:00:07.019525	0.2909	0.0472	0.6619	0.2437	positive	NO:sentiment_score
PHR	"[""PHR""]"	nACSShNF8a	2026-05-25 18:00:07	Pomerantz LLP Calls Attention to Class Action Filed Against Phreesia, Inc.  – PHR	ACCESSWIRE	46.89	NYSE	2026-05-25 18:00:07.658355	0.2407	0.1285	0.6308	0.1122	positive	NO:sentiment_score
BTO	"[""BTG"", ""BTO""]"	nGNXbS9GMT	2026-05-25 18:30:00	B2Gold Releases its Tenth Annual Responsible Mining Report and its Fifth Annual Climate Strategy Report	Globe Newswire	19.81	NYSE AMERICAN	2026-05-25 18:30:00.766642	0.0773	0.0217	0.901	0.0555	positive	NO:sentiment_score
BTG	"[""BTG"", ""BTO""]"	nGNXbS9GMT	2026-05-25 18:30:00	B2Gold Releases its Tenth Annual Responsible Mining Report and its Fifth Annual Climate Strategy Report	Globe Newswire	1260.0	NYSE AMERICAN	2026-05-25 18:30:00.767942	0.0773	0.0217	0.901	0.0555	positive	NO:sentiment_score,Float
PHR	"[""PHR""]"	nACSxdCdpa	2026-05-25 20:15:00	ROSEN, A RANKED AND LEADING LAW FIRM, Encourages Phreesia, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - PHR	ACCESSWIRE	46.89	NYSE	2026-05-25 20:15:00.733253	0.2323	0.0325	0.7352	0.1998	positive	NO:sentiment_score
