Symbol	Tickers	ID	Created	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
SCLX	"[""SCLX"", ""SCLXW""]"	nGNX3PXyNk	07:45:00.108	2026-06-12 07:45:00.255	Scilex Holding Company (“Scilex”) Confirms the Previously Announced Payment Date of June 15, 2026 for the Dividend of Semnur Pharmaceuticals, Inc. Common Stock to Holders of Scilex Common Stock and other Eligible Equity Securities	Globe Newswire	7.0	NASDAQ	8.7	14820.0	293.4043	2026-06-12 07:45:01.324152	0.1242	0.0252	0.8506	0.099	positive	BAD	accepted:1012	sentiment_bad_released	0.1964	0.1909	0.1084	0.3673	0.1231	2026-06-12 07:45:02.923266
SCLXW	"[""SCLX"", ""SCLXW""]"	nGNX3PXyNk	07:45:00.108	2026-06-12 07:45:00.255	Scilex Holding Company (“Scilex”) Confirms the Previously Announced Payment Date of June 15, 2026 for the Dividend of Semnur Pharmaceuticals, Inc. Common Stock to Holders of Scilex Common Stock and other Eligible Equity Securities	Globe Newswire	5.1865	NASDAQ		9097.2	265.5219	2026-06-12 07:45:01.325305	0.1242	0.0252	0.8506	0.099	positive	BAD	no_reply	sentiment_bad_released	0.1964	0.1909	0.1084	0.3673	0.1231	2026-06-12 07:45:06.302706
MASK	"[""MASK""]"	nGNX5BTyYJ	07:50:00.096	2026-06-12 07:50:00.217	3 E Network CEO Outlines Strategic Vision for Robotics, Highlighting Silicon Innovation and Edge AI	Globe Newswire	0.82	NASDAQ	2.27	212.7	264.58	2026-06-12 07:50:00.360604	0.2699	0.0179	0.7121	0.252	positive	OK	accepted:1014	sentiment_ack	0.3298	0.3684	0.3149	0.6678	0.3006	2026-06-12 07:50:01.000999
ATHR	"[""ATHR""]"	nGNX8fQ05F	07:58:36.092	2026-06-12 07:58:36.183	Aether Holdings, Inc. (ATHR) Investors Encouraged to Contact Johnson Fistel Regarding Investigation	Globe Newswire	4.12	NASDAQ	3.25	34200.0	216.1667	2026-06-12 07:58:36.382384	0.1608	0.02	0.8192	0.1407	positive	BAD	accepted:1015	sentiment_bad_released	-0.0375	-0.087	-0.0177	0.1066	0.0055	2026-06-12 07:58:36.747734
CVM	"[""CVM""]"	nBw3Z3LGpa	08:00:00.208	2026-06-12 08:00:00.385	CEL-SCI and Saudi Amarox to Conduct Signing Ceremony at BIO 2026 for Strategic Agreement to Advance Commercialization and Distribution of Multikine® in Saudi Arabia	Business Wire	12.6	NYSE AMERICAN	1.11	4003.6	695.8	2026-06-12 08:00:01.009061	0.7686	0.0112	0.2203	0.7574	positive	OK	accepted:1016	sentiment_ack	0.5273	0.6149	0.4807	0.8367	0.5001	2026-06-12 08:00:01.980474
PFSA	"[""PFSA""]"	nGNXYvbZ5	08:00:00.234	2026-06-12 08:00:00.512	Profusa Submits Response Package to GMED as Part of Ongoing CE Mark Review Process for Lumee® Oxygen Platform	Globe Newswire	4.6	NASDAQ	0.2723	397.6	649.6807	2026-06-12 08:00:01.579592	0.3127	0.0101	0.6772	0.3025	positive	OK	accepted:1017	sentiment_ack	0.3608	0.4793	0.2753	0.8125	0.3553	2026-06-12 08:00:02.607271
KLRS	"[""KLRS""]"	nGNX1YVNqr	08:00:00.366	2026-06-12 08:00:00.694	Kalaris to Present at Clinical Trials at the Summit 2026	Globe Newswire	7.9	NASDAQ	4.36	28500.0	801.8333	2026-06-12 08:00:01.906669	0.2334	0.0206	0.746	0.2128	positive	OK	accepted:1019	sentiment_ack	0.2097	0.213	0.1737	0.3263	0.1589	2026-06-12 08:00:02.633868
PXLW	"[""PXLW""]"	nPn7dh0G2a	08:00:12.524	2026-06-12 08:00:12.653	Pixelworks and CINITY Partner to Expand TrueCut Motion Ecosystem	PR Newswire	5.44	NASDAQ	6.97	10450.0	623.8621	2026-06-12 08:00:12.725290	0.3952	0.0147	0.5901	0.3804	positive	OK	accepted:1000	sentiment_ack	0.4379	0.5458	0.3844	0.8187	0.4408	2026-06-12 08:00:13.225493
OFAL	"[""OFAL""]"	nGNXc6Hl9f	08:11:00.086	2026-06-12 08:11:00.176	OFA Group Receives Additional 180-Day Nasdaq Compliance Period; Nasdaq Confirms Company Remains Compliant with All Continued Listing Standards Other Than the Minimum Bid Price Requirement	Globe Newswire	5.6395	NASDAQ	0.249	81.5	899.8607	2026-06-12 08:11:00.382528	0.7	0.019	0.281	0.6809	positive	OK	accepted:1018	sentiment_ack	0.1387	0.1955	0.0977	0.4818	0.1349	2026-06-12 08:11:00.762748
BYAH	"[""BYAH""]"	nGNX35Jk5k	08:20:00.106	2026-06-12 08:20:00.239	Park Ha Biological Technology Co., Ltd. announces strategic partnership with Star Plus Legend Group’s wholly-owned subsidiary to build an AI-powered skincare and health ecosystem and expand its healthcare reach	Globe Newswire	1.02	NASDAQ	1.05	41.1	304.2707	2026-06-12 08:20:00.449605	0.8206	0.01	0.1694	0.8105	positive	OK	accepted:1002	sentiment_ack	0.418	0.4918	0.3606	0.7298	0.3422	2026-06-12 08:20:00.980893
CMTL	"[""CMTL""]"	nBw6hrTsWa	08:30:00.238	2026-06-12 08:30:00.514	Comtech to Host Third Quarter Fiscal 2026 Earnings Conference Call on June 15, 2026	Business Wire	26.78	NASDAQ	4.59	9262.5	1441.8049	2026-06-12 08:30:02.710680	0.0775	0.032	0.8904	0.0455	neutral	BAD	accepted:1003	sentiment_bad_released	0.1549	0.148	0.0846	0.3065	0.0902	2026-06-12 08:30:03.337324
QUCY	"[""QUCY"", ""4TO""]"	nGNXZDrJN	08:30:00.371	2026-06-12 08:30:00.792	Quantum Cyber Terminates At-the-Market Facility, Citing Strengthened Financial Position and No Immediate Capital Needs	Globe Newswire	18.92	NASDAQ	1.9	114.8	368.5737	2026-06-12 08:30:02.826833	0.686	0.0342	0.2798	0.6518	positive	OK	accepted:1004	sentiment_ack	0.1772	0.2465	0.1257	0.6446	0.1734	2026-06-12 08:30:04.394401
4TO	"[""QUCY"", ""4TO""]"	nGNXZDrJN	08:30:00.371	2026-06-12 08:30:00.792	Quantum Cyber Terminates At-the-Market Facility, Citing Strengthened Financial Position and No Immediate Capital Needs	Globe Newswire		NASDAQ		44444.0	44444.0	2026-06-12 08:30:02.829643	0.686	0.0342	0.2798	0.6518	positive	OK	skipped:not_armed	skipped:not_armed	0.2009	0.2672	0.1316	0.6446	0.216	2026-06-12 08:30:04.400310
MDAI	"[""MDAI"", ""MDAIW""]"	nGNX74BzRS	08:30:00.230	2026-06-12 08:30:00.835	Spectral AI Joins the American Board of Wound Management Foundation in Celebrating Wound Healing Awareness Month	Globe Newswire	26.85	NASDAQ	1.86	972.6	866.147	2026-06-12 08:30:02.973832	0.3564	0.0438	0.5998	0.3127	positive	OK	accepted:1005	sentiment_ack	0.4224	0.4875	0.2997	0.7036	0.3075	2026-06-12 08:30:04.609856
LIXT	"[""LIXT""]"	nGNXb34XXT	08:30:00.298	2026-06-12 08:30:00.924	LIXTE Biotechnology to Acquire NOMAD Transportable Power Systems, the Market Leader in Mobile, Utility-Grade Battery Energy Storage Systems (BESS)	Globe Newswire	11.62	NASDAQ	7.25	25080.0	431.8293	2026-06-12 08:30:03.138528	0.3434	0.0287	0.6279	0.3147	positive	OK	accepted:1007	sentiment_ack	0.3913	0.5255	0.3735	0.8615	0.3318	2026-06-12 08:30:05.342268
CCG	"[""CCG""]"	nPn6Sx90ka	08:30:00.443	2026-06-12 08:30:00.924	Cheche Group Announces Results of Extraordinary General Meeting	PR Newswire	28.3	NASDAQ	0.489	326.5	555.3767	2026-06-12 08:30:03.152740	0.1532	0.0797	0.7672	0.0735	positive	BAD	accepted:1006	sentiment_bad_released	0.1753	0.1914	0.0925	0.4187	0.11	2026-06-12 08:30:05.588699
ASBP	"[""ASBP"", ""ASBPW""]"	nACS9dVMga	08:30:00.546	2026-06-12 08:30:00.996	Aspire Biopharma Announces Signing of Definitive Share Purchase Agreement to Acquire Dura Driver Control Systems, a Leading Global Automotive Supplier with a 100+ Year History and $200M+ in 2025 Revenue	ACCESSWIRE	1.21	NASDAQ	6.0	1018.7	332.6214	2026-06-12 08:30:03.238846	0.8263	0.0124	0.1613	0.814	positive	OK	accepted:1008	sentiment_ack	0.6341	0.6837	0.4575	0.8633	0.5632	2026-06-12 08:30:06.252816
MDAIW	"[""MDAI"", ""MDAIW""]"	nGNX74BzRS	08:30:00.230	2026-06-12 08:30:00.835	Spectral AI Joins the American Board of Wound Management Foundation in Celebrating Wound Healing Awareness Month	Globe Newswire	27.9773	NASDAQ		18753.2	325.0565	2026-06-12 08:30:02.974930	0.3564	0.0438	0.5998	0.3127	positive	OK	no_reply	sentiment_ack	0.3866	0.4533	0.2974	0.7036	0.3066	2026-06-12 08:30:07.935635
ASBPW	"[""ASBP"", ""ASBPW""]"	nACS9dVMga	08:30:00.546	2026-06-12 08:30:00.996	Aspire Biopharma Announces Signing of Definitive Share Purchase Agreement to Acquire Dura Driver Control Systems, a Leading Global Automotive Supplier with a 100+ Year History and $200M+ in 2025 Revenue	ACCESSWIRE	1.201	NASDAQ		9803.2	186.0326	2026-06-12 08:30:03.340605	0.8263	0.0124	0.1613	0.814	positive	OK	no_reply	sentiment_ack	0.6387	0.6847	0.4695	0.8633	0.5731	2026-06-12 08:30:08.207660
AIB	"[""AIB""]"	nGNX7TFzsC	08:31:00.100	2026-06-12 08:31:00.194	BlockchAIn Announces Preliminary Inclusion in Russell Microcap® Index	Globe Newswire	8.11	NYSE AMERICAN	1.65	249.3	653.1761	2026-06-12 08:31:00.267102	0.1868	0.0149	0.7983	0.1718	positive	BAD	accepted:1011	sentiment_bad_released	0.2819	0.3736	0.1591	0.8018	0.2243	2026-06-12 08:31:00.979473
CPOP	"[""CPOP""]"	nPn5R3tnba	08:45:00.044	2026-06-12 08:45:00.175	Pop Culture Group Co., Ltd Announces Pricing of $8 Million Registered Direct Offering	PR Newswire	20.36	NASDAQ	1.05	1267.0	527.8345	2026-06-12 08:45:00.433382	0.1154	0.0184	0.8662	0.0971	positive	BAD	accepted:1012	sentiment_bad_released	0.1813	0.1665	0.0909	0.3181	0.1043	2026-06-12 08:45:00.868490
CUPR	"[""CUPR""]"	nGNE36kmfx	09:00:00.260	2026-06-12 09:00:00.522	Cuprina Holdings (Cayman) Limited Regains Compliance with Nasdaq Listing Requirements	Globe Newswire	0.92	NASDAQ	2.41	4481.6	230.5808	2026-06-12 09:00:01.504132	0.8228	0.0303	0.1469	0.7925	positive	OK	accepted:1013	sentiment_ack	0.0277	-0.0093	0.0309	0.5391	0.0074	2026-06-12 09:00:02.496281
PHGE	"[""PHGE""]"	nGNX91cCxq	09:00:00.555	2026-06-12 09:00:01.085	BiomX Announces NYSE American Acceptance of Plan to Regain Compliance	Globe Newswire	7.23	NYSE AMERICAN	0.7078	315.8	593.2979	2026-06-12 09:00:01.913343	0.2927	0.0443	0.663	0.2484	positive	OK	accepted:1001	sentiment_ack	0.1367	0.184	0.1073	0.4713	0.1126	2026-06-12 09:00:03.058079
HYFT	"[""HYFT""]"	nBw56KDdYa	09:00:00.392	2026-06-12 09:00:01.067	MindWalk (NASDAQ: HYFT) CEO Dr. Jennifer Bath to Join Absci (NASDAQ: ABSI) and a Leading AI Compute Provider on Jones AI Day Panel on the Future of AI Drug Discovery	Business Wire	42.36	NASDAQ	1.64	1008.9	530.4549	2026-06-12 09:00:01.962552	0.236	0.0185	0.7455	0.2175	positive	OK	accepted:1015	sentiment_ack	0.1735	0.1567	0.1161	0.3043	0.1135	2026-06-12 09:00:04.180125
JAGX	"[""JAGX""]"	nACS0xcjta	09:00:00.948	2026-06-12 09:00:01.150	Jaguar Health Presenting June 24, 2026 at the Life Sciences Virtual Investor Forum to Provide Updates on Company's Crofelemer Development Program for Rare Intestinal Failure Diseases	ACCESSWIRE	0.5	NASDAQ	2.81	3724.2	311.1064	2026-06-12 09:00:01.996956	0.149	0.0292	0.8218	0.1198	positive	BAD	accepted:1017	sentiment_bad_released	0.1098	0.0694	0.053	0.1323	0.0641	2026-06-12 09:00:04.207637
SLMT	"[""SLMT""]"	nBwkDRTHa	09:04:00.109	2026-06-12 09:04:00.373	REG-Qube Research & Technologies LTD Form 8.3	Business Wire	3.44	NASDAQ	4.83	2480.4	293.3765	2026-06-12 09:04:00.560311	0.0848	0.0269	0.8883	0.058	positive	BAD	accepted:1000	sentiment_bad_released	0.0	0.022	0.0214	0.0568	0.0182	2026-06-12 09:04:01.220135
PHR	"[""PHR""]"	nGNX4Qhwj9	09:20:00.120	2026-06-12 09:20:00.234	PHR Investors Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit with the Schall Law Firm	Globe Newswire	49.77	NYSE	9.05	3601.4	24125.3485	2026-06-12 09:20:00.435303	0.182	0.0412	0.7768	0.1408	positive	BAD	accepted:1016	sentiment_bad_released	-0.1382	-0.0727	-0.0573	0.1371	-0.0445	2026-06-12 09:20:00.827746
COSM	"[""COSM""]"	nGNX7X61p2	09:29:00.116	2026-06-12 09:29:00.248	Cosmos Health Reports Annualized Sales Exceeding $1.5M for Its C-Scrub and C-Sept Antiseptic Brands in the UK and Greece; Plans EU Expansion Targeting $7.4M in Revenue and $5.3M in Gross Profit	Globe Newswire	33.22	NASDAQ	0.206	144.9	1421.5692	2026-06-12 09:29:00.477536	0.6581	0.0211	0.3208	0.6369	positive	OK	accepted:1006	sentiment_ack	0.5964	0.673	0.5964	0.9025	0.5718	2026-06-12 09:29:00.954107
GOAI	"[""GOAI""]"	nGNX4LDGy2	09:30:00.142	2026-06-12 09:30:00.320	EVA Live Increases Ownership Interest to 51% in Spiro Senior Living Following Successful Launch of Initial Healthcare and Technology Operations Tapping 1.3 Trillion Dollar Industry	Globe Newswire	10.79	NASDAQ	2.72	97.5	306.574	2026-06-12 09:30:00.414046	0.4524	0.0167	0.5309	0.4356	positive	OK	accepted:1007	sentiment_ack	0.5589	0.6368	0.5342	0.8495	0.6152	2026-06-12 09:30:00.911048
HCTI	"[""HCTI""]"	nPn9SJ22Pa	09:31:02.460	2026-06-12 09:31:02.558	Healthcare Triangle, Inc. Announces Closing of Private Placement Offering of Original Issue Discount Senior Convertible Promissory Notes for Gross Proceeds of Approximately $3.6 Million	PR Newswire	1.9	NASDAQ	2.43	253.1	283.4369	2026-06-12 09:31:02.694984	0.2622	0.1019	0.6359	0.1603	positive	OK	accepted:1008	sentiment_ack	0.3376	0.3322	0.173	0.6508	0.1937	2026-06-12 09:31:03.287596
FTF	"[""FTF""]"	nGNE7JP4MF	09:50:00.083	2026-06-12 09:50:00.227	REG-Result of AGM	Globe Newswire	40.41	LSE	5.78	42.4	309.9076	2026-06-12 09:50:00.312833	0.1483	0.053	0.7986	0.0953	positive	BAD	accepted:1010	sentiment_bad_released	0.3654	0.2801	0.0982	0.2551	0.1174	2026-06-12 09:50:00.682155
PMNT	"[""PMNT""]"	nBwb7djhDa	09:58:00.084	2026-06-12 09:58:00.180	Perfect Moment Announces Move to OTC Markets	Business Wire	20.48	NYSE AMERICAN	0.248	83.1	759.3341	2026-06-12 09:58:00.406155	0.1769	0.0229	0.8001	0.154	positive	BAD	accepted:1011	sentiment_bad_released	0.4159	0.5024	0.3623	0.8646	0.3006	2026-06-12 09:58:00.924545
BKKT	"[""BKKT""]"	nACSgmQC8a	10:00:00.641	2026-06-12 10:00:00.784	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Bakkt, Inc. - BKKT	ACCESSWIRE	26.92	NYSE	8.35	5.6	286.6315	2026-06-12 10:00:02.175604	0.1281	0.1233	0.7486	0.0048	neutral	BAD	accepted:1005	sentiment_bad_released	-0.2952	-0.4435	-0.1344	0.11	-0.1523	2026-06-12 10:00:02.478003
VTSI	"[""VTSI""]"	nACS6qsnRa	10:00:00.809	2026-06-12 10:00:00.950	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of VirTra, Inc. - VTSI	ACCESSWIRE	10.85	NASDAQ	3.41	134.0	268.9635	2026-06-12 10:00:02.739915	0.1149	0.1011	0.7841	0.0138	neutral	BAD	accepted:1012	sentiment_bad_released	-0.2899	-0.4204	-0.1318	0.11	-0.1511	2026-06-12 10:00:03.074085
AARD	"[""AARD""]"	nACSQ2G2Ja	10:00:02.662	2026-06-12 10:00:02.789	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Aardvark Therapeutics, Inc. - AARD	ACCESSWIRE	12.55	NASDAQ	3.64	66.0	197.5048	2026-06-12 10:00:03.694869	0.1263	0.1161	0.7576	0.0102	neutral	BAD	accepted:1014	sentiment_bad_released	-0.1904	-0.307	-0.0929	0.1336	-0.1094	2026-06-12 10:00:04.090943
TLSI	"[""TLSI""]"	nACSzr8Tla	10:00:03.342	2026-06-12 10:00:03.468	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of TriSalus Life Sciences Inc. - TLSI	ACCESSWIRE	38.14	NASDAQ	3.64	30.0	214.5321	2026-06-12 10:00:04.249660	0.0971	0.096	0.8068	0.0011	neutral	BAD	accepted:1017	sentiment_bad_released	-0.3391	-0.4712	-0.166	0.1116	-0.1967	2026-06-12 10:00:04.644020
BRCB	"[""BRCB""]"	nACS9zsHya	10:00:04.238	2026-06-12 10:00:04.347	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Black Rock Coffee Bar, Inc. - BRCB	ACCESSWIRE	20.99	NASDAQ	7.04	17.3	215.6269	2026-06-12 10:00:04.802328	0.1238	0.1171	0.7591	0.0067	neutral	BAD	accepted:1019	sentiment_bad_released	-0.1921	-0.3011	-0.0676	0.11	-0.0772	2026-06-12 10:00:05.141763
SNBR	"[""SNBR""]"	nACS7GVL5a	10:00:04.595	2026-06-12 10:00:04.711	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sleep Number Corporation - SNBR	ACCESSWIRE	18.58	NASDAQ	0.66	1.4	899.9461	2026-06-12 10:00:08.086310	0.0942	0.0692	0.8365	0.025	neutral	BAD	accepted:1013	sentiment_bad_released	-0.2895	-0.429	-0.1316	0.11	-0.1497	2026-06-12 10:00:08.383823
SLMT	"[""SLMT""]"	nBw7TBFvZa	10:25:00.289	2026-06-12 10:25:01.553	REG-Millennium Partners, L.P. Form 8.3	Business Wire	3.44	NASDAQ	4.83	147.2	217.1826	2026-06-12 10:25:07.049630	0.0675	0.0266	0.9059	0.041	neutral	BAD	accepted:1015	sentiment_bad_released	0.0	0.0203	0.021	0.0512	0.0168	2026-06-12 10:25:07.756191
ANGI	"[""ANGI""]"	nACSCbbrqa	11:00:02.921	2026-06-12 11:00:03.059	Bronstein, Gewirtz & Grossman, LLC Encourages Angi Inc. (ANGI) Shareholders to Inquire about Securities Investigation	ACCESSWIRE	28.53	NASDAQ	5.49	8.7	191.2358	2026-06-12 11:00:04.551134	0.1349	0.0212	0.8439	0.1137	positive	BAD	accepted:1001	sentiment_bad_released	-0.1472	-0.3409	-0.0723	0.3494	-0.1585	2026-06-12 11:00:04.899767
ENGN	"[""ENGN""]"	nACSPHxrQa	11:00:04.642	2026-06-12 11:00:04.751	Bronstein, Gewirtz & Grossman, LLC Encourages enGene Therapeutics Inc. (ENGN) Shareholders to Inquire about Securities Investigation	ACCESSWIRE	27.87	NASDAQ	1.64	20.1	446.2428	2026-06-12 11:00:07.847281	0.1953	0.0341	0.7706	0.1612	positive	BAD	accepted:1000	sentiment_bad_released	0.0779	-0.0122	0.049	0.4073	0.0261	2026-06-12 11:00:08.162282
