Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
PHR	"[""PHR""]"	nACS9S1W0a	07:00:02.854	2026-06-16	07:00:03.876	07:00:34.036	PHR SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Phreesia, Inc. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	49.77	NYSE	9.06	3221.0	20873.2676	2026-06-16 07:00:34.065852	0.1804	0.1995	0.6201	-0.0192	neutral	BAD	accepted:1014	sentiment_bad_released	0.0206	-0.0209	0.0199	0.3597	-0.0409	2026-06-16 07:00:36.862070
FCHL	"[""FCHL""]"	nACSqXdFda	07:00:04.474	2026-06-16	07:00:04.678	07:00:34.088	FCHL DEADLINE - FINAL REMINDER: Bronstein, Gewirtz & Grossman LLC Alerts Fitness Champs Holdings Ltd. Investors to Participate in the Class Action Lawsuit Today	ACCESSWIRE	1.27	NASDAQ	1.46	343.8	353.437	2026-06-16 07:00:34.187759	0.0949	0.1188	0.7863	-0.0239	neutral	BAD	accepted:1015	sentiment_bad_released	-0.0598	-0.0823	-0.0202	0.1953	-0.0604	2026-06-16 07:00:37.198616
PBK	"[""PBK""]"	nPn9tSXFCa	07:07:00.049	2026-06-16	07:07:00.261	07:07:00.535	PowerBank Executes Interconnection Agreement for 3.15 MW Nova Scotia Community Solar Project	PR Newswire	43.09	NASDAQ	0.9025	358.8	1121.2543	2026-06-16 07:07:00.555768	0.6282	0.0141	0.3577	0.6141	positive	OK	accepted:1017	sentiment_ack	0.4378	0.5275	0.3991	0.781	0.3602	2026-06-16 07:07:01.203888
FOCL	"[""FOCL""]"	nGNE2TplMR	07:30:00.065	2026-06-16	07:30:00.345	07:30:01.473	FocalTherics™ Expands Access to Focal One® Robotic HIFU for Veterans with Prostate Cancer through Agreement with MellingMedical	Globe Newswire	37.28	NASDAQ	4.72	34200.0	221.8333	2026-06-16 07:30:01.494301	0.6785	0.0095	0.312	0.669	positive	OK	accepted:1018	sentiment_ack	0.3829	0.4989	0.3303	0.7622	0.3751	2026-06-16 07:30:02.532472
FF	"[""FF""]"	nPn59VhdDa	07:30:00.296	2026-06-16	07:30:00.928	07:30:04.500	First Mining Announces Springpole Project Authorization from Cat Lake First Nation and Lac Seul First Nation Following the Completion of the Anishnaabe Led Impact Assessment	PR Newswire	26.12	TSX	4.6	7980.0	5534.5676	2026-06-16 07:30:04.525243	0.7183	0.02	0.2617	0.6983	positive	OK	accepted:1019	sentiment_ack	0.3511	0.5132	0.3165	0.8358	0.2705	2026-06-16 07:30:05.219758
HSDT	"[""HSDT""]"	nGNX1c3Ns5	07:30:00.398	2026-06-16	07:30:01.155	07:30:04.751	Solana Company Board Unanimously Rejects Unsolicited Forward Industries Proposal	Globe Newswire	41.32	NASDAQ	1.54	3655.2	849.5253	2026-06-16 07:30:04.766231	0.0908	0.1781	0.7312	-0.0873	negative	BAD	accepted:1000	sentiment_bad_released	0.1627	0.2042	0.1036	0.4377	0.1362	2026-06-16 07:30:05.517959
RAIL	"[""RAIL""]"	nGNXbknSd2	07:30:00.764	2026-06-16	07:30:01.718	07:30:06.064	FreightCar America Appoints Bradley J. Pickard to Board of Directors	Globe Newswire	12.59	NASDAQ	8.13	22800.0	3616.4	2026-06-16 07:30:06.074671	0.0461	0.0579	0.896	-0.0118	neutral	BAD	accepted:1001	sentiment_bad_released	0.3335	0.3751	0.1524	0.5805	0.1675	2026-06-16 07:30:06.429446
SDST	"[""SDST"", ""SDSTW""]"	nGNXYflxq	07:30:00.656	2026-06-16	07:30:01.956	07:30:07.626	Stardust Power Advances Execution Readiness at Muskogee Lithium Refinery	Globe Newswire	7.03	NASDAQ	1.84	4971.7	451.7174	2026-06-16 07:30:07.638502	0.6689	0.0844	0.2466	0.5845	positive	OK	accepted:1002	sentiment_ack	0.4876	0.5696	0.4208	0.7675	0.4478	2026-06-16 07:30:08.846687
NEXN	"[""NEXN"", ""7P91""]"	nGNX7cJTRR	07:30:00.995	2026-06-16	07:30:02.038	07:30:07.721	Nexxen Raises Full-Year 2026 Contribution ex-TAC and Programmatic Revenue Guidance for the Second Time This Year Ahead of Today’s Investor Day	Globe Newswire	32.68	NASDAQ	8.58	14250.0	10445.4118	2026-06-16 07:30:07.739474	0.394	0.0259	0.5801	0.3681	positive	OK	accepted:1003	sentiment_ignored	0.6421	0.692	0.3993	0.8862	0.4508	2026-06-16 07:30:09.045629
CMND	"[""CMND""]"	nGNX5SGJl5	07:32:00.099	2026-06-16	07:32:00.214	07:32:00.292	Clearmind Medicine Completes Dosing for Part A of its of FDA-Regulated Phase I/II Clinical Trial	Globe Newswire	1.02	NASDAQ	3.34	421.3	224.5611	2026-06-16 07:32:00.322846	0.4615	0.0181	0.5203	0.4434	positive	OK	accepted:1005	sentiment_ack	0.2793	0.3715	0.2103	0.7622	0.3471	2026-06-16 07:32:00.858220
EDBL	"[""EDBL"", ""EDBLW""]"	nGNX8PjnFT	07:34:00.099	2026-06-16	07:34:00.214	07:34:00.360	Edible Garden Advances Development of Prairie Hills Tetra Pak Facility Through Engagement of Structura Architects	Globe Newswire	4.48	NASDAQ	0.2574	158.3	968.9959	2026-06-16 07:34:00.377997	0.2186	0.0112	0.7702	0.2074	positive	OK	accepted:1004	sentiment_ack	0.6499	0.6996	0.6176	0.8258	0.6024	2026-06-16 07:34:01.247235
SCLX	"[""SCLX"", ""SCLXW""]"	nGNX8ksjgS	07:45:00.104	2026-06-16	07:45:00.299	07:45:00.451	Scilex Holding Company Announces Dream Bowl I Meme Coin Tokens to List on Biconomy Exchange as Early as June 23, 2026	Globe Newswire	7.0	NASDAQ	8.5	3286.8	271.8958	2026-06-16 07:45:00.477791	0.0721	0.0164	0.9114	0.0557	positive	BAD	accepted:1007	sentiment_bad_released	0.2979	0.3546	0.2246	0.6252	0.2812	2026-06-16 07:45:01.836606
VRA	"[""VRA""]"	nGNX5WVkhv	08:00:00.380	2026-06-16	08:00:00.693	08:00:04.018	Vera Bradley Debuts at Nordstrom Stores Nationwide and Nordstrom.com	Globe Newswire	18.62	NASDAQ	3.79	1404.7	292.4431	2026-06-16 08:00:04.029826	0.0632	0.0578	0.879	0.0054	neutral	BAD	accepted:1013	sentiment_bad_released	0.439	0.5849	0.3445	0.8296	0.3507	2026-06-16 08:00:05.166715
ROC	"[""ROC""]"	nGNX98XWkC	08:00:00.313	2026-06-16	08:00:00.633	08:00:03.934	ROC Appoints Federal Law Enforcement Veteran Dr. Kathleen Kiernan to Board of Directors	Globe Newswire	5.39	NASDAQ	4.47	25650.0	398.875	2026-06-16 08:00:03.950207	0.1023	0.0439	0.8539	0.0584	positive	BAD	accepted:1008	sentiment_bad_released	0.394	0.5176	0.3398	0.7278	0.3091	2026-06-16 08:00:05.227822
AUID	"[""AUID""]"	nGNE3C4wTT	08:00:00.539	2026-06-16	08:00:00.988	08:00:04.228	authID and Trinsic Partner to Deliver Secure and Easily Deployable Biometric-Powered Digital Identity	Globe Newswire	14.15	NASDAQ	1.15	8233.3	617.6226	2026-06-16 08:00:04.241206	0.6749	0.01	0.3151	0.6649	positive	OK	accepted:1010	sentiment_ack	0.3123	0.4131	0.2884	0.7721	0.3136	2026-06-16 08:00:06.261124
CLDI	"[""CLDI""]"	nGNXqhgnQ	08:00:00.482	2026-06-16	08:00:00.909	08:00:04.098	Calidi Biotherapeutics Receives Positive Pre-IND Feedback from US FDA for CLD-401 Indicating Agreement on its Current Development Strategy as it Advances Towards a First-in-Human Study	Globe Newswire	17.36	NYSE AMERICAN	0.1536	35.7	1288.6488	2026-06-16 08:00:04.124025	0.9082	0.0127	0.0791	0.8956	positive	OK	accepted:1016	sentiment_ack	0.3592	0.4689	0.3123	0.7495	0.4134	2026-06-16 08:00:06.367706
NXB	"[""NXB""]"	nACSDM2R4a	08:00:00.607	2026-06-16	08:00:01.146	08:00:04.475	NextBoat Inc.'s Autograph Yachts Division Delivers Strong Second Quarter Growth, Driven by Expanding Brokerage Platform and Market Share Gains	ACCESSWIRE	8.2	NYSE AMERICAN	2.05	34200.0	762.75	2026-06-16 08:00:04.565577	0.9358	0.0161	0.048	0.9197	positive	OK	accepted:1015	sentiment_ack	0.7225	0.7501	0.5848	0.9033	0.6648	2026-06-16 08:00:07.196541
BARK	"[""BARK""]"	nBw8yq9cxa	08:00:00.556	2026-06-16	08:00:00.993	08:00:04.306	BARK and Guy Fieri Are Taking Dogs Straight to Flavortown	Business Wire	4.57	NYSE	9.76	12160.0	481.32	2026-06-16 08:00:04.319541	0.1422	0.0319	0.8259	0.1103	positive	BAD	accepted:1014	sentiment_bad_released	0.2009	0.238	0.1519	0.5233	0.1637	2026-06-16 08:00:07.214356
SEV	"[""SEV""]"	nGNX73YmQd	08:00:00.950	2026-06-16	08:00:01.204	08:00:05.013	Aptera Motors to Participate in the Northland Growth Conference	Globe Newswire	19.24	NASDAQ	2.25	4623.3	838.5357	2026-06-16 08:00:05.076275	0.3428	0.0137	0.6435	0.3292	positive	OK	accepted:1011	sentiment_ack	0.2745	0.2772	0.1255	0.3839	0.1042	2026-06-16 08:00:07.649103
SKBL	"[""SKBL""]"	nGNEc0HB	08:00:00.600	2026-06-16	08:00:01.157	08:00:04.496	Skyline Builders Group Holding Limited to Change Ticker Symbol to “KAZR” Ahead of Expected Combination with Cove Kaz	Globe Newswire	27.46	NASDAQ	3.04	6650.0	1345.2308	2026-06-16 08:00:04.576617	0.2522	0.0316	0.7162	0.2207	positive	OK	accepted:1006	sentiment_ack	0.4331	0.4949	0.2695	0.6988	0.2311	2026-06-16 08:00:08.011899
VWAV	"[""VWAV"", ""VWAVW""]"	nGNX5VN89W	08:00:01.157	2026-06-16	08:00:01.909	08:00:07.239	VisionWave Holdings Signs Term Sheet for a Proposed Tier IV Data Center Joint Venture with Lucky Whale Production Limited	Globe Newswire	16.3	NASDAQ	4.82	914.4	410.7263	2026-06-16 08:00:07.285109	0.2295	0.0113	0.7591	0.2182	positive	OK	accepted:1012	sentiment_ack	0.3169	0.4077	0.1989	0.6749	0.1344	2026-06-16 08:00:09.110294
CING	"[""CING"", ""CINGW""]"	nGNX694MSC	08:00:00.877	2026-06-16	08:00:01.909	08:00:07.350	Cingulate Issued First U.S. Patent for Lead ADHD Asset CTx-1301	Globe Newswire	11.03	NASDAQ	4.88	5636.7	534.4947	2026-06-16 08:00:07.368396	0.2282	0.0176	0.7542	0.2106	positive	OK	accepted:1017	sentiment_ack	0.1151	0.2442	0.1047	0.5908	0.1703	2026-06-16 08:00:09.310502
PMI	"[""PMI""]"	nGNX5WtkP2	08:00:01.927	2026-06-16	08:00:02.372	08:00:09.846	Picard Medical and SynCardia to Present New In Vivo Emperor Total Artificial Heart Data and Patient Outcome Research at ASAIO 2026	Globe Newswire	18.95	NYSE AMERICAN	0.179	12.7	994.3207	2026-06-16 08:00:09.863121	0.1658	0.0176	0.8166	0.1482	positive	BAD	accepted:1000	sentiment_bad_released	0.3712	0.4062	0.242	0.6652	0.2801	2026-06-16 08:00:10.787328
PERF	"[""PERF"", ""SZ9""]"	nBw2ZrQyka	08:00:02.201	2026-06-16	08:00:02.950	08:00:10.024	Perfect Corp. Launches Industry’s Most Comprehensive AI Hair & Beard API Suite, Combining Virtual Try-On with Intelligent Hair Analysis	Business Wire	40.94	NYSE	1.68	25080.0	960.4815	2026-06-16 08:00:10.041539	0.1769	0.0134	0.8097	0.1634	positive	BAD	accepted:1018	sentiment_bad_released	0.1795	0.1828	0.141	0.2809	0.1336	2026-06-16 08:00:11.660315
ADIL	"[""ADIL""]"	nGNXbNcJcX	08:00:02.520	2026-06-16	08:00:03.548	08:00:10.193	Adial Pharmaceuticals Expands Executive Leadership Team and Closes PIPE Financing	Globe Newswire	2.12	NASDAQ	2.98	1459.5	389.5123	2026-06-16 08:00:10.207986	0.3267	0.064	0.6093	0.2627	positive	OK	accepted:1019	sentiment_ack	0.3851	0.4297	0.2533	0.7295	0.2392	2026-06-16 08:00:12.129835
CVM	"[""CVM""]"	nBw4yGSPFa	08:00:02.695	2026-06-16	08:00:03.631	08:00:10.366	CEL-SCI Advances Multikine® Immunotherapy for Head and Neck Cancer Through Dual U.S. Registration Study and Saudi Market Entry Strategy	Business Wire	13.39	NYSE AMERICAN	1.08	3117.6	529.1636	2026-06-16 08:00:10.428948	0.3951	0.0115	0.5934	0.3836	positive	OK	accepted:1002	sentiment_ack	0.477	0.5547	0.4346	0.7576	0.4646	2026-06-16 08:00:12.459069
ACXP	"[""ACXP""]"	nPn1lZqlVa	08:00:22.520	2026-06-16	08:00:22.760	08:00:22.860	Acurx Pharmaceuticals Announces Presentation of Results from Leiden University Medical Center Public-Private Partnership for Its DNA pol IIIC Inhibitors at the Leiden Early Drug Discovery & Development (LED3) Scientific Conference	PR Newswire	3.95	NASDAQ	1.57	3562.5	418.5465	2026-06-16 08:00:22.896501	0.2515	0.0225	0.726	0.2289	positive	OK	accepted:1005	sentiment_ack	0.3443	0.4239	0.3045	0.6451	0.3289	2026-06-16 08:00:23.732853
PHR	"[""PHR""]"	nACSkR5rfa	08:02:00.548	2026-06-16	08:02:00.662	08:02:01.310	Lost Money on Phreesia, Inc. (PHR)? Urged to Join Class Action Before July 13, 2026 - Contact Levi & Korsinsky	ACCESSWIRE	49.77	NYSE	9.06	3221.0	20873.2676	2026-06-16 08:02:01.338322	0.0776	0.3812	0.5412	-0.3036	negative	BAD	accepted:1004	sentiment_bad_released	-0.1388	-0.25	-0.0727	0.4762	-0.1268	2026-06-16 08:02:01.702063
LABT	"[""LABT""]"	nPn9ll7RCa	08:02:03.097	2026-06-16	08:02:03.229	08:02:03.317	Lakewood-Amedex Biotherapeutics to Present at Life Sciences Virtual Investor Forum	PR Newswire	7.0	NASDAQ	0.7674	390.2	518.7525	2026-06-16 08:02:03.331406	0.1148	0.0211	0.864	0.0937	positive	BAD	accepted:1007	sentiment_bad_released	0.201	0.2609	0.1057	0.7261	0.1374	2026-06-16 08:02:03.812654
BIAF	"[""BIAF"", ""BIAFW""]"	nBw5BnwCba	08:06:00.170	2026-06-16	08:06:00.393	08:06:00.561	bioAffinity Technologies Announces Program to Advance Veteran Lung Health: Philips, bioAffinity Technologies and 4DMedical Highlight New Approaches to Lung Health Screening for U.S. Veterans	Business Wire	4.39	NASDAQ	1.48	1107.1	384.8593	2026-06-16 08:06:00.584734	0.4172	0.0131	0.5698	0.4041	positive	OK	accepted:1009	sentiment_ack	0.2509	0.3405	0.2334	0.6334	0.269	2026-06-16 08:06:01.563168
OBAI	"[""OBAI""]"	nGNXccKJ5w	08:07:00.100	2026-06-16	08:07:00.230	08:07:00.285	Bond Announces Conversion of Outstanding Debt into Equity at Significant Premium to Market	Globe Newswire	14.71	NASDAQ	0.5428	1571.2	1093.7914	2026-06-16 08:07:00.306110	0.5878	0.0145	0.3977	0.5733	positive	OK	accepted:1013	sentiment_ack	0.4271	0.4902	0.3869	0.8136	0.432	2026-06-16 08:07:00.826350
VIVO	"[""VIVO""]"	nGNX1vgyBY	08:15:00.116	2026-06-16	08:15:00.270	08:15:00.580	VivoPower’s B Corporation Recertification Strengthens Its Sovereign Infrastructure Mandate; Tembo Qualified to Use B Corp Logo	Globe Newswire	16.79	NASDAQ	4.77	289.1	494.5931	2026-06-16 08:15:00.598558	0.8244	0.0086	0.167	0.8157	positive	OK	accepted:1014	sentiment_ack	0.3646	0.517	0.3147	0.8046	0.3298	2026-06-16 08:15:01.168351
NCRA	"[""NCRA""]"	nGNX2Pby2	08:15:00.200	2026-06-16	08:15:00.448	08:15:01.812	Nocera Announces Strategic Investment in CampaignPulse.ai, Expanding Artificial Intelligence Portfolio and Advancing Nocera Holdings Growth Strategy	Globe Newswire	5.28	NASDAQ	0.112	17.7	1072.5118	2026-06-16 08:15:01.832099	0.7397	0.0086	0.2517	0.7311	positive	OK	accepted:1000	sentiment_ack	0.4742	0.55	0.4151	0.7702	0.4574	2026-06-16 08:15:02.450206
SWVL	"[""SWVL""]"	nGNXc08kK0	08:15:42.132	2026-06-16	08:15:42.285	08:15:42.382	Swvl Announces Q1 2026 Results; Revenue Up 68%; GCC Revenue Up 111%; Dollar-Pegged Revenue Up 111% and Net Dollar Retention of 114%	Globe Newswire	5.33	NASDAQ	1.38	14716.4	287.8485	2026-06-16 08:15:42.403746	0.9365	0.0206	0.0429	0.9159	positive	OK	accepted:1001	sentiment_ack	0.5521	0.5653	0.5521	0.9202	0.5404	2026-06-16 08:15:43.178876
OPTH	"[""OPTH"", ""OPTI""]"	nGNX4KHCfT	08:30:00.184	2026-06-16	08:30:00.389	08:30:01.055	Optimi Health Launches Standardized Microdose Psilocybin Products for Clinical Research	Globe Newswire	4.46	NASDAQ	4.55	5247.5	377.498	2026-06-16 08:30:01.086756	0.2316	0.0125	0.7559	0.2191	positive	OK	accepted:1003	sentiment_ack	0.2384	0.2533	0.1526	0.4764	0.1637	2026-06-16 08:30:02.442992
AMPG	"[""AMPG""]"	nGNXbC0J4c	08:30:00.268	2026-06-16	08:30:01.106	08:30:04.288	AmpliTech Group Strengthens ORAN 5G Growth Strategy with Addition of Two Senior Business Development Leaders	Globe Newswire	22.11	NASDAQ	8.49	27.6	619.3832	2026-06-16 08:30:04.310731	0.7444	0.0112	0.2444	0.7332	positive	OK	accepted:1017	sentiment_ack	0.3235	0.4216	0.2203	0.7165	0.2769	2026-06-16 08:30:05.145958
FMFC	"[""FMFC""]"	nGNE83zjHY	08:30:00.289	2026-06-16	08:30:01.039	08:30:04.797	Kandal M Venture Secures Structured Growth Capital Facility to Fuel Philippines Manufacturing Operations	Globe Newswire	8.3232	NASDAQ	0.39	1487.4	871.1897	2026-06-16 08:30:04.823522	0.7387	0.0154	0.246	0.7233	positive	OK	accepted:1012	sentiment_ack	0.5286	0.63	0.4303	0.8771	0.4718	2026-06-16 08:30:06.392577
DMAC	"[""DMAC""]"	nBw9y1Q5Pa	08:30:00.314	2026-06-16	08:30:01.038	08:30:04.628	DiaMedica Receives FDA Feedback on DM199 Preeclampsia Nonclinical Program	Business Wire	27.07	NASDAQ	5.65	13300.0	7713.1	2026-06-16 08:30:04.696215	0.1616	0.0333	0.8051	0.1283	positive	BAD	accepted:1018	sentiment_bad_released	0.3263	0.3888	0.2132	0.6801	0.2775	2026-06-16 08:30:06.418464
TRNR	"[""TRNR""]"	nACSN8BLDa	08:30:00.277	2026-06-16	08:30:01.202	08:30:04.975	TRNR to Report Second Quarter 2026 Results on August 14, 2026; Expects Record Quarterly Revenue of Approximately $8 Million	ACCESSWIRE	2.3309	NASDAQ	0.5766	841.2	527.016	2026-06-16 08:30:05.010919	0.7002	0.0173	0.2826	0.6829	positive	OK	accepted:1019	sentiment_ack	0.2933	0.388	0.2933	0.8605	0.2109	2026-06-16 08:30:07.300561
CLIR	"[""CLIR""]"	nACSBPlWwa	08:30:00.436	2026-06-16	08:30:01.138	08:30:04.926	"ClearSign Receives Additional ""M1"" Series Burner Order for Second Midstream Heater in West Texas"	ACCESSWIRE	4.89	NASDAQ	4.08	34200.0	368.8333	2026-06-16 08:30:04.957106	0.8722	0.0155	0.1123	0.8567	positive	OK	accepted:1016	sentiment_ack	0.3293	0.4337	0.2022	0.8072	0.3124	2026-06-16 08:30:07.806889
NUWE	"[""NUWE""]"	nGNX8tqvXv	08:30:00.482	2026-06-16	08:30:01.349	08:30:05.194	Nuwellis Appoints Mike McCormick as Chief Executive Officer	Globe Newswire	1.6792	NASDAQ	0.143	55.9	1134.4205	2026-06-16 08:30:05.216390	0.0454	0.051	0.9036	-0.0056	neutral	BAD	accepted:1002	sentiment_bad_released	0.4392	0.5166	0.2497	0.7921	0.3039	2026-06-16 08:30:08.211136
BLIN	"[""BLIN""]"	nACSbCkRma	08:30:00.600	2026-06-16	08:30:01.612	08:30:07.321	Bridgeline Secures Multi-Site AI Commerce Expansion with Leading Home & Garden Supplier, Launches First Two of Five HawkSearch Deployments	ACCESSWIRE	9.17	NASDAQ	1.03	19950.0	503.4545	2026-06-16 08:30:07.468552	0.7857	0.0085	0.2057	0.7772	positive	OK	accepted:1007	sentiment_ack	0.525	0.6129	0.4472	0.8557	0.4518	2026-06-16 08:30:08.485028
