Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
NTRB	"[""NTRB"", ""NTRBW""]"	nGNXbZRF64	2026-05-15 07:00:00	Nutriband Inc to Showcase Expanding AI Wellness Product Portfolio and New June Product Launches at ECRM Conference	Globe Newswire	4.93	NASDAQ	2026-05-15 07:00:00.554785	0.6953	0.0102	0.2946	0.6851	positive	NO:sentiment_score
NTRBW	"[""NTRB"", ""NTRBW""]"	nGNXbZRF64	2026-05-15 07:00:00	Nutriband Inc to Showcase Expanding AI Wellness Product Portfolio and New June Product Launches at ECRM Conference	Globe Newswire		NASDAQ	2026-05-15 07:00:00.556501	0.6953	0.0102	0.2946	0.6851	positive	NO:sentiment_score,Float
TIL	"[""TIL""]"	nGNX9BtmYX	2026-05-15 07:00:00	Instil Bio Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	4.02	NASDAQ	2026-05-15 07:00:00.655683	0.0795	0.0346	0.8859	0.0449	neutral	NO:sentiment_score
JG	"[""JG""]"	nGNXQcW8y	2026-05-15 07:00:00	Aurora Mobile’s AI-Native Solution Drives 24/7 Real Estate Conversions for Japan’s Axios Management	Globe Newswire	4.32	NASDAQ	2026-05-15 07:00:00.684541	0.2255	0.0127	0.7618	0.2128	positive	NO:sentiment_score
BTAI	"[""BTAI""]"	nGNXbGpf2m	2026-05-15 07:00:00	BioXcel Therapeutics Provides Business Update and  Reports First Quarter 2026 Financial Results	Globe Newswire	26.02	NASDAQ	2026-05-15 07:00:00.775563	0.0682	0.0635	0.8683	0.0047	neutral	NO:sentiment_score
PPBT	"[""PPBT""]"	nGNX7nm7TR	2026-05-15 07:00:01	Purple Biotech Reports First Quarter 2026 Financial Results and Business Highlights	Globe Newswire	0.93		2026-05-15 07:00:01.101457	0.1471	0.0347	0.8183	0.1124	positive	NO:sentiment_score
TARA	"[""TARA""]"	nGNX7hsP38	2026-05-15 07:00:01	Protara Therapeutics Announces Positive Updated 12-Month Data Demonstrating Durable Responses in the Fully Enrolled BCG-Naïve Cohort of the Ongoing Phase 2 ADVANCED-2 Trial of TARA-002 in NMIBC 	Globe Newswire	49.3	NASDAQ	2026-05-15 07:00:01.162182	0.805	0.0617	0.1333	0.7433	positive	YES
INDP	"[""INDP""]"	nGNX7qJrZV	2026-05-15 07:00:01	Indaptus Therapeutics Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	0.03	NASDAQ	2026-05-15 07:00:01.893496	0.0832	0.0386	0.8782	0.0446	neutral	NO:sentiment_score
MHH	"[""MHH""]"	nPn6L5Mjja	2026-05-15 07:00:02	Mastech Digital Reports First Quarter 2026 Results	PR Newswire	3.76	NYSE AMERICAN	2026-05-15 07:00:02.786464	0.0559	0.0461	0.898	0.0098	neutral	NO:sentiment_score
YOOV	"[""YOOV""]"	nACShjYMja	2026-05-15 07:00:03	CIGL INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Concorde International Group, Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	5.91	NASDAQ	2026-05-15 07:00:03.077738	0.1527	0.2527	0.5946	-0.1	negative	NO:sentiment_score
ATRA	"[""ATRA""]"	nACSyk3KXa	2026-05-15 07:00:03	ATRA INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	NASDAQ	2026-05-15 07:00:03.473568	0.1917	0.1769	0.6315	0.0148	neutral	NO:sentiment_score
FCHL	"[""FCHL""]"	nACSJ1cjXa	2026-05-15 07:00:04	FCHL INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	NASDAQ	2026-05-15 07:00:04.069547	0.1637	0.2242	0.612	-0.0605	negative	NO:sentiment_score
EZGO	"[""EZGO""]"	nPn911YvCa	2026-05-15 07:00:04	EZGO Announces 1-for-150 Reverse Share Split Effective May 19, 2026	PR Newswire	20.72	NASDAQ	2026-05-15 07:00:04.170435	0.0437	0.039	0.9173	0.0047	neutral	NO:sentiment_score
GEMI	"[""GEMI""]"	nACSt6lcJa	2026-05-15 07:00:04	GEMI STOCKHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Gemini Space Station, Inc. Investors with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	38.2	NASDAQ	2026-05-15 07:00:04.493799	0.1648	0.2114	0.6238	-0.0467	neutral	NO:sentiment_score
ELAB	"[""ELAB""]"	nGNX1Hd1Fp	2026-05-15 07:02:00	PMGC Holdings Inc. [NASDAQ: ELAB] Reports Q1 2026 Results and Files Form 10-Q; Total Assets Reach Over $26.0 Million, Up 102% from Year-End 2025 and 193% Year-over-Year	Globe Newswire	4.43	NASDAQ	2026-05-15 07:02:00.201707	0.9249	0.0218	0.0533	0.9031	positive	YES
TE	"[""TE""]"	nGNE4C5bNc	2026-05-15 07:04:23	REG-Technip Energies receives Full Notice To Proceed on major EPC contract with Commonwealth LNG in the United States	Globe Newswire	202.05	EURONEXT PARIS	2026-05-15 07:04:23.174120	0.8607	0.0149	0.1244	0.8457	positive	NO:Float
RAC	"[""RAC""]"	nPnFTMRka	2026-05-15 07:06:31	Racura Oncology Announces Positive Safety Review Committee Recommendation in ongoing CPACS Clinical Trial	PR Newswire	23.0	ASX	2026-05-15 07:06:31.563293	0.8932	0.0192	0.0876	0.8741	positive	YES
PRSO	"[""PRSO""]"	nGNEqMXxL	2026-05-15 07:06:58	REG-Prosafe SE: Safe Caledonia contract signed with Ithaca Energy	Globe Newswire	12.12	OSLO BØRS	2026-05-15 07:06:58.155005	0.714	0.0106	0.2753	0.7034	positive	YES
SUUN	"[""SUUN"", ""SUNN""]"	nPn8jdskSa	2026-05-15 07:07:00	PowerBank Announces Third Quarter Results	PR Newswire	42.61	NASDAQ	2026-05-15 07:07:00.201680	0.1304	0.1264	0.7432	0.004	neutral	NO:sentiment_score
SUNN	"[""SUUN"", ""SUNN""]"	nPn8jdskSa	2026-05-15 07:07:00	PowerBank Announces Third Quarter Results	PR Newswire		NASDAQ	2026-05-15 07:07:00.203669	0.1304	0.1264	0.7432	0.004	neutral	NO:sentiment_score,Float
BRAI	"[""BRAI""]"	nPRrF3080a	2026-05-15 07:15:12	REG-BlackRock American Income Trust Plc: Net Asset Value(s)	PR Newswire	17.7	LSE	2026-05-15 07:15:12.037687	0.0711	0.0375	0.8914	0.0336	neutral	NO:sentiment_score
ARAI	"[""ARAI""]"	nACSlBHrBa	2026-05-15 07:28:00	Arrive AI Announces First Quarter 2026 Results and Highlights Operational Progress Toward Commercial Scale	ACCESSWIRE	8.3	NASDAQ	2026-05-15 07:28:00.938472	0.5763	0.0217	0.402	0.5546	positive	NO:sentiment_score
MTA	"[""MTA""]"	nPn5NTYDqa	2026-05-15 07:30:00	METALLA ANNOUNCES NOMINATION OF SANDEEP SINGH TO THE BOARD IN CONNECTION WITH ITS UPCOMING AGM	PR Newswire	69.75	NYSE AMERICAN	2026-05-15 07:30:00.193268	0.0903	0.0232	0.8865	0.0671	positive	NO:sentiment_score,Float
AXG	"[""AXG""]"	nGNX416Njj	2026-05-15 07:30:00	SOLOWIN HOLDINGS (AXG)’s AX Coin and INFINIOS Sign Strategic MOU to Collaborate on Regulated Wallet Infrastructure and Digital Payment Solutions	Globe Newswire	46.01	NASDAQ	2026-05-15 07:30:00.359038	0.7855	0.0116	0.2029	0.7739	positive	YES
PFSA	"[""PFSA""]"	nGNE3jYgcF	2026-05-15 07:30:00	Profusa Announces Listing Transfer to The Nasdaq Capital Market	Globe Newswire	4.22	NASDAQ	2026-05-15 07:30:00.390706	0.0998	0.0171	0.8831	0.0827	positive	NO:sentiment_score
RENX	"[""RENX""]"	nGNX1ZLhYB	2026-05-15 07:30:00	RenX Enterprises Corp. Reports First Quarter 2026 Results: Logistics Segment Achieves Profitability, Consolidated Revenue Reaches $3.96 Million with 20.5% Quarter-over-Quarter Growth	Globe Newswire	2.3	NASDAQ	2026-05-15 07:30:00.563825	0.9406	0.0212	0.0382	0.9195	positive	YES
SLE	"[""SLE""]"	nGNX7X85vj	2026-05-15 07:30:00	Super League Reports First Quarter 2026 Financial Results, Advancing Transition from Corporate Restructuring to Operational Execution	Globe Newswire	1.13	NASDAQ	2026-05-15 07:30:00.571845	0.7037	0.0337	0.2626	0.67	positive	NO:sentiment_score
ANVS	"[""ANVS""]"	nGNX2j64jT	2026-05-15 07:30:00	Annovis Provides Corporate Updates and Reports First Quarter 2026 Financial Results	Globe Newswire	28.68	NYSE	2026-05-15 07:30:00.874987	0.0684	0.0716	0.86	-0.0033	neutral	NO:sentiment_score
CREX	"[""CREX""]"	nGNXb5m6z1	2026-05-15 07:30:01	Creative Realities Reports Fiscal 2026 First Quarter Results	Globe Newswire	9.09	NASDAQ	2026-05-15 07:30:01.173289	0.1101	0.0751	0.8148	0.0351	neutral	NO:sentiment_score
LMFA	"[""LMFA""]"	nGNXbhqjfB	2026-05-15 07:30:01	LM Funding America, Inc. Reports First Quarter 2026 Financial Results	Globe Newswire	14.38	NASDAQ	2026-05-15 07:30:01.343711	0.0956	0.1104	0.794	-0.0148	neutral	NO:sentiment_score
LFMD	"[""LFMD""]"	nGNX7LV7b9	2026-05-15 08:00:00	LifeMD to Participate in Upcoming Investor Conferences	Globe Newswire	39.58	NASDAQ	2026-05-15 08:00:00.229728	0.2265	0.0246	0.7489	0.2019	positive	NO:sentiment_score
TPET	"[""TPET""]"	nGNX7d4xm	2026-05-15 08:00:00	Trio Petroleum Corp. Urges Shareholders to Vote Ahead of May 21, 2026 Annual Meeting	Globe Newswire	32.15	NYSE AMERICAN	2026-05-15 08:00:00.287130	0.1378	0.0131	0.8491	0.1246	positive	NO:sentiment_score
GVH	"[""GVH""]"	nGNX1t1HNq	2026-05-15 08:00:00	Globavend Expands into Digital Entertainment Through Proposed Acquisition of Loomi Entertainment	Globe Newswire	2.06	NASDAQ	2026-05-15 08:00:00.303997	0.2112	0.0178	0.771	0.1934	positive	NO:sentiment_score
TBI	"[""TBI""]"	nBw1NtM3Ka	2026-05-15 08:00:00	TrueBlue’s PeopleScout Named a Leader in NelsonHall’s Global NEAT Vendor Evaluation for RPO	Business Wire	26.92	NYSE	2026-05-15 08:00:00.333186	0.577	0.0235	0.3995	0.5534	positive	NO:sentiment_score
INMB	"[""INMB""]"	nGNE4LpyJv	2026-05-15 08:00:00	INmune Bio Publishes Phase 2 MINDFuL Trial Results in NPJ Dementia, Advancing the XPro™ Platform	Globe Newswire	22.06	NASDAQ	2026-05-15 08:00:00.498595	0.416	0.0132	0.5708	0.4028	positive	NO:sentiment_score
GTBP	"[""GTBP""]"	nGNX2C3MWr	2026-05-15 08:00:00	GT Biopharma Reports First Quarter 2026 Financial Results	Globe Newswire	27.48	NASDAQ	2026-05-15 08:00:00.506137	0.1744	0.1194	0.7061	0.055	positive	NO:sentiment_score
INTZ	"[""INTZ""]"	nACSy11mNa	2026-05-15 08:00:00	Intrusion Inc. to Present at the Sidoti Micro Cap Investor Conference	ACCESSWIRE	16.99	NASDAQ	2026-05-15 08:00:00.797525	0.0851	0.0197	0.8951	0.0654	positive	NO:sentiment_score
NNVC	"[""NNVC""]"	nACSPVfgXa	2026-05-15 08:00:00	NanoViricides, Inc. Has Filed its Quarterly Report - NV-387 Advancing for Phase II	ACCESSWIRE	20.99	NYSE AMERICAN	2026-05-15 08:00:00.948309	0.2057	0.0364	0.7579	0.1692	positive	NO:sentiment_score
BCDA	"[""BCDA""]"	nGNX6x8FY7	2026-05-15 08:00:01	BioCardia Reports First Quarter 2026 Business Highlights and Financial Results	Globe Newswire	4.92	NASDAQ	2026-05-15 08:00:01.088365	0.1039	0.0595	0.8366	0.0444	neutral	NO:sentiment_score
ACHV	"[""ACHV""]"	nPn6Krpvva	2026-05-15 08:00:01	Achieve appoints Nectar Kalajian to launch Achieve Pro, a new third-party origination channel for HELOCs	PR Newswire	46.59	NASDAQ	2026-05-15 08:00:01.090329	0.1711	0.0116	0.8173	0.1594	positive	NO:sentiment_score
JWEL	"[""JWEL""]"	nBw61MFNla	2026-05-15 08:00:01	Jamieson Wellness Inc. Announces Senior Credit Facilities Refinancing	Business Wire	1.83	TSX	2026-05-15 08:00:01.186279	0.1478	0.0602	0.792	0.0877	positive	NO:sentiment_score
ENVB	"[""ENVB""]"	nBw4gQHPja	2026-05-15 08:00:01	Enveric Biosciences Reports Financial Results and Provides Corporate Update for First Quarter 2026	Business Wire	1.62	NASDAQ	2026-05-15 08:00:01.214562	0.0697	0.0437	0.8866	0.026	neutral	NO:sentiment_score
VRME	"[""VRME""]"	nBwqNl1Pa	2026-05-15 08:00:01	VerifyMe Reports First Quarter 2026 Financial Results	Business Wire	10.29	NASDAQ	2026-05-15 08:00:01.218493	0.1098	0.1141	0.7761	-0.0043	neutral	NO:sentiment_score
OBAI	"[""OBAI""]"	nGNX2YRkqr	2026-05-15 08:00:01	Bond Provides Business Update and Reports 2026 First Quarter Financial Results	Globe Newswire	10.44	NASDAQ	2026-05-15 08:00:01.220381	0.0776	0.0699	0.8526	0.0077	neutral	NO:sentiment_score
IRHO	"[""IRHO""]"	nGNX8Lj58t	2026-05-15 08:00:01	ELECTRA AI and Iron Horse Acquisition II Corp. (Nasdaq: IRHO) Announce Filing of Registration Statement on Form S-4 with the SEC in Connection with their Proposed Business Combination	Globe Newswire	23.57	NASDAQ	2026-05-15 08:00:01.228326	0.1126	0.0551	0.8323	0.0576	positive	NO:sentiment_score
GALT	"[""GALT""]"	nGNX2H9rnP	2026-05-15 08:00:01	Galectin Therapeutics Reports March 31, 2026 Financial Results and Provides Business Update	Globe Newswire	46.51	NASDAQ	2026-05-15 08:00:01.326435	0.0701	0.038	0.8919	0.0321	neutral	NO:sentiment_score
STSS	"[""STSS""]"	nPnbGWZGZa	2026-05-15 08:00:01	Sharps Technology Reports Continued Growth in Q1 2026 Highlighting Strengthened Balance Sheet and Strong Treasury Execution	PR Newswire	29.33	NASDAQ	2026-05-15 08:00:01.327935	0.9452	0.0159	0.0389	0.9293	positive	YES
COCP	"[""COCP""]"	nGNX6JZJnX	2026-05-15 08:00:01	Cocrystal Pharma Provides Business Update and Reports First Quarter 2026 Financial Results	Globe Newswire	9.06	NASDAQ	2026-05-15 08:00:01.466107	0.06	0.0541	0.8859	0.0059	neutral	NO:sentiment_score
IGC	"[""IGC""]"	nACSBbGcna	2026-05-15 08:00:01	IGC Pharma to Present Tau-PET Biomarker Research at 2026 Global Tau Conference	ACCESSWIRE	75.97	NYSE AMERICAN	2026-05-15 08:00:01.572535	0.1186	0.0124	0.8689	0.1062	positive	NO:sentiment_score,Float
LGPS	"[""LGPS""]"	nBw4SsygBa	2026-05-15 08:00:01	LogProstyle Announces Special Dividend of US$519 Thousand (US$0.022 per Share)	Business Wire	6.31	NYSE AMERICAN	2026-05-15 08:00:01.588298	0.3768	0.0457	0.5775	0.3311	positive	NO:sentiment_score
2RW	"[""LFWD"", ""2RW""]"	nGNX7wnlcM	2026-05-15 08:00:02	Lifeward Reports First Quarter 2026 Financial Results	Globe Newswire		NASDAQ	2026-05-15 08:00:02.117691	0.1055	0.0893	0.8052	0.0163	neutral	NO:sentiment_score,Float
LFWD	"[""LFWD"", ""2RW""]"	nGNX7wnlcM	2026-05-15 08:00:02	Lifeward Reports First Quarter 2026 Financial Results	Globe Newswire	1.48	NASDAQ	2026-05-15 08:00:02.118009	0.1055	0.0893	0.8052	0.0163	neutral	NO:sentiment_score
RUM	"[""ENHA"", ""RUM""]"	nPn50MYx9a	2026-05-15 08:00:05	ENHANCED NAMES RUMBLE PREMIER PARTNER AND OFFICIAL DISTRIBUTION CHANNEL OF THE ENHANCED GAMES IN CONTENT AGREEMENT	PR Newswire	108.23	NYSE	2026-05-15 08:00:05.937652	0.1345	0.0119	0.8536	0.1226	positive	NO:sentiment_score,Float
ENHA	"[""ENHA"", ""RUM""]"	nPn50MYx9a	2026-05-15 08:00:05	ENHANCED NAMES RUMBLE PREMIER PARTNER AND OFFICIAL DISTRIBUTION CHANNEL OF THE ENHANCED GAMES IN CONTENT AGREEMENT	PR Newswire		NYSE	2026-05-15 08:00:05.939202	0.1345	0.0119	0.8536	0.1226	positive	NO:sentiment_score,Float
CBRS	"[""CBRS"", ""DOMH""]"	nPn758B6Ca	2026-05-15 08:00:06	"Dominari Holdings Congratulates Cerebras Systems on ""Blockbuster"" Initial Public Offering"	PR Newswire		NASDAQ	2026-05-15 08:00:06.899312	0.2852	0.0249	0.6899	0.2603	positive	NO:sentiment_score,Float
DOMH	"[""CBRS"", ""DOMH""]"	nPn758B6Ca	2026-05-15 08:00:06	"Dominari Holdings Congratulates Cerebras Systems on ""Blockbuster"" Initial Public Offering"	PR Newswire	4.02	NASDAQ	2026-05-15 08:00:06.899688	0.2852	0.0249	0.6899	0.2603	positive	NO:sentiment_score
WHWK	"[""WHWK""]"	nPn4TqFZZa	2026-05-15 08:00:08	Whitehawk Therapeutics to Participate in 2026 Stifel Virtual Targeted Oncology Forum	PR Newswire	28.51	NASDAQ	2026-05-15 08:00:08.896500	0.1793	0.0097	0.8111	0.1696	positive	NO:sentiment_score
SPAI	"[""SPAI""]"	nGNX3Rt4q6	2026-05-15 08:02:00	Safe Pro Reports Record 560% Revenue Growth in First Quarter as Artificial Intelligence Sales Surge 2,400%, Delivering AI Gross Margins Over 72%	Globe Newswire	12.96	NASDAQ	2026-05-15 08:02:00.193856	0.9046	0.0156	0.0798	0.889	positive	YES
SCNI	"[""SCNI"", ""2F5Y""]"	nPn66DBdSa	2026-05-15 08:05:41	Scinai Immunotherapeutics to Lead Strategic Roundtable Discussion on Oral Therapies and the Future of Biologics at the 7th Dermatology Drug Development Summit Europe	PR Newswire	3.39	NASDAQ	2026-05-15 08:05:42.003491	0.3225	0.0226	0.6549	0.2999	positive	NO:sentiment_score
2F5Y	"[""SCNI"", ""2F5Y""]"	nPn66DBdSa	2026-05-15 08:05:41	Scinai Immunotherapeutics to Lead Strategic Roundtable Discussion on Oral Therapies and the Future of Biologics at the 7th Dermatology Drug Development Summit Europe	PR Newswire		NASDAQ	2026-05-15 08:05:42.004620	0.3225	0.0226	0.6549	0.2999	positive	NO:sentiment_score,Float
WALD	"[""WALD""]"	nGNX1ZKfqx	2026-05-15 08:13:00	Obagi Medical Shares New Data on Recent Innovations at Music City Symposium for Cosmetic Advances & Laser Education (SCALE) Meeting	Globe Newswire	47.1	NASDAQ	2026-05-15 08:13:00.174848	0.2249	0.0171	0.758	0.2077	positive	NO:sentiment_score
JZXN	"[""JZXN""]"	nGNX5X0srH	2026-05-15 08:15:00	Jiuzi Holdings Subsidiary Jiuzi New York Inc. Signs Strategic MoU with AI Technology Company to Explore Next-Generation Intelligent Imaging and Data Solutions	Globe Newswire	1.39	NASDAQ	2026-05-15 08:15:00.215279	0.7781	0.0107	0.2112	0.7674	positive	YES
2YJ0	"[""MYSZ"", ""2YJ0""]"	nPn7vCGp8a	2026-05-15 08:15:00	MySize Reports 62% Revenue Growth in First Quarter 2026 as Integrated AI Fashion Platform Continues Expansion	PR Newswire		NASDAQ	2026-05-15 08:15:00.905122	0.8259	0.0089	0.1652	0.817	positive	NO:Float
MYSZ	"[""MYSZ"", ""2YJ0""]"	nPn7vCGp8a	2026-05-15 08:15:00	MySize Reports 62% Revenue Growth in First Quarter 2026 as Integrated AI Fashion Platform Continues Expansion	PR Newswire	4.04	NASDAQ	2026-05-15 08:15:00.905428	0.8259	0.0089	0.1652	0.817	positive	YES
PULM	"[""PULM""]"	nPn15rp9pa	2026-05-15 08:20:00	Pulmatrix Announces First Quarter 2026 Financial Results	PR Newswire	3.65	NASDAQ	2026-05-15 08:20:00.194574	0.1685	0.1251	0.7064	0.0435	neutral	NO:sentiment_score
VENU	"[""VENU""]"	nBw5Sd8dma	2026-05-15 08:20:00	Venu Holding Corporation Reports First Quarter Fiscal 2026 Financial Results	Business Wire	43.56	NYSE AMERICAN	2026-05-15 08:20:00.244912	0.1659	0.1611	0.6729	0.0048	neutral	NO:sentiment_score
SLXN	"[""SLXN""]"	nGNX5QLlXB	2026-05-15 08:27:24	Silexion Therapeutics Announces Exercise of Warrants for $1 Million Gross Proceeds	Globe Newswire	3.77	NASDAQ	2026-05-15 08:27:24.344293	0.321	0.0514	0.6276	0.2696	positive	NO:sentiment_score
QTI	"[""QTI""]"	nBw5ZTTvSa	2026-05-15 08:30:00	QT Imaging Holdings Announces Pricing of $10 Million Underwritten Public Offering	Business Wire	9.39	NASDAQ	2026-05-15 08:30:00.289107	0.1338	0.0586	0.8076	0.0751	positive	NO:sentiment_score
SPAIF	"[""SPAIF"", ""SPAI""]"	nGNX1prKzw	2026-05-15 08:30:00	NetworkNews Audio Announces Audio Press Release (APR) Discussing Solutions to Core Limitation of Mass Drone Warfare	Globe Newswire		OTC	2026-05-15 08:30:00.291111	0.2578	0.0125	0.7297	0.2454	positive	NO:sentiment_score,Float
SPAI	"[""SPAIF"", ""SPAI""]"	nGNX1prKzw	2026-05-15 08:30:00	NetworkNews Audio Announces Audio Press Release (APR) Discussing Solutions to Core Limitation of Mass Drone Warfare	Globe Newswire	12.96	OTC	2026-05-15 08:30:00.291398	0.2578	0.0125	0.7297	0.2454	positive	NO:sentiment_score
MENS	"[""MENS""]"	nGNX9wRCpP	2026-05-15 08:30:00	Jyong Biotech Ltd. Files Annual Report on Form 20-F for Fiscal Year 2025	Globe Newswire	28.06	NASDAQ	2026-05-15 08:30:00.293821	0.0448	0.0329	0.9224	0.0119	neutral	NO:sentiment_score
