Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
PHR	"[""PHR""]"	nACSWTM2Va	2026-06-11 07:00:02.523	PHR INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Phreesia, Inc.  Stockholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	49.77	NYSE	9.29	4003.6	20534.5795	2026-06-11 07:00:08.126948	0.1682	0.2498	0.582	-0.0816	negative	BAD	accepted:1011	sentiment_bad_released	0.0224	-0.0084	0.0211	0.3341	-0.0366	2026-06-11 07:00:08.813455
FCHL	"[""FCHL""]"	nACSLPfn8a	2026-06-11 07:00:03.084	FCHL INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.4	NASDAQ	1.19	538.6	392.4933	2026-06-11 07:00:08.726542	0.1693	0.1717	0.659	-0.0025	neutral	BAD	accepted:1012	sentiment_bad_released	-0.065	-0.0878	-0.0238	0.2231	-0.0659	2026-06-11 07:00:09.206394
AZ	"[""AZ""]"	nPn5K6FDSa	2026-06-11 07:00:05.597	A2Z Cust2Mate Mass Production Facilities in China Are Fully Operational Ramping Up Cart Deliveries	PR Newswire	32.94	NASDAQ	6.0	14768.2	2471.3415	2026-06-11 07:00:13.882534	0.5994	0.0237	0.3769	0.5757	positive	OK	accepted:1013	sentiment_ack	0.6275	0.6691	0.4496	0.8772	0.5745	2026-06-11 07:00:14.515368
ISOU	"[""ISOU"", ""ISO""]"	nPn1R0tTha	2026-06-11 07:00:11.356	IsoEnergy Commences 8,000 Metre Summer Drill Program at the Larocque East Project, Athabasca Basin	PR Newswire	38.24	NYSE AMERICAN	9.51	19950.0	553.1739	2026-06-11 07:00:16.457030	0.1344	0.0181	0.8474	0.1163	positive	BAD	accepted:1014	sentiment_bad_released	0.4033	0.4933	0.37	0.7425	0.333	2026-06-11 07:00:17.822576
ISO	"[""ISOU"", ""ISO""]"	nPn1R0tTha	2026-06-11 07:00:11.356	IsoEnergy Commences 8,000 Metre Summer Drill Program at the Larocque East Project, Athabasca Basin	PR Newswire		NYSE AMERICAN		44444.0	44444.0	2026-06-11 07:00:16.458377	0.1344	0.0181	0.8474	0.1163	positive	BAD	skipped:not_armed	skipped:not_armed	0.4097	0.5114	0.3887	0.7425	0.3538	2026-06-11 07:00:17.823173
HELP	"[""HELP""]"	nGNX9qtsJ	2026-06-11 07:30:00.734	Helus Pharma to Participate in the H.C. Wainwright 7th Annual Neuro Perspectives Conference	Globe Newswire	39.33	NASDAQ	3.92	2003.9	1012.2818	2026-06-11 07:30:02.359556	0.2389	0.0173	0.7439	0.2216	positive	OK	accepted:1016	sentiment_ack	0.2106	0.2435	0.1195	0.4366	0.1128	2026-06-11 07:30:03.243465
MDCX	"[""MDCX""]"	nGNX9NGVLJ	2026-06-11 07:30:00.672	Medicus Pharma Initiates Groundbreaking PRECISION-E2 Phase 2a Study of Teverelix® in Endometriosis utilizing the Emirati Genome Program	Globe Newswire	9.61	NASDAQ	0.3227	183.3	1082.4833	2026-06-11 07:30:02.381834	0.4216	0.0133	0.565	0.4083	positive	OK	accepted:1015	sentiment_ack	0.2375	0.2431	0.2308	0.6436	0.298	2026-06-11 07:30:03.492799
RFL	"[""RFL""]"	nGNX9xMmYD	2026-06-11 07:30:01.466	Rafael Holdings Reports Third Quarter Fiscal 2026 Financial Results	Globe Newswire	35.14	NYSE	1.93	11742.8	555.5381	2026-06-11 07:30:03.339602	0.1351	0.1313	0.7335	0.0038	neutral	BAD	accepted:1018	sentiment_bad_released	-0.019	-0.1077	-0.0179	0.7353	0.1524	2026-06-11 07:30:04.496323
QUCY	"[""QUCY"", ""4TO""]"	nGNXrMwft	2026-06-11 07:30:01.171	Quantum Cyber Entering Steady-State Scale Production, Launches Vertically Integrated Advanced Filament Manufacturing Division	Globe Newswire	18.92	NASDAQ	2.04	60.6	392.9842	2026-06-11 07:30:02.676449	0.1755	0.0139	0.8106	0.1615	positive	BAD	accepted:1017	sentiment_bad_released	0.3561	0.421	0.2687	0.7092	0.1968	2026-06-11 07:30:04.617290
4TO	"[""QUCY"", ""4TO""]"	nGNXrMwft	2026-06-11 07:30:01.171	Quantum Cyber Entering Steady-State Scale Production, Launches Vertically Integrated Advanced Filament Manufacturing Division	Globe Newswire		NASDAQ		44444.0	44444.0	2026-06-11 07:30:02.679905	0.1755	0.0139	0.8106	0.1615	positive	BAD	skipped:not_armed	skipped:not_armed	0.3393	0.3745	0.2364	0.5948	0.1677	2026-06-11 07:30:04.617427
TTGT	"[""TTGT""]"	nBw9XQw95a	2026-06-11 07:32:00.285	Omdia: Netflix to Reach 400 Million Subscribers by 2031, Maintaining Global Streaming Lead Despite Industry Consolidation	Business Wire	29.7	NASDAQ	3.71	1125.3	2242.0679	2026-06-11 07:32:00.395145	0.8546	0.0146	0.1309	0.84	positive	OK	accepted:1019	sentiment_ack	0.6098	0.6702	0.5223	0.8303	0.584	2026-06-11 07:32:00.828212
FTF	"[""FTF""]"	nGNE8clwc0	2026-06-11 07:40:00.172	REG-Net Asset Value(s)	Globe Newswire	40.41	LSE	5.78	34200.0	1191.4286	2026-06-11 07:40:00.438175	0.085	0.0457	0.8693	0.0393	neutral	BAD	accepted:1000	sentiment_bad_released	0.4133	0.2479	0.1204	0.154	0.1241	2026-06-11 07:40:00.531860
