Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
RMSG	"[""RMSG"", ""RMSGW""]"	nGNX1nWj0c	2026-06-09 13:05:00.540	Real Messenger Corporation Announces Closing of US$4.0 Million Public Offering	Globe Newswire	5.07	NASDAQ	0.768	56.4	425.7872	2026-06-09 13:05:00.584406	0.1002	0.059	0.8409	0.0412	neutral	BAD	accepted:1010	sentiment_bad_released	0.1241	0.0773	0.046	0.1485	0.0499	2026-06-09 13:05:02.812271
RMSGW	"[""RMSG"", ""RMSGW""]"	nGNX1nWj0c	2026-06-09 13:05:00.540	Real Messenger Corporation Announces Closing of US$4.0 Million Public Offering	Globe Newswire	0.3597	NASDAQ		970.5	198.0632	2026-06-09 13:05:00.583430	0.1002	0.059	0.8409	0.0412	neutral	BAD	no_reply	sentiment_bad_released	0.1889	0.1539	0.0765	0.3	0.0694	2026-06-09 13:05:05.565849
LTRYW	"[""SEGG"", ""LTRYW""]"	nGNX2jFJS0	2026-06-09 13:05:00.558	SEGG Media Launches Sports.com Predict Ahead of Schedule, Activating First Users in Time for NBA Finals and 2026 FIFA World Cup Kickoff	Globe Newswire		NASDAQ		662.7	370.3052	2026-06-09 13:05:00.625324	0.1024	0.0168	0.8808	0.0856	positive	BAD	no_reply	sentiment_bad_released	0.3321	0.4454	0.3018	0.7477	0.2529	2026-06-09 13:05:05.613884
SES	"[""SES""]"	nGNXbmj0wV	2026-06-09 13:05:08.331	INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in SES AI Corporation of Class Action Lawsuit and Upcoming Deadlines – SES	Globe Newswire	236.01	NYSE		44444.0	44444.0	2026-06-09 13:05:08.363818	0.232	0.4228	0.3452	-0.1908	negative	OK	skipped:excluded_string	skipped:not_armed	-0.2528	-0.3621	-0.1375	0.0822	-0.1088	2026-06-09 13:05:08.790282
FSK	"[""FSK""]"	nGNX8bSzTG	2026-06-09 13:05:58.363	INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in FS KKR Capital Corp. of Class Action Lawsuit and Upcoming Deadlines – FSK	Globe Newswire	279.18	NYSE		44444.0	44444.0	2026-06-09 13:05:58.388115	0.2285	0.5347	0.2369	-0.3062	negative	OK	skipped:excluded_string	skipped:not_armed	-0.2864	-0.3477	-0.1884	0.6244	-0.1607	2026-06-09 13:05:58.986570
PHR	"[""PHR""]"	nGNX7RTP9S	2026-06-09 13:12:47.340	INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in Phreesia, Inc. of Class Action Lawsuit and Upcoming Deadlines – PHR	Globe Newswire	49.77	NYSE	9.34	5.8	183.1431	2026-06-09 13:12:47.366064	0.1996	0.4417	0.3587	-0.2421	negative	BAD	skipped:excluded_string	skipped:not_armed	-0.3132	-0.3908	-0.1166	0.08	-0.1196	2026-06-09 13:12:47.708182
INTU	"[""INTU""]"	nGNX9W1rX4	2026-06-09 13:21:52.341	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Intuit, Inc. - INTU	Globe Newswire	267.63	NASDAQ		44444.0	44444.0	2026-06-09 13:21:52.368930	0.0858	0.0863	0.8278	-0.0005	neutral	BAD	skipped:excluded_string	skipped:not_armed	-0.0872	-0.1806	-0.0401	0.2186	-0.0353	2026-06-09 13:21:52.686235
BP	"[""BP""]"	nGNXbr69Rq	2026-06-09 13:23:39.331	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of BP p.l.c. - BP	Globe Newswire	2570.0	NYSE		44444.0	44444.0	2026-06-09 13:23:39.361811	0.1078	0.1101	0.782	-0.0023	neutral	BAD	skipped:excluded_string	skipped:not_armed	-0.0593	-0.1373	-0.023	0.1222	-0.023	2026-06-09 13:23:39.712074
BRCB	"[""BRCB""]"	nGNX7gJBf4	2026-06-09 13:27:23.239	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Black Rock Coffee Bar, Inc. - BRCB	Globe Newswire	20.99	NASDAQ	6.19	10.4	209.4726	2026-06-09 13:27:23.262498	0.1238	0.1171	0.7591	0.0067	neutral	BAD	skipped:excluded_string	skipped:not_armed	-0.1283	-0.2719	-0.0593	0.1281	-0.0578	2026-06-09 13:27:23.615098
AFL	"[""AFL""]"	nACSt3h33a	2026-06-09 13:30:00.659	Check For Cancer Champion Dr. Ryan Schoenfeld Has a Vision For Earlier Detection	ACCESSWIRE	453.81	NYSE		44444.0	44444.0	2026-06-09 13:30:00.688943	0.1055	0.0274	0.867	0.0781	positive	BAD	accepted:1014	sentiment_bad_released	0.2119	0.2665	0.206	0.5992	0.1396	2026-06-09 13:30:01.244544
TLSI	"[""TLSI""]"	nGNX5XzMjb	2026-06-09 13:33:29.302	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of TriSalus Life Sciences Inc. - TLSI	Globe Newswire	38.14	NASDAQ	3.21	28.8	206.3806	2026-06-09 13:33:29.379168	0.0971	0.096	0.8068	0.0011	neutral	BAD	skipped:excluded_string	skipped:not_armed	-0.2792	-0.4259	-0.1457	0.1596	-0.1586	2026-06-09 13:33:29.750978
AARD	"[""AARD""]"	nGNX6qWmBJ	2026-06-09 13:45:17.334	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims on Behalf of Investors of Aardvark Therapeutics, Inc. - AARD	Globe Newswire	12.55	NASDAQ	3.59	67.9	241.15	2026-06-09 13:45:17.363590	0.1263	0.1161	0.7576	0.0102	neutral	BAD	skipped:excluded_string	skipped:not_armed	-0.1932	-0.3154	-0.1075	0.0974	-0.1091	2026-06-09 13:45:17.772975
BORR	"[""BORR""]"	nPn51mcSSa	2026-06-09 13:49:19.896	Borr Drilling Limited - Pricing Terms for its Previously Announced Consent Solicitation and Tender Offer for its Senior Secured Notes due 2028	PR Newswire	270.6	NYSE		44444.0	44444.0	2026-06-09 13:49:19.927836	0.1988	0.0116	0.7897	0.1872	positive	BAD	accepted:1015	sentiment_bad_released	0.0717	0.0483	0.0409	0.1027	0.0436	2026-06-09 13:49:20.639681
BKKT	"[""BKKT""]"	nGNXwh4pf	2026-06-09 13:51:39.314	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims on Behalf of Investors of Bakkt, Inc. - BKKT	Globe Newswire	26.92	NYSE	8.11	4.2	304.5044	2026-06-09 13:51:39.342785	0.1281	0.1233	0.7486	0.0048	neutral	BAD	skipped:excluded_string	skipped:not_armed	-0.2458	-0.4103	-0.1211	0.1051	-0.1217	2026-06-09 13:51:39.718861
GTM	"[""GTM""]"	nGNX9pj9Jf	2026-06-09 13:51:52.323	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of ZoomInfo Technologies Inc. - GTM	Globe Newswire	230.35	NASDAQ		44444.0	44444.0	2026-06-09 13:51:52.349771	0.0895	0.0727	0.8378	0.0169	neutral	BAD	skipped:excluded_string	skipped:not_armed	-0.2782	-0.4119	-0.1452	0.1051	-0.1467	2026-06-09 13:51:52.698647
VTSI	"[""VTSI""]"	nGNX5t8pcR	2026-06-09 13:53:15.323	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of VirTra, Inc. - VTSI	Globe Newswire	10.85	NASDAQ	3.35	195.1	358.719	2026-06-09 13:53:15.350477	0.1149	0.1011	0.7841	0.0138	neutral	BAD	skipped:excluded_string	skipped:not_armed	-0.2425	-0.3845	-0.1194	0.071	-0.1226	2026-06-09 13:53:15.625318
SNBR	"[""SNBR""]"	nGNX50qqG9	2026-06-09 13:55:49.294	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sleep Number Corporation - SNBR	Globe Newswire	18.58	NASDAQ	0.5251	2.3	891.9329	2026-06-09 13:55:49.320934	0.0942	0.0692	0.8365	0.025	neutral	BAD	skipped:excluded_string	skipped:not_armed	-0.253	-0.4109	-0.1249	0.1051	-0.1279	2026-06-09 13:55:49.687076
CREX	"[""CREX""]"	nGNX6ZB0Fk	2026-06-09 14:15:31.567	CORRECTION - Creative Realities	Globe Newswire	8.72	NASDAQ	3.85	342.6	438.8895	2026-06-09 14:15:31.593296	0.1375	0.1359	0.7266	0.0016	neutral	BAD	accepted:1016	sentiment_bad_released	0.4248	0.5302	0.2099	0.8277	0.2262	2026-06-09 14:15:32.238213
WNC	"[""WNC""]"	nPn8HvJdka	2026-06-09 14:27:18.387	University of Phoenix named a 2025 Wabash Platinum Supplier for supply chain excellence	PR Newswire	38.45	NYSE	7.76	17.1	182.0376	2026-06-09 14:27:18.412647	0.5136	0.0138	0.4726	0.4998	positive	OK	accepted:1017	sentiment_ack	0.5913	0.6775	0.5913	0.8276	0.6718	2026-06-09 14:27:18.980555
BAC	"[""BAC""]"	nPn5BLnLKa	2026-06-09 14:30:00.665	BofA Kicks Off FIFA World Cup 2026™ With 2 Million Free Fan Bands and Fan Experiences Nationwide	PR Newswire	7080.0	NYSE		44444.0	44444.0	2026-06-09 14:30:00.695409	0.1878	0.0184	0.7938	0.1694	positive	BAD	accepted:1018	sentiment_bad_released	0.1757	0.1955	0.1368	0.3558	0.1436	2026-06-09 14:30:01.262294
TJX	"[""TJX""]"	nBwkn6gNa	2026-06-09 14:34:00.307	The TJX Companies, Inc. Announces Quarterly Common Stock Dividend	Business Wire	1100.0	NYSE		44444.0	44444.0	2026-06-09 14:34:00.333567	0.0631	0.0608	0.8761	0.0023	neutral	BAD	accepted:1019	sentiment_bad_released	0.2488	0.1573	0.1034	0.2765	0.1104	2026-06-09 14:34:00.625869
PICS	"[""PICS""]"	nNFC3d0PPL	2026-06-09 14:35:01.742	INVESTOR ALERT: Shareholders Who Lost Money in Shares of PicS N.V. (PICS) Should Contact Morris Kandinov Immediately	Newsfile Corp	22.23	NASDAQ	9.42	10.8	204.1553	2026-06-09 14:35:01.774943	0.0761	0.0989	0.825	-0.0228	neutral	BAD	accepted:1000	sentiment_bad_released	0.0929	0.045	0.069	0.4878	0.0466	2026-06-09 14:35:02.089594
SES	"[""SES""]"	nNFC78yf11	2026-06-09 14:41:13.185	SES AI DEADLINE: ROSEN, RECOGNIZED INVESTOR COUNSEL, Encourages SES AI Corporation Investors with Losses in Excess of $100K to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - SES	Newsfile Corp	236.01	NYSE		44444.0	44444.0	2026-06-09 14:41:13.231051	0.2415	0.0335	0.725	0.208	positive	OK	skipped:excluded_string	skipped:not_armed	0.1953	0.235	0.1379	0.4716	0.0936	2026-06-09 14:41:13.581738
MTEN	"[""MTEN""]"	nGNXc10SkY	2026-06-09 14:48:00.429	Mingteng International Corporation Inc. Announces Pricing of $2.26 Million Registered Direct Offering	Globe Newswire	0.84	NASDAQ	1.94	545.3	379.1396	2026-06-09 14:48:00.465509	0.1876	0.0185	0.7939	0.1692	positive	BAD	accepted:1001	sentiment_bad_released	0.1852	0.1996	0.0979	0.4625	0.1244	2026-06-09 14:48:00.988326
FLG	"[""FLG""]"	nPn6B0gyXa	2026-06-09 15:00:05.013	FLAGSTAR BANK, N.A. ANNOUNCES PRELIMINARY RESULTS OF 2026 ANNUAL SHAREHOLDERS' MEETING	PR Newswire	300.65	NYSE		44444.0	44444.0	2026-06-09 15:00:05.047102	0.0669	0.0259	0.9072	0.041	neutral	BAD	accepted:1002	sentiment_bad_released	0.3021	0.4046	0.2155	0.8121	0.2932	2026-06-09 15:00:06.198302
ZTS	"[""ZTS""]"	nPn4tgZzRa	2026-06-09 15:17:00.335	Zoetis Inc. (ZTS) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	416.83	NYSE		44444.0	44444.0	2026-06-09 15:17:00.360172	0.0638	0.4086	0.5277	-0.3448	negative	BAD	accepted:1003	sentiment_bad_released	-0.0637	-0.0863	-0.023	0.1086	-0.013	2026-06-09 15:17:00.738457
FSK	"[""FSK""]"	nPnM614ja	2026-06-09 15:18:00.229	FS KKR Capital Corp. (FSK) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	279.18	NYSE		44444.0	44444.0	2026-06-09 15:18:00.265492	0.0622	0.4098	0.528	-0.3476	negative	BAD	accepted:1004	sentiment_bad_released	-0.0547	-0.0553	-0.0235	0.0612	-0.0298	2026-06-09 15:18:00.664364
LKQ	"[""LKQ""]"	nPn8ZkSLFa	2026-06-09 15:22:00.319	LKQ Corporation (LKQ) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	253.04	NASDAQ		44444.0	44444.0	2026-06-09 15:22:00.343015	0.0487	0.5873	0.364	-0.5386	negative	BAD	accepted:1005	sentiment_bad_released	-0.0573	-0.0702	-0.0157	0.1968	-0.0173	2026-06-09 15:22:00.835194
PICS	"[""PICS""]"	nBw3N49bNa	2026-06-09 15:26:00.502	DEADLINE ALERT: Faruqi & Faruqi, LLP Reminds PicS N.V. (PICS) Investors of Securities Class Action Deadline on August 4, 2026	Business Wire	22.23	NASDAQ	9.42	10.8	204.1553	2026-06-09 15:26:00.540810	0.1209	0.099	0.7801	0.0219	neutral	BAD	accepted:1006	sentiment_bad_released	0.0733	0.0334	0.0617	0.5295	0.0737	2026-06-09 15:26:01.173131
WSE	"[""WSE"", ""WISEA""]"	nGNX6YSKXQ	2026-06-09 15:28:23.292	WSE Investor News: If You Have Suffered Losses in Wise Group plc (NASDAQ: WSE), You Are Encouraged to Contact The Rosen Law Firm About Your Rights	Globe Newswire	781.47	NASDAQ		44444.0	44444.0	2026-06-09 15:28:23.324320	0.1669	0.0694	0.7637	0.0975	positive	BAD	skipped:excluded_string	skipped:not_armed	0.1256	0.0853	0.1019	0.5323	0.0435	2026-06-09 15:28:23.821607
WISEA	"[""WSE"", ""WISEA""]"	nGNX6YSKXQ	2026-06-09 15:28:23.292	WSE Investor News: If You Have Suffered Losses in Wise Group plc (NASDAQ: WSE), You Are Encouraged to Contact The Rosen Law Firm About Your Rights	Globe Newswire		NASDAQ		44444.0	44444.0	2026-06-09 15:28:23.328154	0.1669	0.0694	0.7637	0.0975	positive	BAD	skipped:excluded_string	skipped:not_armed	0.1449	0.0999	0.1149	0.5323	0.0643	2026-06-09 15:28:23.821721
COSM	"[""COSM""]"	nGNX61slVV	2026-06-09 15:30:00.513	Cosmos Health Inaugurates State-of-the-Art Capsule Production Line with New 5-Year Contract Manufacturing Agreement with Provident Pharmaceuticals for 385,000 Units of CERTORUN	Globe Newswire	33.22	NASDAQ	0.23	12.7	854.9167	2026-06-09 15:30:00.545167	0.841	0.0086	0.1505	0.8324	positive	OK	accepted:1007	sentiment_ack	0.4445	0.5238	0.3045	0.8542	0.3729	2026-06-09 15:30:01.172822
PICS	"[""PICS""]"	nNFC3lZpcg	2026-06-09 15:45:54.613	PicS N.V. Notice of August 4, 2026 Application Deadline for Class Action Lawsuit - Contact Lewis Kahn, Esq. at Kahn Swick & Foti, LLC, Before Application Deadline	Newsfile Corp	22.23	NASDAQ	9.42	10.8	204.1553	2026-06-09 15:45:54.651049	0.1412	0.0755	0.7833	0.0657	positive	BAD	accepted:1008	sentiment_bad_released	0.0085	0.0259	0.0131	0.2627	-0.0287	2026-06-09 15:45:55.239569
GORO	"[""GORO""]"	nBw40Mh8Fa	2026-06-09 15:54:00.338	Gold Resource Investor Alert: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Gold Resource Corporation - GORO	Business Wire	158.52	NYSE AMERICAN	1.23	7.9	583.7585	2026-06-09 15:54:00.372579	0.0893	0.0536	0.8571	0.0357	neutral	BAD	accepted:1009	sentiment_bad_released	0.0669	0.0586	0.0532	0.1024	0.0585	2026-06-09 15:54:00.655308
GPK	"[""GPK""]"	nBw1SQddPa	2026-06-09 16:00:00.329	GPK Shareholder Alert: Graphic Packaging Holding Company Securities Class Action Lawsuit - Investors With Losses May Contact Levi & Korsinsky	Business Wire	291.25	NYSE		44444.0	44444.0	2026-06-09 16:00:00.361588	0.1083	0.2617	0.6299	-0.1534	negative	BAD	accepted:1010	sentiment_bad_released	-0.3724	-0.4345	-0.2967	0.1975	-0.2331	2026-06-09 16:00:01.768378
PHR	"[""PHR""]"	nBw16M2sQa	2026-06-09 16:00:00.735	PHR Shareholder Alert: Phreesia, Inc. Securities Class Action Lawsuit - Investors With Losses May Contact Levi & Korsinsky	Business Wire	49.77	NYSE	9.34	5428.6	20834.2458	2026-06-09 16:00:00.791784	0.1092	0.1602	0.7306	-0.051	negative	BAD	accepted:1012	sentiment_bad_released	-0.2076	-0.2589	-0.138	0.6079	-0.103	2026-06-09 16:00:02.505542
FTV	"[""FTV""]"	nBw2BtlvHa	2026-06-09 16:00:00.774	Fortive Declares Regular Quarterly Dividend	Business Wire	303.87	NYSE		44444.0	44444.0	2026-06-09 16:00:00.841400	0.1087	0.0699	0.8214	0.0388	neutral	BAD	accepted:1011	sentiment_bad_released	0.2686	0.281	0.1244	0.5011	0.1627	2026-06-09 16:00:03.157076
FF	"[""FF""]"	nPn75rTQ3a	2026-06-09 16:00:01.014	First Mining Announces Voting Results from 2026 AGM	PR Newswire	26.12	TSX	4.45	14295.2	4882.9394	2026-06-09 16:00:01.067697	0.078	0.0352	0.8869	0.0428	neutral	BAD	accepted:1013	sentiment_bad_released	0.0501	0.0419	0.0405	0.1443	0.0587	2026-06-09 16:00:03.792083
PRTS	"[""PRTS""]"	nPn77JrqDa	2026-06-09 16:01:00.528	CarParts.com Regains Compliance with Nasdaq Bid Price Requirement	PR Newswire	6.32	NASDAQ	5.87	25650.0	684.0476	2026-06-09 16:01:00.551585	0.8488	0.0212	0.13	0.8277	positive	OK	accepted:1014	sentiment_ack	0.2081	0.3133	0.1115	0.5489	0.1394	2026-06-09 16:01:00.959293
PSEC	"[""PSEC""]"	nGNX2g8ZX5	2026-06-09 16:01:01.120	Prospect Capital Announces Special Meeting Update	Globe Newswire	406.98	NASDAQ		44444.0	44444.0	2026-06-09 16:01:01.135043	0.0901	0.1155	0.7944	-0.0254	neutral	BAD	accepted:1015	sentiment_bad_released	0.0782	0.0706	0.0511	0.1591	0.0558	2026-06-09 16:01:01.600714
LAKE	"[""LAKE""]"	nGNX6vgt6Z	2026-06-09 16:01:02.050	Lakeland Fire + Safety Reports Fiscal First Quarter 2027 Results	Globe Newswire	8.37	NASDAQ	9.41	15200.0	1821.0833	2026-06-09 16:01:02.104287	0.0528	0.085	0.8622	-0.0322	neutral	BAD	accepted:1016	sentiment_bad_released	0.7547	0.785	0.6833	0.8999	0.6332	2026-06-09 16:01:03.308424
FLEX	"[""FLEX""]"	nPn1XGS8ka	2026-06-09 16:05:00.244	Flex to Join S&P 500 Index	PR Newswire	364.33	NASDAQ		44444.0	44444.0	2026-06-09 16:05:00.264305	0.167	0.0636	0.7694	0.1034	positive	BAD	accepted:1017	sentiment_bad_released	0.3691	0.4655	0.2603	0.6625	0.3272	2026-06-09 16:05:00.656342
MU	"[""MU""]"	nGNX4mlMKC	2026-06-09 16:05:00.760	Micron Appoints Alexis Black Björlin to Board of Directors	Globe Newswire	1120.0	NASDAQ		44444.0	44444.0	2026-06-09 16:05:00.784826	0.0995	0.0448	0.8557	0.0546	positive	BAD	accepted:1018	sentiment_bad_released	0.4677	0.5524	0.2631	0.7995	0.2227	2026-06-09 16:05:01.664857
BCRX	"[""BCRX""]"	nGNX5sytSy	2026-06-09 16:05:00.979	BioCryst Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)	Globe Newswire	215.06	NASDAQ		44444.0	44444.0	2026-06-09 16:05:01.025245	0.1186	0.0198	0.8617	0.0988	positive	BAD	accepted:1019	sentiment_bad_released	0.2944	0.2731	0.1495	0.4204	0.1651	2026-06-09 16:05:01.743016
