Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	body_sentiment	BodyCompletedAt	body_duration_ms	Trigger
GMHS	"[""GMHS""]"	nPn2KYMGJa	2026-05-12 06:00:04	Gamehaus Holdings Inc. to Announce Unaudited Financial Results for the Third Quarter of Fiscal 2026 on June 8, 2026	PR Newswire	9.76	2026-05-12 06:00:04.724968	0.0803	0.0649	0.8548	0.0154	neutral	0.0591	2026-05-12 06:00:06.509015	1872.75	NO:sentiment_score
AUUD	"[""AUUD""]"	nGNX5JHf1S	2026-05-12 06:00:01	Auddia Showcases Influence Healthcare as AI-Driven, High-Value Specialty Care Platform Ahead of S-4 Filing	Globe Newswire	0.5	2026-05-12 06:00:01.135890	0.5707	0.0097	0.4196	0.561	positive	0.0955	2026-05-12 06:00:07.829802	6764.26	NO:sentiment_score
VZLA	"[""VZLA""]"	nPn7QwHXGa	2026-05-12 06:00:07	Vizsla Silver Announces Change of Corporate Secretary	PR Newswire	330.22	2026-05-12 06:00:07.205129	0.1263	0.0916	0.7822	0.0347	neutral	0.257	2026-05-12 06:00:09.434296	2293.03	NO:sentiment_score,Float
CXDO	"[""CXDO""]"	nNFC8lpw5q	2026-05-12 06:00:15	Crexendo Inc. to Present at the LD Micro Invitational XVI	Newsfile Corp	17.42	2026-05-12 06:00:15.121558	0.0594	0.0143	0.9263	0.0452	neutral	0.2162	2026-05-12 06:00:15.824146	780.31	NO:sentiment_score
NTWK	"[""NTWK""]"	nNFCfxQ1k	2026-05-12 06:01:15	NETSOL Technologies Inc. to Present at the LD Micro Invitational XVI	Newsfile Corp	9.96	2026-05-12 06:01:15.807267	0.0824	0.0144	0.9032	0.068	positive	0.1458	2026-05-12 06:01:16.663042	971.34	NO:sentiment_score
BESS	"[""BESS""]"	nGNX1G9xBY	2026-05-12 06:30:00	Bimergen Energy to Present May 18th a $2B Asset Growth Plan at the LD Micro 16th Annual Invitational	Globe Newswire	4.38	2026-05-12 06:30:00.306208	0.2663	0.0121	0.7216	0.2542	positive		2026-05-12 06:30:01.834366	1590.06	NO:sentiment_score
SAFX	"[""SAFX""]"	nACSbjv5Ta	2026-05-12 06:30:00	XCF Global Announces Agreement to Reduce Debt and Increase Equity Capitalization with New Rise Founder and Key Stakeholder 	ACCESSWIRE	32.88	2026-05-12 06:30:00.892525	0.8526	0.0102	0.1372	0.8424	positive	0.2391	2026-05-12 06:30:07.050130	6166.21	YES
ALLT	"[""ALLT""]"	nPn9mDFYLa	2026-05-12 06:30:00	Allot First Quarter 2026 Results: Revenue Growth Accelerates to 14% YoY with Increased Margins	PR Newswire	46.5	2026-05-12 06:30:00.983689	0.945	0.0162	0.0389	0.9288	positive	0.3185	2026-05-12 06:30:08.523642	6688.27	YES
SMID	"[""SMID""]"	nBw9VCS6Va	2026-05-12 06:31:00	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	2026-05-12 06:31:00.218303	0.0738	0.0729	0.8534	0.0009	neutral	0.0934	2026-05-12 06:31:00.380834	229.03	NO:sentiment_score
GPUS	"[""GPUS""]"	nPnb71T5pa	2026-05-12 06:55:00	Hyperscale Data Reports Approximately 687 Bitcoin and Approximately $94 Million of Combined Bitcoin, Cash and Restricted Cash; Plans to Discuss Major Capital Markets and Treasury Initiatives with First Quarter 2026 Results	PR Newswire	411.68	2026-05-12 06:55:00.206210	0.5306	0.0187	0.4507	0.5119	positive		2026-05-12 06:55:03.437793	3299.99	NO:sentiment_score,Float
FURY	"[""FURY""]"	nGNX1jx1fJ	2026-05-12 06:59:00	Fury Appoints Senior Director, Environment and Permits	Globe Newswire	170.82	2026-05-12 06:59:00.229848	0.0434	0.0482	0.9084	-0.0048	neutral	0.2444	2026-05-12 06:59:01.257493	1078.2	NO:sentiment_score,Float
AMS	"[""AMS""]"	nGNX7hGYtY	2026-05-12 07:00:00	American Shared Hospital Services Announces First Quarter 2026 Financial Results Conference Call	Globe Newswire	3.5	2026-05-12 07:00:00.888365	0.0966	0.0668	0.8366	0.0298	neutral	0.1315	2026-05-12 07:00:03.514640	2762.52	NO:sentiment_score
GEMI	"[""GEMI""]"	nACSxkLbYa	2026-05-12 07:00:00	GEMI INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Reminds Investors of Gemini Space Station, Inc. to Contact the Firm Today!	ACCESSWIRE	38.2	2026-05-12 07:00:00.888554	0.1467	0.0417	0.8116	0.105	positive	0.1116	2026-05-12 07:00:03.895976	3006.86	NO:sentiment_score
FHTX	"[""FHTX""]"	nGNX9QS5fq	2026-05-12 07:00:00	Foghorn Therapeutics to Participate in Three Upcoming Investor Conferences in May	Globe Newswire	29.6	2026-05-12 07:00:01.044524	0.1689	0.0271	0.804	0.1417	positive	0.1761	2026-05-12 07:00:05.835825	1934.14	NO:sentiment_score
BMR	"[""BMR""]"	nGNE5DsfMm	2026-05-12 07:00:00	Beamr to Demonstrate Video Data Processing for Resilient AV Models at Smart Mobility Summit	Globe Newswire	10.91	2026-05-12 07:00:00.973807	0.6832	0.0098	0.307	0.6734	positive	0.3591	2026-05-12 07:00:06.591776	3073.44	NO:sentiment_score
CLYM	"[""CLYM""]"	nGNX4SCsq9	2026-05-12 07:00:00	Climb Bio to Present at Upcoming Investor Conferences	Globe Newswire	39.49	2026-05-12 07:00:01.051962	0.1747	0.054	0.7713	0.1207	positive	0.1403	2026-05-12 07:00:07.024070	1176.0	NO:sentiment_score
RNAC	"[""RNAC""]"	nGNXbkTSvY	2026-05-12 07:00:00	Cartesian Therapeutics to Participate in the H.C. Wainwright 4th Annual BioConnect Investor Conference at NASDAQ	Globe Newswire	9.59	2026-05-12 07:00:01.066555	0.1875	0.018	0.7945	0.1695	positive	0.1041	2026-05-12 07:00:07.621636	1026.7	NO:sentiment_score
SLMT	"[""SLMT""]"	nBw1hM5H2a	2026-05-12 07:00:01	Brera Holdings PLC (d/b/a Solmate Infrastructure) Announces Reverse Share Split to Regain Compliance with Nasdaq’s Minimum Bid Price Rule	Business Wire	44.62	2026-05-12 07:00:01.136173	0.7894	0.0328	0.1778	0.7567	positive	0.2061	2026-05-12 07:00:09.751551	2720.84	YES
CREX	"[""CREX""]"	nGNXbNCJ5m	2026-05-12 07:00:01	Creative Realities, Inc. Announces First Quarter 2026 Earnings Release Date and Conference Call Information	Globe Newswire	9.09	2026-05-12 07:00:01.300158	0.049	0.0924	0.8585	-0.0434	neutral	-0.0162	2026-05-12 07:00:09.930694	2289.92	NO:sentiment_score
CIGI	"[""CIGI""]"	nGNX1mLq1z	2026-05-12 07:00:01	Colliers to partner with specialist engineering and design firm	Globe Newswire	43.8	2026-05-12 07:00:03.521850	0.5963	0.0105	0.3931	0.5858	positive	0.4234	2026-05-12 07:00:11.442151	1681.96	NO:sentiment_score
CM	"[""CM""]"	nBw1hyTyYa	2026-05-12 07:00:02	CIBC Innovation Banking Provides Growth Capital to EnsoData	Business Wire	925.85	2026-05-12 07:00:05.910419	0.2584	0.0105	0.7311	0.2479	positive		2026-05-12 07:00:13.764688	2316.97	NO:sentiment_score,Float
CHOW	"[""CHOW""]"	nACSnsT07a	2026-05-12 07:00:02	CHOW DEADLINE - FINAL REMINDER: Bronstein, Gewirtz & Grossman LLC Alerts ChowChow Cloud International Holdings Ltd. Investors to Participate in the Class Action Lawsuit Today	ACCESSWIRE	10.64	2026-05-12 07:00:06.597209	0.1512	0.1195	0.7293	0.0317	neutral	-0.1931	2026-05-12 07:00:16.198084	2424.46	NO:sentiment_score
FCHL	"[""FCHL""]"	nACSdYD4Xa	2026-05-12 07:00:03	FCHL INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Stockholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	2026-05-12 07:00:07.112094	0.1449	0.2768	0.5783	-0.1319	negative	-0.1028	2026-05-12 07:00:17.836554	1637.47	NO:sentiment_score
YOOV	"[""YOOV""]"	nACSKY3GWa	2026-05-12 07:00:03	CIGL INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Reminds Shareholders of Concorde International Group, Ltd. to Contact the Firm Today! 	ACCESSWIRE	5.91	2026-05-12 07:00:07.636376	0.1518	0.0424	0.8058	0.1094	positive	-0.0786	2026-05-12 07:00:19.497535	1650.86	NO:sentiment_score
SNBR	"[""SNBR""]"	nBw4WRch0a	2026-05-12 07:00:01	Sleep Number Announces First Quarter 2026 Results	Business Wire	18.49	2026-05-12 07:00:03.908452	0.0738	0.0543	0.8719	0.0196	neutral	0.2172	2026-05-12 07:00:21.107679	11183.47	NO:sentiment_score
ATRA	"[""ATRA""]"	nACS40lm7a	2026-05-12 07:00:03	ATRA INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Reminds Shareholders of Atara Biotherapeutics, Inc. to Contact the Firm Today!	ACCESSWIRE	4.86	2026-05-12 07:00:09.804944	0.0975	0.0359	0.8666	0.0616	positive	-0.0525	2026-05-12 07:00:21.569807	2070.2	NO:sentiment_score
ACHV	"[""ACHV""]"	nGNX984XM	2026-05-12 07:00:04	Achieve Life Sciences Reports First Quarter 2026 Financial Results and Provides Business Updates	Globe Newswire	46.59	2026-05-12 07:00:11.452443	0.0744	0.0281	0.8975	0.0463	neutral	0.1758	2026-05-12 07:00:26.257171	4677.86	NO:sentiment_score
LTRX	"[""LTRX""]"	nGNX8FtmPf	2026-05-12 07:00:04	Lantronix xPico 600 Brings Wi-Fi 6, Enterprise Security and Cloud Management to Industrial IoT — All in a Single Embedded Module	Globe Newswire	34.56	2026-05-12 07:00:09.945466	0.1281	0.0111	0.8608	0.117	positive	0.2152	2026-05-12 07:00:26.457002	5345.72	NO:sentiment_score
L	"[""L""]"	nGNXV6ytr	2026-05-12 07:00:04	Loblaw Releases 2025 Live Life Well® Report Highlighting Progress in Sustainability, Community Support, and Social Impact	Globe Newswire	167.23	2026-05-12 07:00:13.835490	0.2731	0.0264	0.7005	0.2466	positive		2026-05-12 07:00:27.719197	1444.45	NO:sentiment_score,Float
OTCM	"[""OTCM"", ""AGX""]"	nGNX6FrJjn	2026-05-12 07:00:04	OTC Markets Group Welcomes Silver X Mining Corp. to OTCQX	Globe Newswire		2026-05-12 07:00:16.210692	0.1947	0.0141	0.7912	0.1806	positive		2026-05-12 07:00:29.810533	3338.34	NO:sentiment_score,Float
AGX	"[""OTCM"", ""AGX""]"	nGNX6FrJjn	2026-05-12 07:00:04	OTC Markets Group Welcomes Silver X Mining Corp. to OTCQX	Globe Newswire	13.36	2026-05-12 07:00:17.884569	0.1947	0.0141	0.7912	0.1806	positive	0.5941	2026-05-12 07:00:29.812073	3338.34	NO:sentiment_score
MCRB	"[""MCRB""]"	nGNX95MWp4	2026-05-12 07:00:05	Seres Therapeutics to Participate in H.C. Wainwright 4th Annual BioConnect Investor Conference	Globe Newswire	7.24	2026-05-12 07:00:21.183301	0.1746	0.016	0.8094	0.1586	positive	0.195	2026-05-12 07:00:31.129542	1319.09	NO:sentiment_score
PODC	"[""PODC""]"	nGNX5bzsB6	2026-05-12 07:00:05	LiveOne (Nasdaq: LVO) Subsidiary PodcastOne (Nasdaq: PODC) Receives $5.5M Cash Payment from $3 Per Share Warrant Exercise	Globe Newswire	4.25	2026-05-12 07:00:21.579391	0.5593	0.0357	0.405	0.5236	positive	0.2742	2026-05-12 07:00:35.076835	3939.41	NO:sentiment_score
BWEN	"[""BWEN""]"	nGNX9ZSfNx	2026-05-12 07:00:05	Broadwind Announces First Quarter 2026 Results	Globe Newswire	19.98	2026-05-12 07:00:19.518278	0.0836	0.0526	0.8638	0.031	neutral	0.0455	2026-05-12 07:00:38.327443	10610.66	NO:sentiment_score
LVO	"[""LVO""]"	nGNX8tq6gf	2026-05-12 07:00:05	LiveOne (Nasdaq: LVO) Subsidiary PodcastOne (Nasdaq: PODC) Receives $5.5M Cash Payment from $3 Per Share Warrant Exercise	Globe Newswire	8.57	2026-05-12 07:00:26.263917	0.5593	0.0357	0.405	0.5236	positive	0.2752	2026-05-12 07:00:38.664593	3587.94	NO:sentiment_score
TLRY	"[""TLRY""]"	nGNX3CcH7m	2026-05-12 07:00:05	Blue Point Brewing Launches Magic Hour IPA—A Bright, Tropical 6% ABV Sipper for Golden Hour	Globe Newswire	118.71	2026-05-12 07:00:26.468996	0.68	0.0177	0.3023	0.6624	positive	0.3319	2026-05-12 07:00:40.817873	2485.12	NO:sentiment_score,Float
LITB	"[""LITB""]"	nPnXcfm3a	2026-05-12 07:00:06	LightInTheBox Reports First Quarter 2026 Financial Results	PR Newswire	17.2	2026-05-12 07:00:27.721346	0.131	0.1047	0.7644	0.0263	neutral	0.567	2026-05-12 07:00:44.079468	5407.72	NO:sentiment_score
NEXT	"[""NEXT""]"	nACSpLWSma	2026-05-12 07:00:06	NextSource Materials Announces Final Investment Decision for UAE Battery Anode Facility	ACCESSWIRE	147.59	2026-05-12 07:00:29.849518	0.2125	0.0188	0.7687	0.1937	positive	0.0176	2026-05-12 07:00:48.726953	4633.17	NO:sentiment_score,Float
CALC	"[""CALC""]"	nPn881t9Pa	2026-05-12 07:00:07	CalciMedica Reports First Quarter 2026 Financial Results and Provides Clinical & Corporate Updates	PR Newswire	8.26	2026-05-12 07:00:31.175450	0.0688	0.0282	0.9029	0.0406	neutral	0.1978	2026-05-12 07:00:55.194682	6472.99	NO:sentiment_score
ISO	"[""ISOU"", ""ISO""]"	nPn13wShxa	2026-05-12 07:00:16	IsoEnergy Confirms High Grade Uranium Mineralization on the Hurricane South Trend, with up to 4.21% U3O8 over 3.5 m, including up to 11.6% U3O8 over 1.0 m	PR Newswire		2026-05-12 07:00:38.333584	0.7261	0.0253	0.2487	0.7008	positive		2026-05-12 07:01:01.084344	5877.77	NO:Float
ISOU	"[""ISOU"", ""ISO""]"	nPn13wShxa	2026-05-12 07:00:16	IsoEnergy Confirms High Grade Uranium Mineralization on the Hurricane South Trend, with up to 4.21% U3O8 over 3.5 m, including up to 11.6% U3O8 over 1.0 m	PR Newswire	38.12	2026-05-12 07:00:35.085934	0.7261	0.0253	0.2487	0.7008	positive	0.1025	2026-05-12 07:01:01.085098	5877.77	YES
PHIO	"[""PHIO""]"	nNFC1TtQHG	2026-05-12 07:00:19	"Phio Pharmaceuticals Announces ""Innovations in Skin Cancer Treatment and Prevention"" in a Fireside Chat with Force Family Office on Tuesday, May 19, 2026"	Newsfile Corp	10.38	2026-05-12 07:00:38.669716	0.2596	0.0137	0.7267	0.2459	positive	0.1166	2026-05-12 07:01:05.641813	4542.98	NO:sentiment_score
PRLD	"[""PRLD""]"	nGNXb6Yg7v	2026-05-12 07:01:00	Prelude Therapeutics Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	22.91	2026-05-12 07:01:00.331304	0.0909	0.0433	0.8658	0.0475	neutral	0.2891	2026-05-12 07:01:14.253823	8604.71	NO:sentiment_score
ACXP	"[""ACXP""]"	nPn8sqH9ka	2026-05-12 07:01:00	Acurx Pharmaceuticals, Inc. Reports First Quarter 2026 results and Provides Business Update	PR Newswire	3.37	2026-05-12 07:01:00.752540	0.0599	0.0306	0.9095	0.0294	neutral	0.2275	2026-05-12 07:01:25.728909	11479.86	NO:sentiment_score
RM	"[""RM""]"	nACSS42Wva	2026-05-12 07:00:06	Roxmore Resources Reports Significant Drill Results From The Converse Project, Battle Mountain - Eureka Trend Nevada	ACCESSWIRE	8.5	2026-05-12 07:00:29.849193	0.7819	0.0347	0.1834	0.7471	positive		2026-05-12 07:02:00.367938	79545.97	YES
NRXS	"[""NRXS""]"	nGNXqBCbv	2026-05-12 07:05:00	NeurAxis Reports Record First Quarter 2026 Financial Results Driven by 80% Year Over Year Revenue Growth	Globe Newswire	8.25	2026-05-12 07:05:00.328357	0.8855	0.0275	0.087	0.858	positive	0.1595	2026-05-12 07:05:04.968914	4725.51	YES
UNCY	"[""UNCY""]"	nGNXbkHB8j	2026-05-12 07:05:00	Unicycive Therapeutics Announces First Quarter 2026 Financial Results and Provides Business Update	Globe Newswire	22.4	2026-05-12 07:05:00.483925	0.1088	0.0259	0.8653	0.083	positive	0.1755	2026-05-12 07:05:05.642459	5257.52	NO:sentiment_score
BRAI	"[""BRAI""]"	nPRrC1745a	2026-05-12 07:15:45	REG-BlackRock American Income Trust Plc: Net Asset Value(s)	PR Newswire	17.7	2026-05-12 07:15:45.722721	0.0711	0.0375	0.8914	0.0336	neutral		2026-05-12 07:15:45.970201	327.96	NO:sentiment_score
KPTI	"[""KPTI""]"	nPn3DgZ7la	2026-05-12 07:30:00	Karyopharm to Participate at Upcoming Investor Conferences	PR Newswire	20.8	2026-05-12 07:30:00.187594	0.2147	0.0183	0.767	0.1964	positive	0.2078	2026-05-12 07:30:02.418528	2299.3	NO:sentiment_score
COYA	"[""COYA""]"	nBw2PY0mYa	2026-05-12 07:30:00	Coya Therapeutics Has Been Granted U.S. FDA Fast Track Designation for COYA 302 for the Treatment of Amyotrophic Lateral Sclerosis (ALS)	Business Wire	19.99	2026-05-12 07:30:00.727443	0.8459	0.0148	0.1394	0.8311	positive	0.2444	2026-05-12 07:30:06.035776	3605.55	YES
VTGN	"[""VTGN""]"	nBw3RY1Xqa	2026-05-12 07:30:00	Vistagen Announces Preliminary Positive Data in Ongoing Open-Label Extension Portion of PALISADE-3 Phase 3 Study of Fasedienol for the Acute Treatment of Social Anxiety Disorder	Business Wire	33.78	2026-05-12 07:30:00.717174	0.8352	0.0218	0.1429	0.8134	positive	0.4358	2026-05-12 07:30:08.473549	7864.64	YES
SGMT	"[""SGMT""]"	nGNX2Y3XCB	2026-05-12 07:30:00	Sagimet Biosciences Reports First Quarter 2026 Financial Results and Provides Corporate Updates	Globe Newswire	27.11	2026-05-12 07:30:00.817690	0.0798	0.0354	0.8848	0.0443	neutral	-0.0524	2026-05-12 07:30:10.179724	4124.61	NO:sentiment_score
HURA	"[""HURA""]"	nPn6xLGpa	2026-05-12 07:30:01	TuHURA Biosciences to Present at the 4th Annual H.C. Wainwright BioConnect Investor Conference	PR Newswire	47.89	2026-05-12 07:30:01.101320	0.1367	0.0203	0.843	0.1164	positive	0.4309	2026-05-12 07:30:12.043782	1859.75	NO:sentiment_score
XLO	"[""XLO""]"	nGNX74vtvv	2026-05-12 07:30:00	Xilio Therapeutics Reports First Quarter 2026 Financial Results and Provides Pipeline and Business Updates	Globe Newswire	3.04	2026-05-12 07:30:00.885580	0.0734	0.0214	0.9052	0.052	positive	0.1182	2026-05-12 07:30:15.519750	7037.56	NO:sentiment_score
HBIO	"[""HBIO""]"	nGNXccjgpw	2026-05-12 07:30:01	Harvard Bioscience Announces First Quarter 2026 Financial Results	Globe Newswire	4.21	2026-05-12 07:30:01.377564	0.119	0.1175	0.7635	0.0014	neutral	-0.0175	2026-05-12 07:30:16.964936	4933.32	NO:sentiment_score
BHST	"[""BHST""]"	nNFC2hRCXm	2026-05-12 07:30:25	BioHarvest Sciences Signs $1.2M CDMO Stage 2 Contract for the Development of a Rare Fragrance Using Its Proprietary Botanical Synthesis Platform	Newsfile Corp	14.53	2026-05-12 07:30:25.732069	0.7059	0.01	0.2841	0.6959	positive	0.3997	2026-05-12 07:30:27.048349	1386.75	NO:sentiment_score
RENX	"[""RENX""]"	nPn5RHs2Ya	2026-05-12 07:43:00	Renalytix™ and Carna Health Partner to Solve Kidney Disease Crisis: Bridging the Existing Gap Between Population Screening and Precision Intervention	PR Newswire	2.3	2026-05-12 07:43:00.220863	0.395	0.0111	0.5939	0.3838	positive	0.4848	2026-05-12 07:43:01.969172	1838.9	NO:sentiment_score
ZENA	"[""ZENA""]"	nGNX5Gv05M	2026-05-12 07:45:00	ZenaTech Targets Gulf State Defense Markets with Lviv-Based Phoenix Aero Counter-UAS and Interceptor Drone Production	Globe Newswire	18.44	2026-05-12 07:45:00.274637	0.2093	0.0091	0.7816	0.2002	positive	0.2305	2026-05-12 07:45:04.500354	4305.82	NO:sentiment_score
SKLZ	"[""SKLZ""]"	nBw3QCDNba	2026-05-12 07:45:00	Skillz to Report 2026 First Quarter Results on May 15, 2026 and Host a Conference Call and Webcast on May 19, 2026	Business Wire	8.46	2026-05-12 07:45:00.739382	0.0788	0.0276	0.8936	0.0512	positive	0.2095	2026-05-12 07:45:05.829524	1320.29	NO:sentiment_score
9433	"[""CNCK"", ""9433""]"	nBw1jh5GDa	2026-05-12 07:45:00	Coincheck Group Announces Partnership With KDDI Corporation to Expand Access to Digital Assets	Business Wire		2026-05-12 07:45:00.727119	0.7952	0.0119	0.193	0.7833	positive		2026-05-12 07:45:05.842317	5211.16	NO:Float
CNCK	"[""CNCK"", ""9433""]"	nBw1jh5GDa	2026-05-12 07:45:00	Coincheck Group Announces Partnership With KDDI Corporation to Expand Access to Digital Assets	Business Wire	13.82	2026-05-12 07:45:00.737628	0.7952	0.0119	0.193	0.7833	positive		2026-05-12 07:45:05.842851	5211.16	YES
JAGU	"[""JAGU""]"	nPn11pcCba	2026-05-12 07:55:00	Jaguar Uranium Begins Field Work at Guanaco; Targets Potential Resource at Laguna Salada	PR Newswire	14.21	2026-05-12 07:55:00.431648	0.5261	0.0177	0.4562	0.5085	positive	0.21	2026-05-12 07:55:03.683863	3309.69	NO:sentiment_score
GELS	"[""GELS""]"	nGNX8G5Gk9	2026-05-12 08:00:00	Gelteq Announces USD $3.5 Million Strategic Debt Financing to Accelerate Commercialization and Support Revenue Growth	Globe Newswire	5.62	2026-05-12 08:00:00.578844	0.8161	0.0122	0.1717	0.8039	positive		2026-05-12 08:00:03.914264	3368.64	YES
IMNN	"[""IMNN""]"	nGNX6QvVng	2026-05-12 08:00:00	IMUNON Reports First Quarter 2026 Financial Results and Provides Business Update	Globe Newswire	3.81	2026-05-12 08:00:00.511749	0.0584	0.0239	0.9177	0.0344	neutral	0.6789	2026-05-12 08:00:06.545334	6127.39	NO:sentiment_score
ENSC	"[""ENSC""]"	nACS1SVS0a	2026-05-12 08:00:00	Ensysce Biosciences Announces Expansion of Patent Protection for Groundbreaking MPAR(R) Overdose Protection Technology	ACCESSWIRE	9.25	2026-05-12 08:00:00.696841	0.8011	0.0095	0.1894	0.7916	positive		2026-05-12 08:00:06.850269	2932.82	YES
BYRN	"[""BYRN""]"	nGNX3drfQ5	2026-05-12 08:00:00	Byrna Technologies Sets Upcoming Investor Conference Schedule	Globe Newswire	17.76	2026-05-12 08:00:00.778361	0.1007	0.0865	0.8128	0.0141	neutral	0.0539	2026-05-12 08:00:08.807854	1945.26	NO:sentiment_score
VTAK	"[""VTAK""]"	nGNE1qJmgq	2026-05-12 08:00:00	FLYTE ACTIVATES HIGH-FREQUENCY PREAKNESS FLIGHT PROGRAM, DEPLOYING FLEET TO SERVE STRONG NORTHEAST DEMAND	Globe Newswire	1.97	2026-05-12 08:00:00.711553	0.8406	0.0109	0.1485	0.8296	positive	0.5012	2026-05-12 08:00:10.021577	3472.92	YES
GNS	"[""GNS""]"	nGNX7QXJm5	2026-05-12 08:00:01	Genius Group Releases Updates on AI Education and Digital Banking Plans	Globe Newswire	146.03	2026-05-12 08:00:01.047299	0.0701	0.0236	0.9063	0.0465	neutral	0.2884	2026-05-12 08:00:14.655161	5830.7	NO:sentiment_score,Float
DARE	"[""DARE""]"	nGNXqKPS1	2026-05-12 08:00:01	Positive Interim Phase 3 Results Highlight Potential of Ovaprene®, Novel Hormone-Free Contraceptive	Globe Newswire	13.35	2026-05-12 08:00:01.344617	0.8435	0.0124	0.1441	0.8311	positive	0.736	2026-05-12 08:00:15.995461	5958.23	YES
TBI	"[""TBI""]"	nBw7MZ8h4a	2026-05-12 08:00:01	TrueBlue Board of Directors Appoints Chris Kreidler as Board Chair	Business Wire	26.92	2026-05-12 08:00:01.499541	0.0539	0.0531	0.893	0.0008	neutral	0.0904	2026-05-12 08:00:16.958535	2287.9	NO:sentiment_score
JCSE	"[""JCSE""]"	nGNX9Znshp	2026-05-12 08:00:02	PRECISION CLEANING MANUFACTURER JE CLEANTECH REPORTS IMPROVED FY2025 FINANCIAL PERFORMANCE	Globe Newswire	1.51	2026-05-12 08:00:04.002344	0.9423	0.0235	0.0342	0.9188	positive	0.0672	2026-05-12 08:00:18.169543	2175.03	YES
