Symbol	Tickers	ID	Created	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
INDO	"[""INDO""]"	nGNX6hNlV	08:00:01.162	2026-06-11 08:00:02.523	Indonesia Energy to Present at the Planet MicroCap Conference on Wednesday June 17, 2026	Globe Newswire	9.92	NYSE AMERICAN	2.84	428.8	498.2774	2026-06-11 08:00:09.030214	0.1161	0.0164	0.8675	0.0997	positive	BAD	accepted:1009	sentiment_bad_released	0.2964	0.3361	0.1319	0.5952	0.1344	2026-06-11 08:00:11.335449
NSPR	"[""NSPR""]"	nGNX7D6Wyw	08:00:01.243	2026-06-11 08:00:02.665	InspireMD Announces 30-Day Results from the CGUARDIANS II Clinical Trial of the CGuard Prime 80 cm Implant for Use in TCAR Procedures	Globe Newswire	33.43	NASDAQ	0.7754	5831.0	634.6448	2026-06-11 08:00:09.048564	0.1804	0.0186	0.8009	0.1618	positive	BAD	accepted:1017	sentiment_bad_released	0.4089	0.5225	0.3665	0.8628	0.3985	2026-06-11 08:00:11.531527
NAKA	"[""NAKA""]"	nBwc3D4r7a	08:00:01.173	2026-06-11 08:00:02.883	Nakamoto Strengthens Capital Structure Through Debt Reduction, Refinancing, and Share Repurchase Authorization	Business Wire	10.88	NASDAQ	4.08	1881.7	706.3361	2026-06-11 08:00:09.264207	0.8837	0.0112	0.1051	0.8726	positive	OK	accepted:1018	sentiment_ack	0.4379	0.5215	0.4379	0.9009	0.4592	2026-06-11 08:00:12.240705
VHUB	"[""VHUB""]"	nGNXc8kLLW	08:00:02.062	2026-06-11 08:00:03.507	VenHub Introduces New Features that Provide an Even Faster, Easier and More Accessible Shopping Experience Across its Smart Store Retail Platform	Globe Newswire	17.3807	NASDAQ	1.13	1058.5	404.6849	2026-06-11 08:00:09.580542	0.7433	0.0085	0.2482	0.7348	positive	OK	accepted:1015	sentiment_ack	0.4528	0.5998	0.4528	0.872	0.5184	2026-06-11 08:00:12.382759
TTEC	"[""TTEC""]"	nGNX3Z78j	08:00:02.292	2026-06-11 08:00:03.568	TTEC Launches TTEC VeriCycle, an AI-Powered Healthcare Claims Intelligence Solution to Reduce Denials and Accelerate Reimbursement	Globe Newswire	19.74	NASDAQ	2.22	15878.6	3726.4444	2026-06-11 08:00:09.720551	0.3631	0.0139	0.623	0.3492	positive	OK	accepted:1016	sentiment_ack	0.0936	-0.012	0.0895	0.6354	-0.011	2026-06-11 08:00:13.177366
KUST	"[""KUST""]"	nGNX7JF5tX	08:00:02.611	2026-06-11 08:00:04.286	Kustom Entertainment, Inc. and Gilley’s Gambling Hall Park City Conclude Press Conference Announcing New Live Event Plans	Globe Newswire	0.57	NASDAQ	1.7	703.1	292.1931	2026-06-11 08:00:10.049540	0.13	0.0267	0.8433	0.1033	positive	BAD	accepted:1000	sentiment_bad_released	0.2505	0.3655	0.1787	0.7023	0.2135	2026-06-11 08:00:13.360422
BNGO	"[""BNGO""]"	nGNX5dttF8	08:00:03.013	2026-06-11 08:00:04.549	Bionano Announces Multiple Publications in 2026 Describing Unique Utility of OGM in Studies of Reproductive Health and Prenatal Genetic Disorders	Globe Newswire	10.76	NASDAQ	1.16	1750.3	413.3544	2026-06-11 08:00:12.949385	0.4134	0.0103	0.5763	0.4031	positive	OK	rejected:no_free_client	skipped:arm_rejected	0.235	0.3422	0.1699	0.6189	0.1861	2026-06-11 08:00:14.288732
ATOS	"[""ATOS""]"	nPn5gPDx4a	08:00:09.351	2026-06-11 08:00:09.503	Atossa Therapeutics Announces Registered Direct Offering of up to $16.5 Million in Gross Proceeds	PR Newswire	8.46	NASDAQ	4.4	34200.0	483.3846	2026-06-11 08:00:14.208115	0.344	0.0176	0.6384	0.3264	positive	OK	accepted:1006	sentiment_ack	0.194	0.1445	0.0932	0.29	0.0892	2026-06-11 08:00:15.338328
VRA	"[""VRA""]"	nGNXc0hB49	08:00:01.857	2026-06-11 08:00:04.633	Vera Bradley Announces First Quarter Fiscal Year 2027 Results	Globe Newswire	18.45	NASDAQ	3.18	8360.0	1825.2647	2026-06-11 08:00:13.864295	0.0785	0.0875	0.834	-0.009	neutral	BAD	rejected:no_free_client	skipped:arm_rejected	0.3059	0.3102	0.3059	0.9086	0.4359	2026-06-11 08:00:15.429149
BNRG	"[""BNRG""]"	nNFC29ZhVS	08:00:15.982	2026-06-11 08:00:16.191	Brenmiller Announces Up to $2.5 Million Investment at a Premium to Market to Advance BNRG360 Growth Strategy	Newsfile Corp	0.49	NASDAQ	1.31	120.7	325.0512	2026-06-11 08:00:17.166407	0.4578	0.0217	0.5205	0.4361	positive	OK	accepted:1019	sentiment_ack	0.504	0.6256	0.4348	0.8375	0.4327	2026-06-11 08:00:17.724658
NTRP	"[""NTRP""]"	nACSYkX3La	08:01:00.328	2026-06-11 08:01:00.502	NextTrip Acquires Controlling Interest in Fully Licensed TikTok Partner Agency YADA, Accelerating Vision to Build a Global Creator, Entertainment and Travel Commerce Ecosystem	ACCESSWIRE	0.82	NASDAQ	2.24	6597.3	528.6542	2026-06-11 08:01:00.747711	0.5916	0.0108	0.3976	0.5808	positive	OK	accepted:1014	sentiment_ack	0.3772	0.4389	0.3184	0.7086	0.3146	2026-06-11 08:01:01.611874
SPAI	"[""SPAI""]"	nGNX8BVHxm	08:02:00.103	2026-06-11 08:02:00.249	Safe Pro Contracted to Provide U.S. Army Edge AI Operational Support for Airfield Exercise, Expanding its Role in Force Protection Applications	Globe Newswire	11.94	NASDAQ	5.14	1770.9	317.5223	2026-06-11 08:02:00.408449	0.7297	0.0096	0.2607	0.7201	positive	OK	accepted:1013	sentiment_ack	0.3821	0.4935	0.348	0.7875	0.3606	2026-06-11 08:02:00.995290
SXTP	"[""SXTP"", ""SXTPW""]"	nGNX7QNRnc	08:03:00.092	2026-06-11 08:03:00.220	60 Degrees Pharmaceuticals Signs Exclusive Patent License Agreement with Florida State University for Non-Prescription Use of Australian Chestnut Extract as a Botanical Supplement	Globe Newswire	2.63	NASDAQ	1.38	16340.0	379.1538	2026-06-11 08:03:00.479424	0.8114	0.0105	0.1782	0.8009	positive	OK	accepted:1009	sentiment_ack	0.271	0.3372	0.194	0.6304	0.2471	2026-06-11 08:03:01.392055
SXTPW	"[""SXTP"", ""SXTPW""]"	nGNX7QNRnc	08:03:00.092	2026-06-11 08:03:00.220	60 Degrees Pharmaceuticals Signs Exclusive Patent License Agreement with Florida State University for Non-Prescription Use of Australian Chestnut Extract as a Botanical Supplement	Globe Newswire		NASDAQ		15182.0	21363.2397	2026-06-11 08:03:00.484456	0.8114	0.0105	0.1782	0.8009	positive	OK	no_reply	sentiment_ack	0.271	0.3372	0.194	0.6304	0.2471	2026-06-11 08:03:05.465697
RKTO	"[""RKTO""]"	nPn9GMTvPa	08:04:00.043	2026-06-11 08:04:00.234	Rocket One Announces Former NASA Astronaut and International Space Station Commander Shane Kimbrough to Join Rocket One Space Advisory Board	PR Newswire	20.41	NASDAQ	1.33	22.5	615.6837	2026-06-11 08:04:00.365473	0.0602	0.0259	0.9138	0.0343	neutral	BAD	accepted:1000	sentiment_bad_released	0.2402	0.4206	0.228	0.7182	0.1965	2026-06-11 08:04:00.837249
TGL	"[""TGL""]"	nGNX9nZBQF	08:13:00.095	2026-06-11 08:13:00.266	Treasure Global Secures US$15 Million Enterprise AI Contract for Social Listening Platform	Globe Newswire	1.33	NASDAQ	5.15	13300.0	268.6943	2026-06-11 08:13:00.441008	0.7279	0.0153	0.2568	0.7127	positive	OK	accepted:1002	sentiment_ack	0.4852	0.6344	0.4405	0.8262	0.4328	2026-06-11 08:13:01.194311
OESX	"[""OESX""]"	nGNX6k4K1b	08:28:00.123	2026-06-11 08:28:00.211	Orion (Nasdaq: OESX) to Participate in the iAccess Alpha Virtual Best Ideas Summer Investment Conference 2026 on June 23–24, 2026	Globe Newswire	3.65	NASDAQ	9.34	22939.0	290.2329	2026-06-11 08:28:00.557531	0.2287	0.0298	0.7415	0.1989	positive	OK	accepted:1019	sentiment_ack	0.2126	0.1144	0.0754	0.1649	0.0746	2026-06-11 08:28:00.829952
KLC	"[""KLC""]"	nBw5xvcKpa	08:28:00.114	2026-06-11 08:28:00.307	KinderCare Earns Fourth Consecutive WELL Health-Safety Rating	Business Wire	30.1	NYSE	3.89	12350.0	11087.9	2026-06-11 08:28:00.929051	0.683	0.0977	0.2193	0.5852	positive	OK	accepted:1004	sentiment_ack	0.475	0.5793	0.475	0.8495	0.4633	2026-06-11 08:28:01.391230
DFDV	"[""DFDV""]"	nGNE2fc52k	08:30:00.297	2026-06-11 08:30:00.674	DeFi Development Corp. to Host X Spaces Event: “DFDV May 2026 Recap & AMA”	Globe Newswire	21.33	NASDAQ	2.655	304.7	881.795	2026-06-11 08:30:03.344937	0.1295	0.0306	0.8398	0.0989	positive	BAD	accepted:1005	sentiment_bad_released	0.3737	0.3629	0.177	0.5033	0.159	2026-06-11 08:30:03.776529
PPCB	"[""PPCB""]"	nGNX337hLR	08:30:00.136	2026-06-11 08:30:00.741	Propanc Biopharma Authorizes $5.0 Million Share Repurchase Program	Globe Newswire	2.04	NASDAQ	1.35	3916.9	388.1186	2026-06-11 08:30:03.501609	0.1669	0.0156	0.8175	0.1513	positive	BAD	accepted:1007	sentiment_bad_released	0.3599	0.4925	0.2918	0.7435	0.4399	2026-06-11 08:30:04.563801
GMEX	"[""GMEX""]"	nGNX9QBBsJ	08:30:00.308	2026-06-11 08:30:00.900	GMEX Robotics launches Innovative Tool-free Vision Sensor Mounting System for Industrial Robots to Drive Factory Efficiency	Globe Newswire	0.201	NASDAQ	0.875	28.3	337.9105	2026-06-11 08:30:03.928065	0.5331	0.0113	0.4556	0.5218	positive	OK	accepted:1008	sentiment_ack	0.3612	0.4284	0.3168	0.724	0.3448	2026-06-11 08:30:04.794135
NIXX	"[""NIXX""]"	nBw3vXnXha	08:30:00.394	2026-06-11 08:30:00.998	Nixxy and Tachyon9 Position to Address Growing U.S. AI Infrastructure Capacity Shortfall	Business Wire	22.28	NASDAQ	0.8897	337.5	615.8388	2026-06-11 08:30:04.200156	0.7133	0.0438	0.2428	0.6695	positive	OK	accepted:1010	sentiment_ack	0.2119	0.1751	0.2035	0.7498	0.1161	2026-06-11 08:30:05.367686
TOMZ	"[""TOMZ""]"	nGNXcbZCGB	08:30:00.481	2026-06-11 08:30:01.231	TOMI Environmental Solutions Highlights Massive Biosecurity Opportunity Ahead of FIFA World Cup	Globe Newswire	13.36	NASDAQ	0.8399	1237.1	672.3895	2026-06-11 08:30:04.351740	0.7758	0.0116	0.2126	0.7643	positive	OK	accepted:1011	sentiment_ack	0.4873	0.5338	0.4873	0.8261	0.5134	2026-06-11 08:30:05.598018
DPRO	"[""DPRO""]"	nGNXbnS33D	08:30:00.626	2026-06-11 08:30:01.368	DRAGANFLY COMPLETES ACQUISITION OF SKIP DYNAMIX	Globe Newswire	36.37	NASDAQ	5.725	287.1	562.0485	2026-06-11 08:30:09.640432	0.1735	0.0306	0.7959	0.1429	positive	BAD	accepted:1018	sentiment_bad_released	0.4526	0.5805	0.4341	0.8891	0.4448	2026-06-11 08:30:10.795675
CITR	"[""CITR""]"	nBw35DGgZa	08:30:00.469	2026-06-11 08:30:01.528	All Risk Shield Chooses to Apply CitroTech Following Independent Testing of Legacy Wildfire Defense Products	Business Wire	11.86	NYSE AMERICAN	6.21	19950.0	211.0	2026-06-11 08:30:09.718911	0.2484	0.0093	0.7423	0.2391	positive	OK	accepted:1016	sentiment_ack	0.4216	0.5131	0.4216	0.7609	0.387	2026-06-11 08:30:11.048016
BLIN	"[""BLIN""]"	nACSC893sa	08:30:00.896	2026-06-11 08:30:01.528	Global Manufacturer Launches HawkSearch to Power Multilingual Search	ACCESSWIRE	9.17	NASDAQ	1.08	24428.6	438.5455	2026-06-11 08:30:09.735529	0.2902	0.0092	0.7007	0.281	positive	OK	accepted:1006	sentiment_ack	0.4822	0.525	0.2947	0.7324	0.3416	2026-06-11 08:30:11.288254
MDAI	"[""MDAI"", ""MDAIW""]"	nGNX19T1b3	08:30:00.856	2026-06-11 08:30:01.670	Spectral AI to Participate in 2026 British Burn Association Annual Conference	Globe Newswire	26.85	NASDAQ	1.83	793.5	857.0343	2026-06-11 08:30:09.885908	0.2062	0.0269	0.7669	0.1792	positive	OK	accepted:1014	sentiment_ack	0.3583	0.4987	0.3187	0.7854	0.2926	2026-06-11 08:30:12.294674
RNXT	"[""RNXT""]"	nGNXJHndX	08:30:00.390	2026-06-11 08:30:01.670	RenovoRx Highlights Peer-Reviewed Publication Supporting Intra-Arterial Gemcitabine Delivery Via TAMP™ in Locally Advanced Pancreatic Cancer	Globe Newswire	43.48	NASDAQ	0.8507	2074.7	1029.5284	2026-06-11 08:30:09.898639	0.6314	0.0186	0.35	0.6128	positive	OK	accepted:1017	sentiment_ack	0.3517	0.4356	0.3517	0.8077	0.3414	2026-06-11 08:30:12.382873
VSEE	"[""VSEE""]"	nACSVfDnma	08:30:00.925	2026-06-11 08:30:01.950	VSee Health Completes Strategic Separation of VSee Lab, Retires Approximately 7% of Outstanding Shares, and Transitions to Single CEO Leadership	ACCESSWIRE	38.51	NASDAQ	0.157	501.5	1528.0994	2026-06-11 08:30:10.800430	0.048	0.0303	0.9218	0.0177	neutral	BAD	accepted:1013	sentiment_bad_released	0.3205	0.4472	0.2476	0.8294	0.2371	2026-06-11 08:30:13.045010
HSCS	"[""HSCS"", ""HSCSW""]"	nGNXbvVLtF	08:30:00.974	2026-06-11 08:30:01.840	European Patent Granted for ECG-Based Assessment of Diastolic Function, Expands HeartSciences’ Patent Portfolio to More Than 45 Granted Patents	Globe Newswire	3.11	NASDAQ	1.88	6758.6	338.0852	2026-06-11 08:30:10.047187	0.7871	0.0083	0.2046	0.7789	positive	OK	accepted:1000	sentiment_ack	0.1671	0.3026	0.1069	0.3534	0.1589	2026-06-11 08:30:13.684766
NTCL	"[""NTCL""]"	nGNX3rhh3r	08:30:00.909	2026-06-11 08:30:02.062	NETCLASS TECHNOLOGY INC Expands AI Multilingual Assessment Market and International Strategic Partnerships	Globe Newswire	11.79	NASDAQ	2.91	163.4	688.796	2026-06-11 08:30:11.062453	0.5909	0.0102	0.3988	0.5807	positive	OK	accepted:1009	sentiment_ack	0.4667	0.5708	0.356	0.8495	0.5213	2026-06-11 08:30:14.112216
DUKR	"[""DUKR""]"	nGNX47HJ7v	08:30:01.058	2026-06-11 08:30:02.243	Duke Robotics Strengthens Leadership Team with Appointment of Defense and Drone-Technology Veteran Yiftach Kleinman as Chief Executive Officer	Globe Newswire	1.45	NASDAQ	6.65	17100.0	175.8947	2026-06-11 08:30:11.310658	0.8442	0.0161	0.1397	0.8281	positive	OK	rejected:no_free_client	skipped:arm_rejected	0.5299	0.6209	0.4549	0.786	0.3828	2026-06-11 08:30:14.846660
MDAIW	"[""MDAI"", ""MDAIW""]"	nGNX19T1b3	08:30:00.856	2026-06-11 08:30:01.670	Spectral AI to Participate in 2026 British Burn Association Annual Conference	Globe Newswire	27.9773	NASDAQ		21775.2	1084.0279	2026-06-11 08:30:09.890460	0.2062	0.0269	0.7669	0.1792	positive	OK	no_reply	sentiment_ack	0.3408	0.4773	0.307	0.7854	0.2783	2026-06-11 08:30:14.883237
HSCSW	"[""HSCS"", ""HSCSW""]"	nGNXbvVLtF	08:30:00.974	2026-06-11 08:30:01.840	European Patent Granted for ECG-Based Assessment of Diastolic Function, Expands HeartSciences’ Patent Portfolio to More Than 45 Granted Patents	Globe Newswire	3.0706	NASDAQ		6154.6	362.3235	2026-06-11 08:30:10.046076	0.7871	0.0083	0.2046	0.7789	positive	OK	no_reply	sentiment_ack	0.2996	0.4139	0.1739	0.7736	0.2705	2026-06-11 08:30:15.022020
NOMA	"[""NOMA""]"	nPnbgLLrqa	08:30:01.483	2026-06-11 08:30:02.328	Nomadar Reinforces International Sports Tourism Platform Through 2026 Cádiz Global Cup	PR Newswire	5.16	NASDAQ	3.39	31370.5	244.4286	2026-06-11 08:30:12.295511	0.3125	0.0196	0.6679	0.2929	positive	OK	rejected:no_free_client	skipped:arm_rejected	0.4339	0.5273	0.3934	0.8213	0.4127	2026-06-11 08:30:15.261716
VVOS	"[""VVOS""]"	nGNX8zcJtG	08:30:01.112	2026-06-11 08:30:02.233	Vivos Therapeutics Announces Intent to File a Registration Statement for a Proposed Rights Offering	Globe Newswire	10.14	NASDAQ	0.6389	36.1	558.5382	2026-06-11 08:30:12.391169	0.1455	0.0142	0.8403	0.1313	positive	BAD	accepted:1002	sentiment_bad_released	0.1426	0.0966	0.0622	0.1545	0.0809	2026-06-11 08:30:15.864633
LFS	"[""LFS""]"	nPn9yC7pNa	08:30:03.471	2026-06-11 08:30:03.658	LEIFRAS Co., Ltd. Achieves Multi-Sport School Presence Across All 47 Prefectures in Japan on Its 25th Anniversary	PR Newswire	6.594	NASDAQ	1.96	272.7	283.9115	2026-06-11 08:30:13.046159	0.8743	0.0142	0.1114	0.8601	positive	OK	accepted:1015	sentiment_ack	0.6018	0.6782	0.5447	0.8896	0.5207	2026-06-11 08:30:16.138704
XPON	"[""XPON""]"	nGNX6bwy3q	08:31:00.160	2026-06-11 08:31:00.268	Expion360 to Showcase as Title Sponsor at Overland Expo PNW 2026 in Redmond, Oregon June 26-28	Globe Newswire	10.55	NASDAQ	0.488	2008.0	463.2579	2026-06-11 08:31:00.345863	0.1384	0.0159	0.8457	0.1224	positive	BAD	accepted:1013	sentiment_bad_released	0.223	0.3118	0.196	0.6141	0.2258	2026-06-11 08:31:01.211638
PHUN	"[""PHUN""]"	nGNX6RBZmb	08:31:00.110	2026-06-11 08:31:00.285	Phunware to Showcase AI-Enabled Guest Intelligence Platform Enhancements at HITEC North America 2026	Globe Newswire	18.46	NASDAQ	1.96	2949.7	703.4507	2026-06-11 08:31:00.370743	0.5129	0.0117	0.4754	0.5012	positive	OK	accepted:1002	sentiment_ack	0.4663	0.5715	0.4017	0.7719	0.3482	2026-06-11 08:31:01.465343
LASE	"[""LASE""]"	nACSP1JWZa	08:31:00.341	2026-06-11 08:31:00.490	Laser Photonics Completes Laser Shield Anti-Drone (LSAD) Prototype and Begins Demonstration Phase with U.S. and International Defense Stakeholders	ACCESSWIRE	24.6	NASDAQ	2.15	8.6	474.2436	2026-06-11 08:31:01.022267	0.1775	0.0156	0.8069	0.162	positive	BAD	accepted:1007	sentiment_bad_released	0.5815	0.6651	0.5575	0.8507	0.5346	2026-06-11 08:31:01.939020
AUUD	"[""AUUD""]"	nGNXyQjw9	08:31:33.132	2026-06-11 08:31:33.358	Auddia Provides Update on McCarthy Finney Merger as Process Advances Toward Expected Closing	Globe Newswire	4.78	NASDAQ	1.29	138.6	367.7926	2026-06-11 08:31:33.463423	0.2082	0.0564	0.7354	0.1518	positive	OK	accepted:1018	sentiment_ack	0.2996	0.3582	0.2552	0.626	0.2718	2026-06-11 08:31:34.144744
CHAI	"[""CHAI""]"	nGNX2wP2GV	08:40:00.107	2026-06-11 08:40:00.213	Core AI Announces Launch of AI Home Design App: HomeGPT	Globe Newswire	18.3	NASDAQ	1.37	1628.7	267.6948	2026-06-11 08:40:00.398075	0.1851	0.0155	0.7993	0.1696	positive	BAD	accepted:1019	sentiment_bad_released	0.3755	0.4541	0.2954	0.7584	0.3684	2026-06-11 08:40:00.944277
CJMB	"[""CJMB""]"	nGNX6wbDRq	08:45:00.128	2026-06-11 08:45:00.442	Callan JMB Expands Oregon Public Health Support Capabilities Through State VFC Authorization	Globe Newswire	2.4214	NASDAQ	0.7616	2661.7	520.1446	2026-06-11 08:45:00.884802	0.8411	0.0088	0.1501	0.8324	positive	OK	accepted:1013	sentiment_ack	0.583	0.6574	0.5527	0.8501	0.5669	2026-06-11 08:45:01.654631
PMEC	"[""PMEC""]"	nGNX7MdwW8	08:45:00.147	2026-06-11 08:45:00.433	Primech Holdings Secures Approximately US$8.8 Million in New Commercial, Institutional and Tenancy Facilities Services Contracts	Globe Newswire	5.53	NASDAQ	0.7795	8550.0	308.2623	2026-06-11 08:45:00.868993	0.3757	0.0151	0.6093	0.3606	positive	OK	accepted:1004	sentiment_ack	0.5778	0.6683	0.5778	0.8454	0.5229	2026-06-11 08:45:01.670616
EMAT	"[""EMAT""]"	nGNE1b9NK6	09:00:00.086	2026-06-11 09:00:00.458	Evolution Metals & Technologies Corp. Validates Commercial-Scale Non-China Rare Earth Magnet Supply Capability Ahead of January 2027 DFARS Defense Sourcing Deadline	Globe Newswire	49.76	NASDAQ	6.58	7790.0	682.102	2026-06-11 09:00:02.479526	0.2047	0.0154	0.7799	0.1893	positive	OK	accepted:1007	sentiment_ack	0.5123	0.5793	0.3734	0.8473	0.4038	2026-06-11 09:00:03.566383
FKWL	"[""FKWL""]"	nGNX85RPSV	09:00:00.929	2026-06-11 09:00:01.359	Franklin Access Launches RG3100 5G Mobile Router Hotspot on T-Mobile’s Advanced 5G Network	Globe Newswire	8.44	NASDAQ	2.75	34200.0	299.1	2026-06-11 09:00:03.880067	0.2091	0.0143	0.7766	0.1948	positive	OK	accepted:1005	sentiment_ack	0.5055	0.5677	0.3881	0.7892	0.475	2026-06-11 09:00:04.394010
GNSS	"[""GNSS""]"	nBw7YRk73a	09:00:00.820	2026-06-11 09:00:01.490	Genasys Integrates Evertel® with Law Enforcement Platform Used by Vacaville, CA Police Department	Business Wire	35.6	NASDAQ	1.84	18728.6	746.3415	2026-06-11 09:00:04.383327	0.2267	0.0124	0.7609	0.2143	positive	OK	accepted:1008	sentiment_ack	0.3091	0.3852	0.2328	0.7372	0.2374	2026-06-11 09:00:04.970062
AIFU	"[""AIFU""]"	nGNX9bHC1L	09:00:00.764	2026-06-11 09:00:01.577	AIFU Signs MOU to Acquire Industrial AI Company, Launching Strategic Transformation	Globe Newswire	13.39	NASDAQ	2.52	16150.0	191.0476	2026-06-11 09:00:05.003439	0.2358	0.0131	0.7511	0.2227	positive	OK	accepted:1010	sentiment_ack	0.4464	0.5563	0.3643	0.8013	0.3781	2026-06-11 09:00:05.403939
PSFE	"[""PSFE""]"	nBw7GFtC7a	09:00:02.153	2026-06-11 09:00:02.447	Paysafe and Skrill Get on Board With Woody & Kleiny’s Outrageous US Soccer Road Trip: 39 Days, 15,000 Miles, Streamed Live 24/7	Business Wire	22.3	NYSE	6.87	13300.0	10306.9333	2026-06-11 09:00:09.120963	0.2564	0.0342	0.7093	0.2222	positive	OK	accepted:1016	sentiment_ack	0.245	0.2773	0.2092	0.4527	0.1825	2026-06-11 09:00:09.643251
