Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
FCHL	"[""FCHL""]"	nACSh0ll4a	2026-05-20 07:00:03	 FCHL SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	NASDAQ	2026-05-20 07:00:03.119478	0.1648	0.209	0.6261	-0.0442	neutral	NO:sentiment_score
SCNI	"[""SCNI"", ""2F5Y""]"	nPn7k76Vva	2026-05-20 07:00:03	Scinai Biopharma Services Appoints Eilon Elmalem as Site Head of Yavne CDMO Facility	PR Newswire	3.39	NASDAQ	2026-05-20 07:00:03.197349	0.0423	0.0818	0.8759	-0.0395	neutral	NO:sentiment_score
2F5Y	"[""SCNI"", ""2F5Y""]"	nPn7k76Vva	2026-05-20 07:00:03	Scinai Biopharma Services Appoints Eilon Elmalem as Site Head of Yavne CDMO Facility	PR Newswire		NASDAQ	2026-05-20 07:00:03.199026	0.0423	0.0818	0.8759	-0.0395	neutral	NO:sentiment_score,Float
EVGN	"[""EVGN""]"	nPn24Wb0Na	2026-05-20 07:00:05	Evogene Reports First Quarter 2026 Financial Results	PR Newswire	9.8	NASDAQ	2026-05-20 07:00:05.248418	0.1106	0.0954	0.794	0.0152	neutral	NO:sentiment_score
ATRA	"[""ATRA""]"	nACSlRCMla	2026-05-20 07:00:05	 ATRA Shareholders Have Opportunity to Lead Atara Biotherapeutics, Inc. Class Action Lawsuit –  Contact Bronstein, Gewirtz and Grossman, LLC Today!	ACCESSWIRE	4.86	NASDAQ	2026-05-20 07:00:05.305354	0.146	0.0935	0.7605	0.0524	positive	NO:sentiment_score
PHR	"[""PHR""]"	nACSQPvMsa	2026-05-20 07:00:07	PHR SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Phreesia, Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	46.13	NYSE	2026-05-20 07:00:07.089596	0.1815	0.244	0.5745	-0.0624	negative	NO:sentiment_score
BOOM	"[""BOOM""]"	nNFC6qMwN0	2026-05-20 07:00:19	Galloper Appoints Former Federal Minister of Natural Resources to Its Board of Directors	Newsfile Corp	18.08		2026-05-20 07:00:19.148431	0.0769	0.0511	0.8719	0.0258	neutral	NO:sentiment_score
BLRX	"[""BLRX""]"	nPn8kmJhja	2026-05-20 07:01:05	BioLineRx to Report First Quarter 2026 Results on May 27, 2026	PR Newswire	4.33	NASDAQ	2026-05-20 07:01:05.439424	0.0764	0.0465	0.8771	0.0299	neutral	NO:sentiment_score
BRAI	"[""BRAI""]"	nPRrK5008a	2026-05-20 07:16:31	REG-BlackRock American Income Trust Plc: Net Asset Value(s)	PR Newswire	17.7	LSE	2026-05-20 07:16:31.139001	0.0711	0.0375	0.8914	0.0336	neutral	NO:sentiment_score
EBS	"[""EBS""]"	nGNX5PvZ0P	2026-05-20 07:30:00	Emergent BioSolutions to Participate in Upcoming Investor Conferences	Globe Newswire	49.78	NYSE	2026-05-20 07:30:00.822910	0.1687	0.0191	0.8122	0.1497	positive	NO:sentiment_score
4TO	"[""QUCY"", ""4TO""]"	nGNX5NBfGG	2026-05-20 07:30:00	Quantum Cyber Files Provisional Patent for Quantum-Navigated Amphibious Autonomous Ground Vehicle Platform	Globe Newswire		NASDAQ	2026-05-20 07:30:00.827636	0.4673	0.0107	0.522	0.4566	positive	NO:sentiment_score,Float
QUCY	"[""QUCY"", ""4TO""]"	nGNX5NBfGG	2026-05-20 07:30:00	Quantum Cyber Files Provisional Patent for Quantum-Navigated Amphibious Autonomous Ground Vehicle Platform	Globe Newswire	10.66	NASDAQ	2026-05-20 07:30:00.828418	0.4673	0.0107	0.522	0.4566	positive	NO:sentiment_score
RVSN	"[""RVSN""]"	nGNX2mCCy8	2026-05-20 07:32:00	Rail Vision: Quantum Transportation Successfully Integrates Google’s Public Surface-Code Dataset into its Quantum Error Correction Transformer	Globe Newswire	2.02	NASDAQ	2026-05-20 07:32:00.177005	0.3852	0.0114	0.6034	0.3739	positive	NO:sentiment_score
AIIO	"[""AIIO""]"	nPre0mvH4a	2026-05-20 07:32:31	Neurovia AI CTO at ISNR: Solving the AI Data Cost Dilemma and Unleashing Infrastructure Capacity	PR Newswire	13.53	NASDAQ	2026-05-20 07:32:31.910842	0.2363	0.0213	0.7424	0.2151	positive	NO:sentiment_score
CAPS	"[""CAPS""]"	nBw65NlJPa	2026-05-20 07:35:00	Capstone Reports Q1 2026 Results: Revenue Up 60%, Gross Profit Up 124%, Best Q1 Gross Margin in Four Years	Business Wire	3.7	NASDAQ	2026-05-20 07:35:00.156900	0.941	0.0225	0.0365	0.9185	positive	YES
JUNS	"[""JUNS"", ""MDMA""]"	nGNXbPJWRz	2026-05-20 07:38:00	Jupiter Neurosciences Secures $100M Term Sheet for Exclusive U.S. Rights to ALA-002, a Next-Generation MDMA Therapeutic from PharmAla Biotech	Globe Newswire	15.48	NASDAQ	2026-05-20 07:38:00.186266	0.7264	0.015	0.2586	0.7114	positive	YES
MDMA	"[""JUNS"", ""MDMA""]"	nGNXbPJWRz	2026-05-20 07:38:00	Jupiter Neurosciences Secures $100M Term Sheet for Exclusive U.S. Rights to ALA-002, a Next-Generation MDMA Therapeutic from PharmAla Biotech	Globe Newswire		NASDAQ	2026-05-20 07:38:00.187861	0.7264	0.015	0.2586	0.7114	positive	NO:Float
BMR	"[""BMR""]"	nGNX5XTDSS	2026-05-20 07:40:00	Beamr to Present its ML-Safe Video Data Stack to AV Engineers at AutoSens USA	Globe Newswire	10.91	NASDAQ	2026-05-20 07:40:00.192612	0.2788	0.0104	0.7108	0.2683	positive	NO:sentiment_score
AREB	"[""AREB""]"	nACS0f9rZa	2026-05-20 08:00:00	American Rebel Holdings, Inc. CEO Andy Ross Takes Washington DC: Capitol Hill Meetings, Total Wine Partnership Advance, and National Brand Momentum Signal American Rebel Light Beer Is Playing Offense	ACCESSWIRE	0.2331	OTC	2026-05-20 08:00:00.511120	0.263	0.0642	0.6728	0.1988	positive	NO:sentiment_score
TELO	"[""TELO""]"	nACSBK4lsa	2026-05-20 08:00:00	Telomir Pharmaceuticals Reports Peer-Reviewed Publication of Telomir-Zn Data Demonstrating Improved Survival and Multiple Endpoint Benefits in Wilson's Disease 	ACCESSWIRE	15.54	NASDAQ	2026-05-20 08:00:00.701092	0.9429	0.0183	0.0388	0.9246	positive	YES
FLNT	"[""FLNT""]"	nGNX7pkG6k	2026-05-20 08:00:00	FLINT Announces Appointment of Mark Nelson as Chief Operating Officer	Globe Newswire	15.09	TSX	2026-05-20 08:00:00.872290	0.0782	0.0472	0.8745	0.031	neutral	NO:sentiment_score
TPET	"[""TPET""]"	nGNX4LKmmC	2026-05-20 08:00:00	Trio Petroleum Corp Issues Broker-Dealer Action Notice Ahead of May 21, 2026 Annual Meeting	Globe Newswire	32.15	NYSE AMERICAN	2026-05-20 08:00:00.997905	0.056	0.0457	0.8983	0.0103	neutral	NO:sentiment_score
WHWK	"[""WHWK""]"	nPnb6gPh7a	2026-05-20 08:00:01	Whitehawk Therapeutics to Participate in the TD Cowen 7th Annual Oncology Innovation Summit	PR Newswire	28.51	NASDAQ	2026-05-20 08:00:01.392605	0.5488	0.0194	0.4318	0.5294	positive	NO:sentiment_score
CDIO	"[""CDIO""]"	nGNX2rRCvw	2026-05-20 08:00:01	IBN Announces Latest Episode of The BioMedWire Podcast Featuring Dr. Meesha Dogan, CEO of Cardio Diagnostics Holdings Inc.	Globe Newswire	2.84	NASDAQ	2026-05-20 08:00:01.394342	0.1113	0.0705	0.8182	0.0409	neutral	NO:sentiment_score
III	"[""III""]"	nBwQ7xBCa	2026-05-20 08:00:01	Brazilian Firms Scale AI for Quantifiable Returns	Business Wire	33.28	NASDAQ	2026-05-20 08:00:01.787540	0.2222	0.0443	0.7335	0.178	positive	NO:sentiment_score
EVTV	"[""EVTV""]"	nPn3GpHrMa	2026-05-20 08:00:01	AZIO AI Executes Definitive Merger Agreement with Envirotech Vehicles, Inc. (NASDAQ: EVTV) at $750 Million Valuation Supported by Independent Third-Party Fairness Opinion	PR Newswire	11.91	NASDAQ	2026-05-20 08:00:01.798165	0.7563	0.0115	0.2323	0.7448	positive	YES
TARA	"[""TARA""]"	nGNX25DWbg	2026-05-20 08:00:02	Protara Therapeutics to Present at the TD Cowen 7th Annual Oncology Innovation Summit: Insights for ASCO & EHA	Globe Newswire	49.3	NASDAQ	2026-05-20 08:00:02.110303	0.2712	0.0165	0.7124	0.2547	positive	NO:sentiment_score
GELS	"[""GELS""]"	nGNXbG21L0	2026-05-20 08:00:02	Gelteq Commences Veterinary Medicine Clinical Trial to Support an FDA Regulatory Pathway	Globe Newswire	5.62	NASDAQ	2026-05-20 08:00:02.341907	0.6047	0.0155	0.3797	0.5892	positive	NO:sentiment_score
IRHO	"[""IRHO""]"	nGNX6CWv0m	2026-05-20 08:00:02	ELECTRA AI to Present at Sidoti’s Micro-Cap Virtual Investor Conference Today and Tomorrow, May 20-21	Globe Newswire	23.57	NASDAQ	2026-05-20 08:00:02.612943	0.0865	0.0237	0.8898	0.0628	positive	NO:sentiment_score
ANVS	"[""ANVS""]"	nGNXsFf51	2026-05-20 08:00:03	Annovis Announces Pricing of $15.0 Million Public Offering of Common Stock and Accompanying Warrants	Globe Newswire	28.68	NYSE	2026-05-20 08:00:03.199926	0.1994	0.0168	0.7838	0.1826	positive	NO:sentiment_score
YYGH	"[""YYGH""]"	nPn680Y6wa	2026-05-20 08:00:13	YY Group (NASDAQ: YYGH) Launches OpenClaw Agentic AI Across Hotel Clients and Internal Operations	PR Newswire	2.43	NASDAQ	2026-05-20 08:00:13.345274	0.1565	0.0104	0.8331	0.146	positive	NO:sentiment_score
MTVA	"[""MTVA""]"	nPn86CBFCa	2026-05-20 08:00:19	MetaVia Highlights Peer-Reviewed Publication Supporting the Anti-Fibrotic Potential of Vanoglipel in MASH	PR Newswire	3.29	NASDAQ	2026-05-20 08:00:19.632499	0.5813	0.0202	0.3985	0.5611	positive	NO:sentiment_score
SPAI	"[""LTRX"", ""SPAI""]"	nGNX56Z4kt	2026-05-20 08:02:00	Safe Pro and Lantronix Advance Their Collaboration Delivering AI-Driven Edge Intelligence for Defense and Commercial Autonomous Systems	Globe Newswire	12.96	NASDAQ	2026-05-20 08:02:00.210483	0.7867	0.0108	0.2025	0.7758	positive	YES
LTRX	"[""LTRX"", ""SPAI""]"	nGNX56Z4kt	2026-05-20 08:02:00	Safe Pro and Lantronix Advance Their Collaboration Delivering AI-Driven Edge Intelligence for Defense and Commercial Autonomous Systems	Globe Newswire	34.56	NASDAQ	2026-05-20 08:02:00.212139	0.7867	0.0108	0.2025	0.7758	positive	YES
IDN	"[""IDN""]"	nBwbfmwCma	2026-05-20 08:05:00	Intellicheck To Participate in the D.A. Davidson 2nd Annual Technology & Consumer Conference	Business Wire	19.3	NASDAQ	2026-05-20 08:05:00.164863	0.2362	0.0196	0.7442	0.2166	positive	NO:sentiment_score
UGRO	"[""UGRO""]"	nGNX5p2X90	2026-05-20 08:05:00	Letter to Shareholders from CEO Bradley Nattrass	Globe Newswire	1.01	NASDAQ	2026-05-20 08:05:00.359872	0.1279	0.0361	0.836	0.0918	positive	NO:sentiment_score
TNMG	"[""TNMG""]"	nNFC58rwjb	2026-05-20 08:15:11	Ad2iction, a TNL Mediagene Subsidiary, Launches Upgraded Ad2 AI Audience Integrating Retail Transaction and Intent Signals	Newsfile Corp	2.05	NASDAQ	2026-05-20 08:15:11.261810	0.3679	0.0136	0.6185	0.3542	positive	NO:sentiment_score
SUGP	"[""SUGP""]"	nPnb3T8GFa	2026-05-20 08:17:23	SU Group Wins New Government Contract; Continues Expansion	PR Newswire	0.53	NASDAQ	2026-05-20 08:17:23.179808	0.8811	0.0223	0.0966	0.8588	positive	YES
OESX	"[""OESX""]"	nGNXnLD8F	2026-05-20 08:28:00	Orion to Host Q4 and Full Fiscal Year 2026 Investor Call Thursday, June 4, at 10 a.m. ET	Globe Newswire	3.65	NASDAQ	2026-05-20 08:28:00.189345	0.0327	0.0354	0.9319	-0.0027	neutral	NO:sentiment_score
LZMH	"[""LZMH""]"	nGNX6T769w	2026-05-20 08:30:00	LZ Technology Holdings Limited Announces 1-for-20 Reverse Share Split	Globe Newswire	4.93	NASDAQ	2026-05-20 08:30:00.512439	0.1304	0.0266	0.843	0.1038	positive	NO:sentiment_score
SPAI	"[""SPAI""]"	nGNX8R9bP2	2026-05-20 08:30:00	SPARC AI and Rate Manufacturing Partner to Scale GPS-Denied Drone Capability	Globe Newswire	12.96		2026-05-20 08:30:00.652743	0.5684	0.0104	0.4211	0.558	positive	NO:sentiment_score
DMAC	"[""DMAC""]"	nBw9gmQNQa	2026-05-20 08:30:00	DiaMedica Therapeutics Announces 75% Enrollment Milestone in ReMEDy2 Phase 2/3 Acute Ischemic Stroke Trial	Business Wire	26.97	NASDAQ	2026-05-20 08:30:00.655477	0.7989	0.0196	0.1815	0.7792	positive	YES
GWH	"[""GWH""]"	nBw4ZSsqfa	2026-05-20 08:30:00	ESS to Present in Clean Energy Group’s Beyond Lithium Webinar Series on June 3, 2026	Business Wire	21.0	NYSE	2026-05-20 08:30:00.812031	0.0788	0.0153	0.9059	0.0634	positive	NO:sentiment_score
SDEV	"[""SDEV""]"	nGNX7h2CfD	2026-05-20 08:30:00	Stablecoin Development Corporation Reports First Quarter 2026 Financial Results	Globe Newswire	2.62	NYSE AMERICAN	2026-05-20 08:30:00.899077	0.1166	0.0906	0.7928	0.026	neutral	NO:sentiment_score
PYPD	"[""PYPD""]"	nGNXl31VD	2026-05-20 08:30:01	PolyPid to Participate in the Craig-Hallum 23rd Annual Institutional Investor Conference	Globe Newswire	7.76	NASDAQ	2026-05-20 08:30:01.013575	0.1902	0.023	0.7868	0.1671	positive	NO:sentiment_score
BNZI	"[""BNZI""]"	nGNX8X9QkF	2026-05-20 08:30:01	Banzai International, Inc. Announces $7.8 Million Debt Elimination	Globe Newswire	15.38	NASDAQ	2026-05-20 08:30:01.211458	0.1362	0.0452	0.8186	0.0909	positive	NO:sentiment_score
FLYX	"[""FLYX"", ""JTAI""]"	nGNX4W5fyl	2026-05-20 08:30:01	JET.AI ANNOUNCES SPECIAL SHAREHOLDER MEETING TO VOTE ON STRATEGIC FLYEXCLUSIVE TRANSACTION AND AI CORNERSTONE PIVOT	Globe Newswire	11.64	NYSE AMERICAN	2026-05-20 08:30:01.239100	0.1377	0.0147	0.8476	0.123	positive	NO:sentiment_score
JTAI	"[""FLYX"", ""JTAI""]"	nGNX4W5fyl	2026-05-20 08:30:01	JET.AI ANNOUNCES SPECIAL SHAREHOLDER MEETING TO VOTE ON STRATEGIC FLYEXCLUSIVE TRANSACTION AND AI CORNERSTONE PIVOT	Globe Newswire	0.62	NYSE AMERICAN	2026-05-20 08:30:01.240927	0.1377	0.0147	0.8476	0.123	positive	NO:sentiment_score
DPRO	"[""DPRO""]"	nGNX26cjSd	2026-05-20 08:30:01	Draganfly and F4 Defense International (F4DI) Selected by the Department of War for Development of Integrated, Multi-Layered, Modular, and Rapid-Deployable Counter-UAS (C-UAS) System	Globe Newswire	36.35		2026-05-20 08:30:01.244142	0.5926	0.0135	0.3938	0.5791	positive	NO:sentiment_score
TRNR	"[""TRNR""]"	nACSVFyjYa	2026-05-20 08:30:01	TRNR Reports Q1 2026 Results, Driven By 279% Revenue Growth; Confirms 2026 Pro Forma Revenue Guidance of More Than $30m	ACCESSWIRE	2.25	NASDAQ	2026-05-20 08:30:01.246234	0.8777	0.0148	0.1075	0.8629	positive	YES
S	"[""S""]"	nBw7VJpwMa	2026-05-20 08:30:01	Sherritt Provides Further Update on Activities in Cuba; Announces Non-Binding Term Sheet and Positive Engagement with Department of State	Business Wire	316.28	TSX	2026-05-20 08:30:01.253943	0.8332	0.0152	0.1515	0.818	positive	NO:Float
JFB	"[""JFB""]"	nGNX2LGpNN	2026-05-20 08:30:01	JFB Announces XTEND UK Expansion Following £1.93M Order Supporting UK Defense Activities and Launch of Localized XFAB	Globe Newswire	5.85	NASDAQ	2026-05-20 08:30:01.286154	0.472	0.0244	0.5037	0.4476	positive	NO:sentiment_score
FEAM	"[""FEAM""]"	nACS9QMl2a	2026-05-20 08:30:01	5E Advanced Materials Completes Lithium Carbonate Preliminary Economic Assessment 	ACCESSWIRE	20.95	NASDAQ	2026-05-20 08:30:01.415501	0.1735	0.0424	0.7841	0.1311	positive	NO:sentiment_score
CLIR	"[""CLIR""]"	nACSRj1t7a	2026-05-20 08:30:01	"ClearSign Receives ""M1"" Series Burner Order for Midstream Heater in West Texas"	ACCESSWIRE	4.28	NASDAQ	2026-05-20 08:30:01.609390	0.7849	0.0301	0.185	0.7548	positive	YES
IBG	"[""IBG""]"	nACSx6Lzha	2026-05-20 08:30:01	Innovation Beverage Group Limited Receives Nasdaq Notice Related to Late Filing of Form 20-F	ACCESSWIRE	1.5	NASDAQ	2026-05-20 08:30:01.612648	0.0933	0.1719	0.7348	-0.0786	negative	NO:sentiment_score
AREB	"[""AREB""]"	nACSbkkwra	2026-05-20 08:30:02	Champion Safe Company Builds on Momentum with Return to Second Annual Buckeye Blast Supporting the Light Foundation	ACCESSWIRE	0.2331	OTC	2026-05-20 08:30:02.313548	0.7957	0.0641	0.1402	0.7315	positive	YES
QUAD	"[""QUAD""]"	nPn2Z3gXba	2026-05-20 08:30:03	Built in Wisconsin, for Wisconsin: QuadMed to Power Sheboygan's InHealth Center	PR Newswire	28.73	NYSE	2026-05-20 08:30:03.757738	0.1773	0.0104	0.8122	0.1669	positive	NO:sentiment_score
NOMA	"[""NOMA""]"	nPn8jS5tTa	2026-05-20 08:30:04	Nomadar Accelerates Full JP Financial Arena Land Consolidation in Spain as Global Sports Tourism Market Projected to Surpass $2 Trillion	PR Newswire	3.99	NASDAQ	2026-05-20 08:30:04.266524	0.8423	0.014	0.1436	0.8283	positive	YES
PAPL	"[""PAPL""]"	nNFCMpY1s	2026-05-20 08:30:13	Pineapple Financial Provides Update on Share Repurchase Program and Digital Asset Treasury	Newsfile Corp	8.28	NYSE AMERICAN	2026-05-20 08:30:13.953957	0.0686	0.0273	0.9041	0.0413	neutral	NO:sentiment_score
COCH	"[""COCH""]"	nNFC9q6S7l	2026-05-20 08:30:13	Envoy Medical Announces New Patents Expanding Intellectual Property Portfolio in Fully Implanted Hearing Technology	Newsfile Corp	45.77	NASDAQ	2026-05-20 08:30:14.002344	0.5364	0.0235	0.44	0.5129	positive	NO:sentiment_score
HMR	"[""HMR""]"	nNFCnp7ny	2026-05-20 08:30:14	Homerun Resources Inc. Engages Minerali Industriali Engineering for Engineering and CAPEX Development of a Primary Silica Sand Processing Plant	Newsfile Corp	5.24		2026-05-20 08:30:14.925431	0.1605	0.0204	0.8191	0.1401	positive	NO:sentiment_score
ATHR	"[""ATHR""]"	nNFC5PMrLF	2026-05-20 08:30:15	Aether Holdings Opens Waitlist for Alphid.ai, an Agentic AI Research Platform Built to Bring Wall Street's Analyst Desk to Everyday Investors	Newsfile Corp	4.12	NASDAQ	2026-05-20 08:30:15.994173	0.2166	0.0157	0.7677	0.2008	positive	NO:sentiment_score
AEF	"[""AEF""]"	nNFC2k28dv	2026-05-20 08:30:19	Gravity Survey Underway at High-Grade Manganese Prospects to Delineate Priority Drill Targets	Newsfile Corp	40.51		2026-05-20 08:30:19.561856	0.2477	0.0263	0.726	0.2214	positive	NO:sentiment_score
NWTG	"[""NWTG""]"	nBw8wkygNa	2026-05-20 08:31:00	Newton Golf Appoints Seasoned Consumer Products and Golf Executive Gregg Hemphill to Board of Directors	Business Wire	3.32	NASDAQ	2026-05-20 08:31:00.153207	0.1327	0.0284	0.8388	0.1043	positive	NO:sentiment_score
LAKE	"[""LAKE""]"	nGNXbyXZD8	2026-05-20 08:31:00	Lakeland Fire + Safety Delivers Head-to-Toe Fire Gear Order for Whitfield County Georgia Fire Department	Globe Newswire	8.44	NASDAQ	2026-05-20 08:31:00.211935	0.4398	0.035	0.5252	0.4049	positive	NO:sentiment_score
CFND	"[""CFND""]"	nBw3zsh3ya	2026-05-20 08:31:00	C1 Fund Inc. to Attend Benchmark’s Digital Assets Summit on May 27, 2026 and Host Non-Deal Roadshow in New York City on May 28 and 29, 2026	Business Wire	6.7667	NYSE	2026-05-20 08:31:00.217552	0.1775	0.0283	0.7942	0.1492	positive	NO:sentiment_score
ERNA	"[""ERNA""]"	nGNX2tSRNL	2026-05-20 08:31:00	Ernexa Therapeutics Releases Virtual Investor KOL Connect Segment Featuring Dr. Elena Ratner Highlighting Ovarian Cancer Landscape and ERNA-101 Opportunity	Globe Newswire	19.92	NASDAQ	2026-05-20 08:31:00.292131	0.1238	0.0688	0.8073	0.055	positive	NO:sentiment_score
PPCB	"[""PPCB""]"	nGNX1HlZwj	2026-05-20 08:45:00	Propanc Biopharma’s CEO Forecasts New Medical Breakthroughs in the Fight Against Pancreatic Cancer Over the Next Decade	Globe Newswire	13.65	NASDAQ	2026-05-20 08:45:00.272952	0.5522	0.0126	0.4352	0.5396	positive	NO:sentiment_score
SYNX	"[""SYNX""]"	nGNX5tXffT	2026-05-20 08:45:00	Silynxcom Secures Order from European Army, Marking Entry into Additional European Market	Globe Newswire	3.41	NYSE AMERICAN	2026-05-20 08:45:00.331767	0.8069	0.0111	0.182	0.7958	positive	YES
JG	"[""JG""]"	nGNX5F80Nk	2026-05-20 08:45:00	Aurora Mobile Launches Privatized Production Alert Solution to Build a “Digital Security Barrier” for Semiconductor Production Lines and Safeguard High-End Manufacturing	Globe Newswire	4.32	NASDAQ	2026-05-20 08:45:00.337862	0.5914	0.0217	0.387	0.5697	positive	NO:sentiment_score
EVTV	"[""EVTV""]"	nBw2hFpDQa	2026-05-20 08:46:00	Envirotech Vehicles, Inc. (NASDAQ: EVTV) Executes Definitive Merger Agreement with AZIO AI to Create Scalable AI Infrastructure, Compute, and Energy-Backed Data Center Platform	Business Wire	11.91	NASDAQ	2026-05-20 08:46:00.191798	0.7441	0.0125	0.2434	0.7316	positive	YES
