Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	MktCap	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
BIRD	"[""BIRD""]"	nGNX8xx0LX	08:10:00.089	2026-06-17	08:10:00.225	08:10:00.793	Smartbird Appoints New CEO to Advance AI Infrastructure Strategy	Globe Newswire	5.71	34.73	NASDAQ	3.94	637.4	435.4109	2026-06-17 08:10:00.815152	0.2303	0.0184	0.7512	0.2119	positive	OK	accepted:1005	sentiment_ack	0.4717	0.5157	0.2841	0.8373	0.2807	2026-06-17 08:10:01.237343
VNRX	"[""VNRX""]"	nPn4GgSvxa	08:15:00.246	2026-06-17	08:15:00.444	08:15:00.569	VolitionRx Announces Collaboration with Sysmex	PR Newswire	7.25	12.07	NYSE AMERICAN	1.4	950.0	518.696	2026-06-17 08:15:00.583479	0.2033	0.0258	0.771	0.1775	positive	OK	accepted:1009	sentiment_ack	0.4686	0.5682	0.3595	0.7981	0.4647	2026-06-17 08:15:01.179746
OBAI	"[""OBAI""]"	nGNX6xkj5W	08:17:00.105	2026-06-17	08:17:00.221	08:17:00.344	Bond Awarded Government-Funded Contract in the U.S. Delivering More Than $3 Million In Annual Recurring Revenue	Globe Newswire	14.71	27.16	NASDAQ	1.11	1692.4	672.9283	2026-06-17 08:17:00.366511	0.7141	0.0249	0.261	0.6892	positive	OK	accepted:1012	sentiment_ack	0.7019	0.7508	0.6666	0.8819	0.6557	2026-06-17 08:17:00.854470
ICCM	"[""ICCM""]"	nPn7Bm3tya	08:25:00.045	2026-06-17	08:25:00.182	08:25:00.384	IceCure Reports 70% Growth in Active U.S. Commercial Install Base for Breast Cancer Cryoablation Following FDA Clearance	PR Newswire	1.24	5.98	NASDAQ	2.13	1764.8	420.0686	2026-06-17 08:25:00.402835	0.8209	0.013	0.1661	0.8079	positive	OK	accepted:1013	sentiment_ack	0.5671	0.6988	0.5424	0.8815	0.5723	2026-06-17 08:25:01.051524
IVDA	"[""IVDA""]"	nBw4X387Ja	08:30:00.368	2026-06-17	08:30:00.921	08:30:03.642	Iveda Launches Sleep Sense for IvedaCare, Bringing Contactless Overnight Health Monitoring to Senior Living	Business Wire	10.63	5.98	NASDAQ	0.515	570.8	798.4208	2026-06-17 08:30:03.656356	0.2203	0.0134	0.7663	0.2068	positive	OK	accepted:1014	sentiment_ack	0.2448	0.3108	0.2157	0.6556	0.193	2026-06-17 08:30:04.496627
TOMZ	"[""TOMZ""]"	nGNX4F2Gvx	08:30:00.205	2026-06-17	08:30:00.921	08:30:03.596	TOMI Advances Toward NSF Certification to Address Multi-Billion-Dollar Pharmaceutical, Biotech and Cleanroom Decontamination Markets	Globe Newswire	14.47	16.18	NASDAQ	0.6941	2945.0	1639.9699	2026-06-17 08:30:03.623112	0.7522	0.0096	0.2381	0.7426	positive	OK	accepted:1010	sentiment_ack	0.4401	0.5955	0.4013	0.8006	0.392	2026-06-17 08:30:04.560545
RYET	"[""RYET""]"	nGNX1LFpPJ	08:30:00.524	2026-06-17	08:30:01.262	08:30:04.974	Ruanyun Edai Technology Unveils Smart Campus Services Business With Approximately US$9.49 Million in Cumulative Operating Revenue Since September 2025 Launch	Globe Newswire	12.73	36.12	NASDAQ	1.07	1115.4	534.3237	2026-06-17 08:30:05.005354	0.3427	0.0162	0.6412	0.3265	positive	OK	accepted:1015	sentiment_ack	0.3939	0.4708	0.2558	0.7354	0.2167	2026-06-17 08:30:05.405745
CAPS	"[""CAPS""]"	nBwC3nQDa	08:30:00.587	2026-06-17	08:30:01.653	08:30:07.784	Capstone Enters the Southeast's Fastest-Growing Homebuilding Corridor Amid Accelerating Builder Demand	Business Wire	7.79	3.62	NASDAQ	0.287	852.7	1016.0769	2026-06-17 08:30:07.799181	0.9108	0.0208	0.0684	0.89	positive	OK	accepted:1011	sentiment_ack	0.6176	0.7108	0.6176	0.8848	0.6673	2026-06-17 08:30:08.259249
GELS	"[""GELS""]"	nGNX9bRz1F	08:30:00.835	2026-06-17	08:30:02.143	08:30:10.028	Gelteq Provides Corporate Update: Launching Veterinary and Human Clinical Trials, Pharmaceutical Pipeline Expanding Across Multiple Programs	Globe Newswire	5.62	13.17	NASDAQ	1.23	4.0	357.8698	2026-06-17 08:30:10.051459	0.2625	0.0099	0.7277	0.2526	positive	OK	accepted:1016	sentiment_ack	0.5975	0.6734	0.5702	0.8391	0.5469	2026-06-17 08:30:10.679893
MTVA	"[""MTVA""]"	nPnbpM6HJa	08:31:00.041	2026-06-17	08:31:00.129	08:31:00.190	MetaVia to Highlight Novel Obesity and Metabolic Therapies at Upcoming Life Sciences Virtual Investor Forum	PR Newswire	3.37	8.52	NASDAQ	1.65	171.5	370.8211	2026-06-17 08:31:00.206654	0.1984	0.0338	0.7678	0.1646	positive	BAD	accepted:1019	sentiment_bad_released	0.4994	0.51	0.2473	0.7401	0.1928	2026-06-17 08:31:00.583390
