Symbol	Tickers	ID	ArrivalDate	Created	ArrivalTime	CurlTime	Headline	Author	Float	MktCap	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
NSRX	"[""NSRX""]"	nGNX93dnF9	2026-06-22	08:00:00.229	08:00:00.617	08:00:02.304	Nasus Pharma to Participate in the Zacks Life Sciences Investor Forum	Globe Newswire	2.86	26.44	NYSE AMERICAN	3.07	17100.0	378.8594	2026-06-22 08:00:02.317373	0.214	0.0127	0.7733	0.2013	positive	BAD	accepted:1011	sentiment_bad_released	0.2633	0.3145	0.1516	0.5729	0.1461	2026-06-22 08:00:02.686816
VEEA	"[""VEEA"", ""VEEAW""]"	nGNX2GFZbL	2026-06-22	08:00:00.288	08:00:00.960	08:00:02.787	Veea Strengthens Executive Leadership Team to Accelerate its Commercial Growth and Market Expansion	Globe Newswire	20.08	16.59	NASDAQ	0.3292	3206.2	1400.5876	2026-06-22 08:00:02.818591	0.8862	0.0109	0.1029	0.8753	positive	OK	accepted:1012	sentiment_ack	0.3039	0.3827	0.1698	0.6728	0.1413	2026-06-22 08:00:03.446471
APM	"[""APM""]"	nGNE9wC4CC	2026-06-22	08:00:00.652	08:00:02.141	08:00:07.471	Aptorum Group Announces Collaboration between DiamiR Biosciences and AlzLabs Precision Diagnostics for Alzheimer’s Disease Biomarkers	Globe Newswire	5.31	6.78	NASDAQ	0.8321	2290.2	592.7081	2026-06-22 08:00:07.493007	0.5588	0.0129	0.4282	0.5459	positive	BAD	accepted:1013	sentiment_bad_released	0.3017	0.4137	0.273	0.654	0.3001	2026-06-22 08:00:08.058399
KUST	"[""KUST""]"	nGNX9lYZvC	2026-06-22	08:00:00.917	08:00:02.769	08:00:07.880	Country Stampede Breaks Attendance Records	Globe Newswire	0.58	0.92	NASDAQ	1.47	334.0	344.78	2026-06-22 08:00:07.894790	0.2737	0.1954	0.5309	0.0784	positive	BAD	accepted:1014	sentiment_bad_released	0.3721	0.4658	0.2844	0.8243	0.3274	2026-06-22 08:00:08.579196
BIAF	"[""BIAF"", ""BIAFW""]"	nBw6JsBTZa	2026-06-22	08:00:00.924	08:00:03.072	08:00:08.042	bioAffinity Technologies Reports Positive Preclinical Findings Showing Proprietary Gene Silencing Technology Is Selectively Cytotoxic to Squamous Skin Cancer Cells Without Harming Healthy Cells	Business Wire	4.39	3.8	NASDAQ	0.8372	378.5	437.342	2026-06-22 08:00:08.104375	0.8939	0.0166	0.0894	0.8773	positive	OK	accepted:1015	sentiment_ignored	0.3297	0.4441	0.2937	0.768	0.2611	2026-06-22 08:00:09.277917
AMIX	"[""AMIX""]"	nGNX7nCz8f	2026-06-22	08:00:00.964	08:00:03.327	08:00:08.144	Autonomix Medical Announces Standalone Neural Sensing Program with Evidence of Real-Time Renal Nerve Activity Change	Globe Newswire	10.88	4.16	NASDAQ	0.3642	5811.0	1412.0	2026-06-22 08:00:08.158903	0.4302	0.0094	0.5604	0.4208	positive	BAD	accepted:1016	sentiment_ignored	0.5102	0.6016	0.5102	0.7885	0.4589	2026-06-22 08:00:09.399472
VTAK	"[""VTAK""]"	nGNX32hXLH	2026-06-22	08:00:01.507	08:00:04.043	08:00:08.746	Catheter Precision, Inc. Announces Allowance of Key Intellectual Property	Globe Newswire	1.97	2.26	NYSE AMERICAN	0.84	5089.3	769.1282	2026-06-22 08:00:08.779025	0.1345	0.0592	0.8063	0.0752	positive	BAD	accepted:1017	sentiment_bad_released	0.3134	0.4074	0.2482	0.6923	0.2645	2026-06-22 08:00:09.663990
WPRT	"[""WPRT""]"	nGNXbc4wyt	2026-06-22	08:00:02.246	08:00:05.594	08:00:14.862	Westport Announces US$10 Million Registered Direct Offering and Concurrent Private Placement Priced At-The-Market Under Nasdaq Rules	Globe Newswire	15.18	39.32	TSX	2.26	0.2	284.8546	2026-06-22 08:00:14.891362	0.1299	0.0121	0.858	0.1177	positive	BAD	accepted:1019	sentiment_ignored	0.166	0.1417	0.0723	0.2719	0.09	2026-06-22 08:00:15.328413
WKSP	"[""WKSP""]"	nACSW16c5a	2026-06-22	08:01:00.410	08:01:00.721	08:01:01.013	Worksport (NASDAQ:WKSP) Achieves 35% May Gross Margin, Lands Meyer Distribution, Targets $36M+ Revenue Run-Rate	ACCESSWIRE	9.81	9.25	NASDAQ	0.7379	194.4	577.7401	2026-06-22 08:01:01.042181	0.8084	0.0128	0.1787	0.7956	positive	OK	accepted:1000	sentiment_ack	0.7609	0.8125	0.7609	0.9116	0.7867	2026-06-22 08:01:01.547657
NIXX	"[""NIXX""]"	nBw1h1vrPa	2026-06-22	08:03:00.141	08:03:00.337	08:03:00.505	Tachyon9 Secures Offtake Agreement Supporting $156 Million Annual Revenue Platform and Up to 1 GW of Grid-Independent AI Infrastructure Powered by Abundant North Dakota Natural Gas	Business Wire	24.12	34.07	NASDAQ	1.17	35.3	532.5635	2026-06-22 08:03:00.530800	0.8644	0.0112	0.1243	0.8532	positive	OK	accepted:1002	sentiment_ack	0.5861	0.6315	0.5346	0.7799	0.5942	2026-06-22 08:03:00.946195
CMND	"[""CMND""]"	nGNX17SrHy	2026-06-22	08:07:00.097	08:07:00.267	08:07:00.446	Clearmind Medicine Reaches Major Milestone, Completing Part A Treatment in FDA‑Regulated Phase I/II Trial	Globe Newswire	1.48	4.56	NASDAQ	3.07	508.9	279.3554	2026-06-22 08:07:00.464729	0.8194	0.0132	0.1673	0.8062	positive	OK	accepted:1004	sentiment_ack	0.316	0.4008	0.2356	0.7717	0.3733	2026-06-22 08:07:00.831855
RKTO	"[""RKTO""]"	nPn82wxpYa	2026-06-22	08:17:00.059	08:17:00.309	08:17:00.508	Rocket One Launches Swarm Stage AI™ to Counter Autonomous Drone Swarms	PR Newswire	21.68	24.11	NASDAQ	1.08	122.4	514.08	2026-06-22 08:17:00.533606	0.3308	0.0151	0.654	0.3157	positive	BAD	accepted:1003	sentiment_bad_released	0.2442	0.3068	0.2237	0.5553	0.2059	2026-06-22 08:17:00.954363
NIVF	"[""NIVF""]"	nGNX88C1QW	2026-06-22	08:30:00.112	08:30:00.390	08:30:03.375	NewGen Issues 3,666,667 New Shares in Connection with Strategic K25.ai Acquisition, Reaches Milestone of US$7.6 Million Market Capitalization	Globe Newswire	0.4548	0.43	NASDAQ	0.7576	1.8	475.0937	2026-06-22 08:30:03.390618	0.7532	0.0162	0.2306	0.737	positive	BAD	accepted:1005	sentiment_bad_released	0.487	0.6013	0.4415	0.8787	0.4604	2026-06-22 08:30:04.070768
CAPS	"[""CAPS""]"	nBw23pdjya	2026-06-22	08:30:00.218	08:30:00.567	08:30:03.665	Capstone Extends Credit Facilities with Beacon Bank and Stream Finance on Identical Terms	Business Wire	7.79	3.66	NASDAQ	0.29	953.5	1048.0982	2026-06-22 08:30:03.700440	0.6651	0.0112	0.3237	0.6539	positive	BAD	accepted:1001	sentiment_bad_released	0.6506	0.7083	0.5312	0.895	0.556	2026-06-22 08:30:04.309268
VSEE	"[""VSEE""]"	nACSSJk2Ta	2026-06-22	08:30:00.328	08:30:01.157	08:30:03.913	VSee Health Highlights Business Operations and Financial Success After Recent Strategic Sale	ACCESSWIRE	38.78	5.62	NASDAQ	0.1156	471.3	1899.1612	2026-06-22 08:30:03.957941	0.84	0.0178	0.1422	0.8222	positive	OK	accepted:1006	sentiment_ignored	0.4216	0.5668	0.2298	0.8796	0.3556	2026-06-22 08:30:04.566232
FBLG	"[""FBLG""]"	nGNX12WhVC	2026-06-22	08:30:00.436	08:30:02.045	08:30:07.882	FibroBiologics Receives Notice of Allowance for U.S. Patent Covering Topical Fibroblast Spheroid Therapy for Wound Healing	Globe Newswire	4.39	4.01	NASDAQ	0.7702	1165.9	905.443	2026-06-22 08:30:07.897326	0.1723	0.016	0.8117	0.1563	positive	BAD	accepted:1007	sentiment_bad_released	0.2475	0.3034	0.1841	0.5773	0.1254	2026-06-22 08:30:08.336095
VVOS	"[""VVOS""]"	nGNXbnbyJ4	2026-06-22	08:30:00.657	08:30:02.265	08:30:08.085	Vivos Therapeutics and Streeterville Extend Timeframe of Strategic Financing Agreement and Reaffirm Commitment to Convert Debt Into Common Stock and Perpetual Preferred Equity	Globe Newswire	10.25	6.95	NASDAQ	0.5	810.3	665.3929	2026-06-22 08:30:08.109383	0.6883	0.0114	0.3004	0.6769	positive	BAD	accepted:1008	sentiment_bad_released	0.388	0.4866	0.3696	0.8302	0.3533	2026-06-22 08:30:08.682723
CCG	"[""CCG""]"	nPn14BkJSa	2026-06-22	08:30:02.255	08:30:02.767	08:30:08.501	"Cheche Group Launches ""ABAO Agent,"" an AI-Powered Intelligent Underwriting Solution"	PR Newswire	28.3	32.88	NASDAQ	0.396	7125.0	426.0365	2026-06-22 08:30:08.525394	0.1884	0.0136	0.7981	0.1748	positive	BAD	accepted:1009	sentiment_bad_released	0.277	0.3892	0.1783	0.6895	0.2423	2026-06-22 08:30:09.016909
WIMI	"[""WIMI""]"	nPn3wCTJwa	2026-06-22	08:30:03.279	08:30:03.460	08:30:09.087	WiMi Hologram Cloud Inc. Researches Synergic Quantum Generative Network Architecture	PR Newswire	15.3	29.24	NASDAQ	1.59	2299.7	433.9917	2026-06-22 08:30:09.102976	0.0642	0.0327	0.9031	0.0316	neutral	BAD	accepted:1011	sentiment_bad_released	0.4366	0.5421	0.3949	0.7641	0.318	2026-06-22 08:30:09.535015
ICU	"[""ICU""]"	nGNX63K14y	2026-06-22	08:45:00.197	08:45:00.499	08:45:01.193	SeaStar Medical to Present at Upcoming Investor Summit Conference	Globe Newswire	3.96	12.47	NASDAQ	3.12	8142.9	713.3778	2026-06-22 08:45:01.200742	0.1836	0.0306	0.7858	0.153	positive	BAD	accepted:1015	sentiment_bad_released	0.2961	0.3624	0.1761	0.4602	0.139	2026-06-22 08:45:01.556439
AIM	"[""AIM"", ""BULL""]"	nGNX3Km47L	2026-06-22	08:45:00.129	08:45:00.499	08:45:01.140	AIM ImmunoTech to Present in the Webull Corporate Connect Webinar Series	Globe Newswire	26.06	10.53	NYSE AMERICAN	0.3799	29.9	732.3139	2026-06-22 08:45:01.161404	0.1442	0.011	0.8448	0.1332	positive	BAD	accepted:1016	sentiment_bad_released	0.1204	0.0976	0.0856	0.3381	0.1074	2026-06-22 08:45:01.745783
DYAI	"[""DYAI""]"	nNFC5CSVbT	2026-06-22	08:46:36.157	08:46:36.261	08:46:36.399	An Interview with the President & COO: How Dyadic is Commercializing Its Protein Platform Across Multi-Billion-Dollar Markets	Newsfile Corp	27.08	28.5	NASDAQ	0.782	3325.0	815.3485	2026-06-22 08:46:36.419884	0.2507	0.0116	0.7377	0.2391	positive	BAD	accepted:1018	sentiment_bad_released	0.3127	0.3254	0.2306	0.4347	0.2363	2026-06-22 08:46:36.591554
TPCS	"[""TPCS""]"	nACS6vgHMa	2026-06-22	08:55:00.709	08:55:00.870	08:55:01.319	TechPrecision Corporation Schedules Conference Call to Report Fiscal 2026 Fourth Quarter and Year End Financial Results	ACCESSWIRE	8.96	34.84	NASDAQ	3.48	25650.0	2083.5714	2026-06-22 08:55:01.340586	0.0716	0.0868	0.8416	-0.0152	neutral	BAD	accepted:1014	sentiment_bad_released	0.1906	0.1326	0.083	0.2691	0.0596	2026-06-22 08:55:01.675291
DLPN	"[""DLPN""]"	nACSdLSc8a	2026-06-22	09:00:00.609	09:00:01.454	09:00:05.281	Dolphin Entertainment and KYNETIC Media Ventures Launch Creator-Led, Audience-First Graviteur Studios	ACCESSWIRE	9.37	14.32	NASDAQ	1.1	17100.0	985.5789	2026-06-22 09:00:05.298274	0.158	0.0122	0.8299	0.1458	positive	BAD	accepted:1019	sentiment_bad_released	0.2604	0.3296	0.2306	0.6159	0.1835	2026-06-22 09:00:05.673518
JAGX	"[""JAGX""]"	nACS7fLFVa	2026-06-22	09:00:00.785	09:00:01.678	09:00:08.607	Jaguar Health Announces Plan to Explore Strategic Alternatives Aligned with Targeted NDA Filing for Rare Disease Intestinal Failure Program	ACCESSWIRE	0.53	1.36	NASDAQ	2.25	85.3	265.2338	2026-06-22 09:00:08.620543	0.498	0.0357	0.4664	0.4623	positive	BAD	accepted:1017	sentiment_bad_released	0.2673	0.3402	0.1778	0.5947	0.2258	2026-06-22 09:00:09.083202
SINT	"[""SINT""]"	nGNX7lWYw8	2026-06-22	09:00:01.176	09:00:02.430	09:00:10.374	SINTX Technologies Announces Receipt of More Than $3.2 Million in Contract Manufacturing Purchase Orders	Globe Newswire	3.31	9.11	NASDAQ	2.11	9975.0	529.3333	2026-06-22 09:00:10.397652	0.4443	0.0232	0.5325	0.4212	positive	BAD	accepted:1013	sentiment_ignored	0.3568	0.5449	0.2964	0.8424	0.4297	2026-06-22 09:00:10.874268
IVF	"[""IVF""]"	nGNX1NDvJz	2026-06-22	09:00:00.977	09:00:03.157	09:00:12.346	INVO Fertility Reports First Quarter 2026 Results Reflecting Strong Revenue Growth, Expanded Fertility Clinic Platform, and Improved Capital Structure	Globe Newswire	1.78	2.68	NASDAQ	1.5	3791.7	510.6697	2026-06-22 09:00:12.369554	0.9281	0.0133	0.0586	0.9148	positive	OK	accepted:1012	sentiment_ack	0.0827	0.0721	0.0827	0.922	0.1535	2026-06-22 09:00:13.173772
AIMD	"[""AIMD"", ""AIMDW""]"	nACS2t4wLa	2026-06-22	09:00:01.511	09:00:03.313	09:00:12.410	VASRO Research Highlights Ainos' Expansion of Smell AI Into Patient-Level Breath Intelligence	ACCESSWIRE	2.11	15.6	NASDAQ	1.83	19237.5	1340.8537	2026-06-22 09:00:12.429255	0.4471	0.0088	0.5441	0.4383	positive	BAD	accepted:1002	sentiment_ignored	0.3074	0.3445	0.2063	0.6142	0.2524	2026-06-22 09:00:13.399420
SOAR	"[""SOAR""]"	nBw4WSFTka	2026-06-22	09:00:01.724	09:00:03.933	09:00:13.312	Volato Closes $2.2 Million PIPE Priced at $0.34 Per Share	Business Wire	27.51	5.15	NYSE AMERICAN	0.1666	113.4	1150.5399	2026-06-22 09:00:13.331618	0.0856	0.0287	0.8858	0.0569	positive	BAD	accepted:1003	sentiment_bad_released	0.477	0.5729	0.3925	0.7688	0.456	2026-06-22 09:00:13.716660
GNPX	"[""GNPX""]"	nPnbWBCd6a	2026-06-22	09:00:06.083	09:00:06.469	09:00:17.930	Genprex Receives a Notice of Allowance from The Canadian Intellectual Property Office for a Patent Claiming the Combination of Reqorsa® Gene Therapy with Either PD-1 or PD-L1 Antibodies to Treat Cancer	PR Newswire	10.5647	6.47	NASDAQ	0.592	482.6	823.6683	2026-06-22 09:00:17.960086	0.7001	0.0117	0.2882	0.6884	positive	BAD	accepted:1005	sentiment_bad_released	0.3451	0.5064	0.3318	0.8381	0.3712	2026-06-22 09:00:18.386695
NRSN	"[""NRSN"", ""NRSNW""]"	nPnCM9zPa	2026-06-22	09:00:16.449	09:00:16.644	09:00:19.682	EverythingALS to Host NeuroSense in a Community Event Named: PrimeC - Connecting the Dots	PR Newswire	23.93	28.44	NASDAQ	0.8046	210.6	467.6057	2026-06-22 09:00:19.704921	0.29	0.0152	0.6948	0.2747	positive	BAD	accepted:1006	sentiment_bad_released	0.408	0.5014	0.2778	0.8496	0.2952	2026-06-22 09:00:20.275461
OSRH	"[""OSRH""]"	nACSJQTW1a	2026-06-22	09:06:00.632	09:06:00.769	09:06:00.971	OSR Holdings Is Now OSR Health - A New Name That Says Exactly What We Do	ACCESSWIRE	19.39	13.75	NASDAQ	0.3918	633.3	1407.7231	2026-06-22 09:06:00.991914	0.088	0.0148	0.8973	0.0732	positive	BAD	accepted:1001	sentiment_bad_released	0.5561	0.5874	0.4018	0.7944	0.3737	2026-06-22 09:06:01.310101
LGHL	"[""LGHL""]"	nPn31xQkLa	2026-06-22	09:15:00.250	09:15:00.533	09:15:01.728	LGHL Announces Strategic Investment in Indonesian Stablecoin and Digital Financial Infrastructure Provider via Stock-for-Participation Arrangement	PR Newswire	3.49	2.87	NASDAQ	0.6196	790.3	451.9211	2026-06-22 09:15:01.754951	0.3802	0.0103	0.6096	0.3699	positive	BAD	accepted:1008	sentiment_bad_released	0.4042	0.5204	0.3634	0.8035	0.3331	2026-06-22 09:15:02.682566
CELZ	"[""CELZ""]"	nGNX7qwBj4	2026-06-22	09:15:00.124	09:15:00.528	09:15:01.689	Creative Medical Technology Holdings Expands ADAPT Trial Under New FDA Clearance and Rapidly Advances Toward Phase 3 Planning for Olastrocel in Chronic Lower Back Pain	Globe Newswire	3.66	8.24	NASDAQ	2.23	11400.0	801.5672	2026-06-22 09:15:01.724372	0.7936	0.0142	0.1922	0.7794	positive	BAD	accepted:1007	sentiment_bad_released	0.4795	0.5587	0.4795	0.8482	0.5828	2026-06-22 09:15:02.693010
NNVC	"[""NNVC""]"	nACSjsLB2a	2026-06-22	09:30:00.281	09:30:00.918	09:30:01.381	NanoViricides Has Shipped NV-387 Oral Gummies Drug Product for Phase II Clinical Trial to DR Congo	ACCESSWIRE	22.35	32.18	NYSE AMERICAN	1.4	97.0	534.144	2026-06-22 09:30:01.408586	0.6385	0.0139	0.3476	0.6246	positive	BAD	accepted:1009	sentiment_bad_released	0.1418	0.1588	0.1187	0.7777	0.1057	2026-06-22 09:30:02.233414
COSM	"[""COSM""]"	nGNXb54HX8	2026-06-22	10:30:00.194	10:30:00.456	10:30:01.104	Cosmos Health Builds Contract Manufacturing Orderbook to Over 25 Million Units; Division Positioned to Generate Over $10 Million in Recurring Annual Profit	Globe Newswire	39.62	13.22	NASDAQ	0.2129	1.6	1037.7622	2026-06-22 10:30:01.123582	0.7619	0.0103	0.2278	0.7516	positive	BAD	accepted:1010	sentiment_bad_released	0.4361	0.5267	0.3796	0.7221	0.3859	2026-06-22 10:30:01.738606
EZRA	"[""EZRA""]"	nGNX6v9KY3	2026-06-22	11:00:00.186	11:00:00.710	11:00:02.433	Reliance Global Group Names CTO From Coinbase and Capital One To Lead AI-Powered Insurance Product Development and Agency Roll-Up Strategy	Globe Newswire	0.48	1.93	NASDAQ	3.47	268.6	296.9264	2026-06-22 11:00:02.460794	0.0778	0.0138	0.9084	0.064	positive	BAD	accepted:1016	sentiment_bad_released	0.309	0.2722	0.2613	0.5548	0.3087	2026-06-22 11:00:02.985279
ATHR	"[""ATHR""]"	nPn9xv2nga	2026-06-22	12:16:00.042	12:16:00.248	12:16:00.407	ATHR Investor Notice: Johnson Fistel Investigates Aether Holdings, Inc.	PR Newswire	4.12	35.83	NASDAQ	2.95	659.3	349.0145	2026-06-22 12:16:00.425666	0.0435	0.1743	0.7823	-0.1308	negative	BAD	accepted:1018	sentiment_bad_released	-0.0485	-0.1029	-0.0287	0.0457	-0.0032	2026-06-22 12:16:00.734466
XAIR	"[""XAIR""]"	nGNXbvnBZs	2026-06-22	16:01:00.157	16:01:00.492	16:01:02.765	Beyond Air Schedules Fiscal Year End 2026 Financial Results Conference Call and Webcast	Globe Newswire	12.4	4.57	NASDAQ	0.36	3705.0	1140.411	2026-06-22 16:01:02.783896	0.0569	0.0514	0.8917	0.0055	neutral	BAD	accepted:1014	sentiment_bad_released	0.2008	0.2153	0.0941	0.2483	0.0724	2026-06-22 16:01:02.978173
TPCS	"[""TPCS""]"	nACSDKS5Xa	2026-06-22	16:05:01.374	16:05:02.000	16:05:04.182	TechPrecision Corporation Reports Fiscal Year 2026 Fourth Quarter and Year End Financial Results	ACCESSWIRE	8.96	34.84	NASDAQ	3.48	25650.0	2083.5714	2026-06-22 16:05:04.192172	0.1136	0.0848	0.8016	0.0289	neutral	BAD	accepted:1019	sentiment_bad_released	0.235	0.2242	0.1946	0.9134	0.3186	2026-06-22 16:05:04.801181
IMNN	"[""IMNN""]"	nGNX5c0YQR	2026-06-22	16:15:00.154	16:15:00.639	16:15:02.824	IMUNON to Present at the Life Sciences Investor Forum on June 25th	Globe Newswire	4.08	7.65	NASDAQ	1.82	4294.7	329.3565	2026-06-22 16:15:02.844795	0.1169	0.0305	0.8526	0.0865	positive	BAD	accepted:1013	sentiment_bad_released	0.2477	0.302	0.1749	0.5317	0.1529	2026-06-22 16:15:03.268847
VTAK	"[""VTAK""]"	nGNE9t8NqY	2026-06-22	16:15:00.209	16:15:00.794	16:15:04.270	Flyte Partners with GSE Worldwide and PGA TOUR Professional Emiliano Grillo, Debuted at the 2026 U.S. Open	Globe Newswire	1.97	2.26	NYSE AMERICAN	0.84	5089.3	769.1282	2026-06-22 16:15:04.320456	0.1944	0.021	0.7847	0.1734	positive	BAD	accepted:1002	sentiment_bad_released	0.5031	0.6219	0.4635	0.8298	0.4842	2026-06-22 16:15:04.675818
AIDX	"[""AIDX""]"	nGNX5fm6dT	2026-06-22	16:45:00.108	16:45:00.355	16:45:00.809	20/20 BioLabs Announces Monthly Investor Webinar Series to be Held on the First Wednesday of Each Month	Globe Newswire	7.04	6.97	NASDAQ	0.6568	168.5	388.802	2026-06-22 16:45:00.833595	0.0518	0.026	0.9222	0.0259	neutral	BAD	accepted:1003	sentiment_bad_released	0.2967	0.406	0.1884	0.7228	0.1817	2026-06-22 16:45:01.269747
CIIT	"[""CIIT""]"	nACSQLwd0a	2026-06-22	17:00:01.629	17:00:01.873	17:00:02.996	Tianci International, Inc. Reports Financial Results for Fiscal Quarter Ended April 30, 2026	ACCESSWIRE	1.27	1.99	NASDAQ	0.5488	5.5	370.4476	2026-06-22 17:00:03.008313	0.0551	0.085	0.8598	-0.0299	neutral	BAD	accepted:1005	sentiment_bad_released	0.1643	0.1654	0.1564	0.9236	0.2247	2026-06-22 17:00:03.412446
ATHR	"[""ATHR""]"	nACSF5J4ra	2026-06-22	17:15:00.916	17:15:01.027	17:15:01.293	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Aether Holdings, Inc. - ATHR	ACCESSWIRE	4.12	35.83	NASDAQ	2.95	25650.0	590.5	2026-06-22 17:15:01.323740	0.1031	0.1145	0.7825	-0.0114	neutral	BAD	accepted:1006	sentiment_bad_released	-0.122	-0.2129	-0.067	0.17	-0.0534	2026-06-22 17:15:01.789025
