Symbol	Tickers	ID	ArrivalDate	Created	ArrivalTime	CurlTime	Headline	Author	Float	MktCap	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
ELAB	"[""ELAB""]"	nGNX8Mb5wk	2026-06-18	07:30:00.257	07:30:01.137	07:30:05.804	NorthStrive Biosciences Files Two New U.S. Patent Applications Targeting Muscle Preservation in GLP-1 and Next-Generation Obesity Treatment Markets	Globe Newswire	4.54	6.54	NASDAQ	1.43	120.0	386.1811	2026-06-18 07:30:05.824117	0.6194	0.0224	0.3583	0.597	positive	OK	accepted:1011	sentiment_ack	0.2734	0.3605	0.2321	0.6506	0.1905	2026-06-18 07:30:07.368546
DFLI	"[""DFLI"", ""DFLIW""]"	nGNX4yLtrH	2026-06-18	07:30:00.414	07:30:01.292	07:30:05.879	Dragonfly Energy Strengthens IP Portfolio for Solid-State Battery Manufacturing with U.S. Patent Allowance	Globe Newswire	12.62	24.48	NASDAQ	1.88	526.3	434.4964	2026-06-18 07:30:05.900589	0.7621	0.0122	0.2257	0.7499	positive	OK	accepted:1012	sentiment_ignored	0.385	0.4951	0.2888	0.7968	0.369	2026-06-18 07:30:07.700618
IMCC	"[""IMCC""]"	nPn4BZBcha	2026-06-18	07:32:00.067	07:32:00.347	07:32:00.718	IM Cannabis Corp. Enters into Letter of Intent to Sell its European Activities, Expects to Significantly Reduce Debt by CAD$10.5 million	PR Newswire	2.0	1.61	NASDAQ	0.217	172.9	703.7799	2026-06-18 07:32:00.741479	0.8185	0.0833	0.0982	0.7353	positive	OK	accepted:1013	sentiment_ack	0.2525	0.3296	0.1951	0.5741	0.2313	2026-06-18 07:32:01.504138
CMND	"[""CMND""]"	nGNX2hVhst	2026-06-18	07:55:00.117	07:55:00.287	07:55:00.524	Clearmind Medicine Granted U.S. Patent for Binge Behavior Regulators	Globe Newswire	1.02	3.2	NASDAQ	3.14	348.7	279.8046	2026-06-18 07:55:00.541856	0.4771	0.0264	0.4965	0.4506	positive	OK	accepted:1014	sentiment_ack	0.3758	0.4815	0.2374	0.8349	0.3586	2026-06-18 07:55:01.086896
TPET	"[""TPET""]"	nGNX52RLCp	2026-06-18	08:00:00.662	08:00:01.494	08:00:07.607	Trio Petroleum Corp Provides Update on Acquisition Strategy and Ongoing Operations	Globe Newswire	32.35	13.39	NYSE AMERICAN	0.3	81.6	1014.7727	2026-06-18 08:00:07.624493	0.074	0.0232	0.9028	0.0508	positive	BAD	accepted:1016	sentiment_bad_released	0.3675	0.4475	0.3164	0.7747	0.3385	2026-06-18 08:00:08.239141
ALLR	"[""ALLR""]"	nGNX35vFbX	2026-06-18	08:00:00.790	08:00:01.962	08:00:09.469	Allarity Therapeutics to Present Trial-in-Progress Poster on Phase 2 Stenoparib Trial at ESMO Gynaecological Cancers Congress 2026	Globe Newswire	15.03	22.75	NASDAQ	1.34	3401.9	526.0364	2026-06-18 08:00:09.496306	0.2267	0.0235	0.7498	0.2032	positive	OK	accepted:1017	sentiment_ack	0.3348	0.3934	0.2572	0.6748	0.2121	2026-06-18 08:00:10.437659
BCDA	"[""BCDA""]"	nGNX9zvYPw	2026-06-18	08:00:00.699	08:00:02.002	08:00:09.517	BioCardia Letter to Stockholders on 2026 Priorities and Strategic Opportunities	Globe Newswire	10.51	12.91	NASDAQ	0.9476	390.8	660.4552	2026-06-18 08:00:09.538925	0.1376	0.0162	0.8463	0.1214	positive	BAD	accepted:1018	sentiment_bad_released	0.3238	0.4543	0.3238	0.7327	0.3032	2026-06-18 08:00:10.551654
THH	"[""THH""]"	nGNX4hk98j	2026-06-18	08:00:01.201	08:00:02.805	08:00:10.512	TryHard Holdings (Nasdaq: THH) Expands Nationwide Presence With 23 Venues Across 13 Cities	Globe Newswire	20.52	14.26	NASDAQ	0.3	1464.9	630.2361	2026-06-18 08:00:10.558119	0.8037	0.0089	0.1874	0.7949	positive	OK	accepted:1000	sentiment_ack	0.3254	0.4527	0.2557	0.7229	0.2306	2026-06-18 08:00:11.152394
TDTH	"[""TDTH""]"	nGNX82L2cQ	2026-06-18	08:00:00.849	08:00:02.686	08:00:10.424	Trident Digital Tech Holdings (Nasdaq: TDTH) Activates National RDC-PASS Digital Identity Ecosystem in the Democratic Republic of Congo Under 20-Year Public-Private Partnership	Globe Newswire	3.0453	7.96	NASDAQ	1.8	3155.4	281.0435	2026-06-18 08:00:10.526363	0.526	0.0114	0.4627	0.5146	positive	OK	accepted:1019	sentiment_ack	0.4544	0.5449	0.4079	0.7709	0.3495	2026-06-18 08:00:11.664514
ATER	"[""ATER""]"	nGNXLJ5gs	2026-06-18	08:00:01.260	08:00:03.318	08:00:10.981	Aterian, Inc. Announces Mailing of Proxy Materials for Special Meeting of Stockholders	Globe Newswire	8.2	13.67	NASDAQ	1.17	3724.2	688.6	2026-06-18 08:00:11.002115	0.0753	0.0381	0.8866	0.0372	neutral	BAD	accepted:1003	sentiment_bad_released	0.4141	0.4958	0.3018	0.7729	0.2581	2026-06-18 08:00:12.708466
BNGO	"[""BNGO""]"	nGNX8GXLNH	2026-06-18	08:00:01.066	08:00:03.662	08:00:11.192	Bionano Announces 67% Year-Over-Year Growth in Studies Featuring Optical Genome Mapping at ESHG 2026, Reflecting Expanding Global Adoption	Globe Newswire	10.78	13.2	NASDAQ	1.16	2265.4	484.7527	2026-06-18 08:00:11.241684	0.8835	0.0112	0.1053	0.8722	positive	OK	accepted:1002	sentiment_ack	0.376	0.4839	0.2627	0.8616	0.3157	2026-06-18 08:00:12.951127
GRCE	"[""GRCE""]"	nGNX5rcTbS	2026-06-18	08:00:01.558	08:00:04.059	08:00:11.481	Grace Therapeutics Announces 2026 Fiscal Year-End Financial Results, Provides Business Update	Globe Newswire	11.25	34.35	NASDAQ	2.22	16625.0	2764.0	2026-06-18 08:00:11.500535	0.1454	0.028	0.8266	0.1174	positive	BAD	accepted:1001	sentiment_bad_released	0.2787	0.4341	0.2688	0.7991	0.3613	2026-06-18 08:00:13.662688
WKSP	"[""WKSP""]"	nACSf26sga	2026-06-18	08:01:00.604	08:01:00.799	08:01:00.939	Worksport (NASDAQ:WKSP) Announces $1.20 per Share Direct Investment at 100% Premium to Market; Institutional Investor Signals Interest in Up to $10 Million	ACCESSWIRE	9.81	7.39	NASDAQ	0.5983	735.2	520.3653	2026-06-18 08:01:00.968796	0.66	0.0107	0.3294	0.6493	positive	OK	accepted:1004	sentiment_ack	0.6438	0.66	0.5017	0.856	0.4917	2026-06-18 08:01:01.532335
SCNX	"[""SCNX""]"	nGNX67vHwH	2026-06-18	08:05:00.103	08:05:00.367	08:05:00.572	SCIENTURE Expands Arbli™ Payor Coverage and Commercial Access, Adding Approximately 12.5 Million Covered Lives Nationwide	Globe Newswire	30.91	15.52	NASDAQ	0.3878	939.6	955.5923	2026-06-18 08:05:00.601899	0.8256	0.0091	0.1654	0.8165	positive	OK	accepted:1005	sentiment_ack	0.6192	0.6829	0.5935	0.8545	0.681	2026-06-18 08:05:01.254540
OBAI	"[""OBAI""]"	nGNXrs4Xh	2026-06-18	08:07:00.095	08:07:00.213	08:07:00.380	Bond Secures Up to $3 Million in Non-Dilutive Insider Capital Through Renewal of Low Interest Credit Facility	Globe Newswire	14.71	27.16	NASDAQ	1.03	878.2	653.1961	2026-06-18 08:07:00.399620	0.6355	0.0146	0.35	0.6209	positive	OK	accepted:1008	sentiment_ack	0.4883	0.6218	0.4181	0.8668	0.4053	2026-06-18 08:07:00.789333
ATHR	"[""ATHR""]"	nGNXc9sF1C	2026-06-18	08:15:00.120	08:15:00.377	08:15:00.597	Aether Holdings Officially Launches Alphid™, Expanding Its Agentic AI Platform with Brokerage Connectivity Across More Than 30 Brokerage Firms	Globe Newswire	4.12	35.59	NASDAQ	3.3	34200.0	289.0	2026-06-18 08:15:00.620949	0.6742	0.0105	0.3153	0.6637	positive	OK	accepted:1009	sentiment_ack	0.4022	0.5012	0.3278	0.7563	0.3467	2026-06-18 08:15:01.259697
BRTX	"[""BRTX""]"	nGNX9RXDMk	2026-06-18	08:15:00.154	08:15:00.609	08:15:01.083	BioRestorative Therapies Strengthens Leadership with Appointment of Healthcare Executive Zachary Smith as Vice President of Biocosmeceuticals Division to Accelerate Commercial Expansion and Strategic Growth	Globe Newswire	23.31	8.99	NASDAQ	0.3995	513.8	971.9919	2026-06-18 08:15:01.131557	0.8788	0.0134	0.1078	0.8654	positive	OK	accepted:1007	sentiment_ack	0.3566	0.4416	0.2998	0.7354	0.321	2026-06-18 08:15:02.091219
NCRA	"[""NCRA""]"	nGNX9nwgvj	2026-06-18	08:15:00.180	08:15:00.644	08:15:01.820	Nocera Highlights CampaignPulse.ai Platform Capabilities and Expanding AI Intelligence Opportunity Following Strategic Investment	Globe Newswire	5.28	1.83	NASDAQ	0.12	26.1	1147.3744	2026-06-18 08:15:01.886022	0.8563	0.0098	0.1339	0.8466	positive	OK	accepted:1006	sentiment_ack	0.5081	0.5673	0.4213	0.7924	0.405	2026-06-18 08:15:02.788953
CDT	"[""CDT""]"	nGNX1rzkh4	2026-06-18	08:30:00.135	08:30:00.469	08:30:02.052	CDT Notes Strategic Investment into Sarborg and Expansion into Quantum Computing	Globe Newswire	1.63	3.49	NASDAQ	0.693	1692.2	750.9675	2026-06-18 08:30:02.075787	0.6701	0.0088	0.3211	0.6612	positive	OK	accepted:1010	sentiment_ack	0.3327	0.4299	0.24	0.7521	0.2685	2026-06-18 08:30:02.901519
FUSE	"[""FUSE"", ""FUSEW""]"	nGNX6mbwQ6	2026-06-18	08:30:00.306	08:30:00.884	08:30:03.030	Fusemachines Expands Access to Agentic AI for Talent Acquisition Through Broad ATS Connectivity	Globe Newswire	15.46	33.28	NASDAQ	1.15	8550.0	433.439	2026-06-18 08:30:03.061392	0.35	0.0078	0.6422	0.3423	positive	OK	accepted:1012	sentiment_ack	0.3017	0.432	0.2421	0.5619	0.2388	2026-06-18 08:30:03.785575
BLIN	"[""BLIN""]"	nACS4qyqwa	2026-06-18	08:30:00.622	08:30:01.116	08:30:03.682	Bridgeline Accelerates AI Commerce Momentum with New B2B Distributor Win	ACCESSWIRE	9.17	12.53	NASDAQ	1.02	15432.7	881.3529	2026-06-18 08:30:03.701211	0.8826	0.011	0.1064	0.8715	positive	OK	accepted:1011	sentiment_ack	0.5742	0.6215	0.3937	0.8384	0.4216	2026-06-18 08:30:04.325153
LITS	"[""LITS""]"	nGNX26PZfH	2026-06-18	08:30:00.472	08:30:01.156	08:30:03.718	Lite Strategy Leads Strategic Investment in LitVM	Globe Newswire	29.88	31.31	NASDAQ	0.9192	13576.4	2331.5833	2026-06-18 08:30:03.750362	0.245	0.0126	0.7425	0.2324	positive	OK	accepted:1013	sentiment_ack	0.5038	0.6141	0.4529	0.8448	0.4317	2026-06-18 08:30:04.790925
NUWE	"[""NUWE""]"	nGNX9tnT7g	2026-06-18	08:30:00.728	08:30:01.401	08:30:03.960	Nuwellis Expands Critical Care Education with Aquadex Training at University of Minnesota Critical Care Cardiology Education Summit	Globe Newswire	12.57	1.72	NASDAQ	0.138	91.2	1689.5275	2026-06-18 08:30:03.977737	0.2412	0.01	0.7488	0.2312	positive	OK	accepted:1015	sentiment_ack	0.3452	0.4278	0.2411	0.7037	0.3018	2026-06-18 08:30:05.335522
NIVF	"[""NIVF""]"	nGNXrbFSp	2026-06-18	08:30:00.678	08:30:01.652	08:30:05.173	NewGen Increases K25.ai Ownership to 10% in Closed Pre-A Round at US$100 Million Valuation with Total US$10 Million Invested	Globe Newswire	0.4548	0.4	NASDAQ	0.8	190.3	475.9894	2026-06-18 08:30:05.257140	0.8064	0.0092	0.1844	0.7972	positive	OK	accepted:1014	sentiment_ack	0.6521	0.6875	0.5362	0.8422	0.5164	2026-06-18 08:30:06.052161
SAGT	"[""SAGT""]"	nGNX2zrgG8	2026-06-18	08:30:00.757	08:30:01.804	08:30:06.416	Sagtec Global Limited Provides FY2026 Outlook and Highlights Strategic Growth Initiatives	Globe Newswire	7.18	20.64	NASDAQ	1.04	2196.1	475.6257	2026-06-18 08:30:06.435612	0.6777	0.0126	0.3097	0.6651	positive	OK	accepted:1016	sentiment_ack	0.6464	0.6942	0.5865	0.8822	0.5826	2026-06-18 08:30:07.210620
STKE	"[""STKE"", ""HODL""]"	nNFC4JLBPt	2026-06-18	08:30:17.274	08:30:17.451	08:30:17.517	SOL Strategies's Houdini Swap Brings Private Cross-Chain Transactions to Jumper	Newsfile Corp	18.94	34.79	NASDAQ	1.26	2185.9	584.9898	2026-06-18 08:30:17.536073	0.4559	0.021	0.5231	0.435	positive	OK	accepted:1018	sentiment_ack	0.3669	0.4328	0.2752	0.6287	0.2782	2026-06-18 08:30:18.356234
GRI	"[""GRI""]"	nGNXmbsnr	2026-06-18	08:31:00.096	08:31:00.204	08:31:00.329	GRI Bio Secures FDA Orphan Drug Designation for GRI-0621 (Tazarotene) in Idiopathic Pulmonary Fibrosis	Globe Newswire	1.7708	3.85	NASDAQ	2.32	18728.6	385.3022	2026-06-18 08:31:00.353540	0.7489	0.0265	0.2246	0.7224	positive	OK	accepted:1003	sentiment_ack	0.4118	0.4353	0.4118	0.8432	0.4921	2026-06-18 08:31:00.965123
MOBX	"[""MOBX""]"	nBw2rYHTja	2026-06-18	08:32:00.109	08:32:00.256	08:32:00.428	Mobix Labs Consolidates West Coast Production in Expanded Military-Approved Facility to Support Growing Production	Business Wire	11.37	28.22	NASDAQ	2.03	296.0	868.842	2026-06-18 08:32:00.448301	0.7634	0.0125	0.224	0.7509	positive	OK	accepted:1001	sentiment_ack	0.4331	0.5068	0.2575	0.7645	0.3705	2026-06-18 08:32:00.973322
PMEC	"[""PMEC""]"	nGNX5qjsDn	2026-06-18	08:45:00.117	08:45:00.270	08:45:00.769	Primech Holdings Secures Approximately US$36.1 Million in New Social Services and Public Sector Integrated Facility Services Contracts	Globe Newswire	5.53	24.44	NASDAQ	0.6262	4064.8	418.7059	2026-06-18 08:45:00.790452	0.3415	0.0143	0.6442	0.3273	positive	OK	accepted:1019	sentiment_ack	0.4958	0.6053	0.4271	0.8379	0.5292	2026-06-18 08:45:01.319827
WLDS	"[""WLDS""]"	nGNE9jrmbB	2026-06-18	09:00:00.324	09:00:00.716	09:00:03.057	Wearable Devices Founder to Present “How Brain-Computer Interface is Removing the Friction from AR and AI Interaction” at AWE USA 2026	Globe Newswire	3.53	2.84	NASDAQ	0.8475	617.5	543.2027	2026-06-18 09:00:03.118165	0.2693	0.0431	0.6877	0.2262	positive	OK	accepted:1004	sentiment_ignored	0.1428	0.1221	0.1176	0.467	0.0703	2026-06-18 09:00:03.871186
JAGX	"[""JAGX""]"	nACSpmSmBa	2026-06-18	09:00:01.119	09:00:01.555	09:00:05.560	Magdalena Biosciences, a Joint Venture Between Jaguar Health and Filament Health, Announces Positive Results of Preclinical Study of Coca for Weight Gain Prevention	ACCESSWIRE	0.53	1.39	NASDAQ	2.38	5374.3	235.1551	2026-06-18 09:00:05.619356	0.7685	0.0312	0.2003	0.7372	positive	OK	accepted:1000	sentiment_ack	0.4638	0.5278	0.4049	0.8029	0.4173	2026-06-18 09:00:06.391566
CVKD	"[""CVKD""]"	nGNX97r0zd	2026-06-18	09:00:01.535	09:00:02.390	09:00:09.762	Cadrenal Therapeutics to File for FDA Rare Pediatric Disease Designation for Tecarfarin in Kawasaki Disease	Globe Newswire	2.39	8.72	NASDAQ	3.1	18050.0	243.8	2026-06-18 09:00:09.791540	0.4148	0.0961	0.4891	0.3187	positive	OK	accepted:1002	sentiment_ignored	0.3349	0.389	0.3109	0.7731	0.2756	2026-06-18 09:00:10.532910
DXF	"[""DXF""]"	nPn4c5B7Ba	2026-06-18	09:00:03.369	09:00:03.943	09:00:11.221	Eason Technology Announces Management Share Purchase Plan, Demonstrate Confidence in the Company's Future	PR Newswire	3.2274	0.93	NYSE AMERICAN	0.5778	615.3	569.2951	2026-06-18 09:00:11.236497	0.7738	0.011	0.2152	0.7628	positive	OK	accepted:1009	sentiment_ack	0.2793	0.3198	0.139	0.5445	0.2084	2026-06-18 09:00:12.018555
AIFA	"[""AIFA""]"	nGNX5pRpSN	2026-06-18	09:00:02.280	09:00:03.748	09:00:11.027	All In FutureTech Alliance Inc. Provides Strategic Implementation Update: Aivolution Venture Fund and Co-Intelligence Academy to Be Fully Integrated into the AIFA Public Company Platform	Globe Newswire	6.4	13.95	NASDAQ	2.14	5151.9	252.7854	2026-06-18 09:00:11.071623	0.295	0.0116	0.6934	0.2834	positive	OK	accepted:1005	sentiment_ack	0.4287	0.5185	0.362	0.7614	0.3318	2026-06-18 09:00:12.027877
YYGH	"[""YYGH""]"	nPn93C6gRa	2026-06-18	09:00:09.249	09:00:09.589	09:00:13.174	YY Group Holding Limited Announces Effective Date of 30-for-1 Reverse Stock Split	PR Newswire	1.65	1.32	NASDAQ	0.1289	1.5	1662.7846	2026-06-18 09:00:13.193335	0.0858	0.0581	0.8561	0.0277	neutral	BAD	accepted:1007	sentiment_bad_released	0.397	0.4853	0.2352	0.7962	0.1735	2026-06-18 09:00:13.755293
MNDR	"[""MNDR""]"	nNFC4Wdx0W	2026-06-18	09:00:13.555	09:00:13.819	09:00:22.045	Mobile-health Network Solutions Announces Change in Effective Date of Reverse Stock Split	Newsfile Corp	1.83	3.83	NASDAQ	0.6701	557.9	800.4928	2026-06-18 09:00:22.068833	0.0746	0.0429	0.8824	0.0317	neutral	BAD	accepted:1010	sentiment_bad_released	0.1089	0.0709	0.0632	0.1874	0.0549	2026-06-18 09:00:22.785401
FNGR	"[""FNGR""]"	nNFC7dFhVG	2026-06-18	09:00:15.287	09:00:15.603	09:00:23.254	FingerMotion, Inc. and BlueFlare Energy Solutions in Advanced Discussions on First Site Under Western Canada Behind-the-Meter AI Compute Collaboration	Newsfile Corp	46.14	27.44	NASDAQ	0.4692	713.8	849.7119	2026-06-18 09:00:23.288527	0.1926	0.013	0.7944	0.1796	positive	BAD	accepted:1014	sentiment_ignored	0.3232	0.4288	0.2791	0.7061	0.3005	2026-06-18 09:00:23.906603
AIM	"[""AIM""]"	nGNX4ZcQ9T	2026-06-18	09:01:00.096	09:01:00.291	09:01:00.432	AIM ImmunoTech Achieves Clinical Milestone as Final Subject Receives First Dose in Phase 2 DURIPANC Study in Metastatic Pancreatic Cancer	Globe Newswire	13.69	5.91	NYSE AMERICAN	0.4	22.8	722.3323	2026-06-18 09:01:00.453786	0.889	0.0163	0.0947	0.8726	positive	OK	accepted:1003	sentiment_ack	0.4945	0.5949	0.389	0.8139	0.4194	2026-06-18 09:01:01.089443
CODX	"[""CODX""]"	nPn22ZT1ra	2026-06-18	09:06:07.696	09:06:07.896	09:06:08.109	Co-Diagnostics Hosts Kingdom of Saudi Arabia Joint Venture CoMira for Unveiling of Future Automated Manufacturing Line	PR Newswire	3.49	14.15	NASDAQ	3.33	791.9	495.8635	2026-06-18 09:06:08.140530	0.3282	0.0102	0.6616	0.3181	positive	OK	accepted:1012	sentiment_ack	0.3875	0.5224	0.3144	0.7474	0.3852	2026-06-18 09:06:08.731774
PHGE	"[""PHGE""]"	nGNX9CGRB6	2026-06-18	09:15:00.147	09:15:00.435	09:15:00.980	BiomX Provides Update on Defense Technology Portfolio and Growth Strategy	Globe Newswire	7.95	6.14	NYSE AMERICAN	0.55	79.0	577.4436	2026-06-18 09:15:01.006900	0.0919	0.0225	0.8857	0.0694	positive	BAD	accepted:1015	sentiment_bad_released	0.3481	0.4553	0.2573	0.7828	0.302	2026-06-18 09:15:01.864351
LGHL	"[""LGHL""]"	nPn7F4fZFa	2026-06-18	09:15:00.251	09:15:00.481	09:15:01.279	Lion Group Holding Ltd. Signs Non-Binding Memorandum of Understanding to Acquire Aquila Hash, Inc.	PR Newswire	3.49	2.62	NASDAQ	0.598	361.3	431.873	2026-06-18 09:15:01.346440	0.8136	0.0225	0.1639	0.7911	positive	OK	accepted:1018	sentiment_ack	0.6252	0.6899	0.4685	0.8398	0.4738	2026-06-18 09:15:02.170209
DARE	"[""DARE""]"	nGNX7BgQJ4	2026-06-18	09:20:00.123	09:20:00.327	09:20:00.507	Daré Bioscience to Showcase Leadership in Women's Health Innovation at BIO International Convention 2026	Globe Newswire	13.77	31.61	NASDAQ	2.08	5903.6	3007.9167	2026-06-18 09:20:00.531645	0.5548	0.0309	0.4143	0.5238	positive	OK	accepted:1001	sentiment_ack	0.3364	0.4838	0.2641	0.791	0.3123	2026-06-18 09:20:01.289622
LGVN	"[""LGVN""]"	nGNXbZsf8z	2026-06-18	09:20:00.101	09:20:00.327	09:20:00.594	New Phase 2a Clinical Data Analysis of Stem Cell Therapy Laromestrocel in Mild Alzheimer’s Disease Accepted for Poster Presentation at the 2026 Alzheimer’s Association International Conference (AAIC)	Globe Newswire	26.04	24.36	NASDAQ	0.84	4603.8	1032.7529	2026-06-18 09:20:00.615574	0.1568	0.0342	0.8091	0.1226	positive	BAD	accepted:1013	sentiment_bad_released	0.1168	0.1064	0.0755	0.2481	0.1038	2026-06-18 09:20:02.195441
IBG	"[""IBG""]"	nACSpLsSBa	2026-06-18	09:20:00.482	09:20:00.703	09:20:01.713	BlockFuel Energy Launches Vertical Drilling Program for Second Half 2026	ACCESSWIRE	1.63	2.14	NASDAQ	1.15	2888.9	414.9216	2026-06-18 09:20:01.773106	0.1183	0.0199	0.8619	0.0984	positive	BAD	accepted:1016	sentiment_bad_released	0.5617	0.6082	0.5366	0.7906	0.5031	2026-06-18 09:20:02.639333
EDBL	"[""EDBL"", ""EDBLW""]"	nGNX6kv9GH	2026-06-18	09:29:00.094	09:29:00.213	09:29:00.461	Edible Garden Announces Adjournment of Annual Meeting to Facilitate Additional Shareholder Participation	Globe Newswire	4.48	1.2	NASDAQ	0.2061	239.7	927.9018	2026-06-18 09:29:00.493296	0.14	0.0494	0.8105	0.0906	positive	BAD	accepted:1017	sentiment_bad_released	0.3898	0.4861	0.2908	0.7206	0.2476	2026-06-18 09:29:01.539388
SEGG	"[""SEGG"", ""LTRYW""]"	nGNX4cBGpq	2026-06-18	09:41:14.105	09:41:14.234	09:41:14.440	SEGG Media Reports Strong Q2 Momentum Across Veloce and Quadrant	Globe Newswire	10.84	14.54	NASDAQ	1.05	16.8	569.6129	2026-06-18 09:41:14.463612	0.9319	0.0191	0.049	0.9128	positive	OK	accepted:1002	sentiment_ack	0.5901	0.67	0.5319	0.863	0.523	2026-06-18 09:41:15.287442
