Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
CRMT	"[""CRMT""]"	nGNX3Gjq7K	16:12:00.105	2026-06-12	16:12:00.209	CRMT Investor News: If You Have Suffered Losses in America’s Car-Mart, Inc. (NASDAQ: CRMT), You Are Encouraged to Contact The Rosen Law Firm About Your Rights	Globe Newswire	7.61	NASDAQ	2.69	1205.1	661.4335	2026-06-12 16:12:02.969861	0.2677	0.0854	0.6468	0.1823	positive	OK	accepted:1016	sentiment_bad_released	-0.0459	-0.151	-0.0186	0.4795	-0.0743	2026-06-12 16:12:03.287933
JVA	"[""JVA""]"	nGNX6DbgYM	16:15:00.405	2026-06-12	16:15:01.020	Coffee Holding Company Reports Second Quarter Results.	Globe Newswire	4.98	NASDAQ	4.2	28500.0	558.75	2026-06-12 16:15:02.359657	0.1638	0.0944	0.7419	0.0694	positive	BAD	accepted:1017	sentiment_bad_released	-0.0744	-0.0761	-0.0571	0.8082	-0.1353	2026-06-12 16:15:02.964395
SKIL	"[""SKIL""]"	nBw8FHjtfa	16:30:00.128	2026-06-12	16:30:00.374	Skillsoft Announces New Employee Inducement Grant Under NYSE Rule 303A.08	Business Wire	4.68	NYSE	5.4	4786.7	1174.6607	2026-06-12 16:30:02.162967	0.3456	0.0289	0.6256	0.3167	positive	OK	accepted:1019	sentiment_ack	0.2952	0.3448	0.2092	0.5457	0.2341	2026-06-12 16:30:02.882612
FJET	"[""FJET""]"	nGNX4nykGQ	16:30:00.136	2026-06-12	16:30:00.320	FJET Class Action Notice: Robbins LLP Reminds Investors of the Lead Plaintiff Deadline in the Starfighters Space, Inc. Class Action Lawsuit	Globe Newswire	29.36	NYSE AMERICAN	6.75	171.2	563.4803	2026-06-12 16:30:02.220407	0.2037	0.0916	0.7047	0.112	positive	OK	accepted:1018	sentiment_bad_released	-0.114	-0.2007	-0.0618	0.3112	-0.1131	2026-06-12 16:30:02.975401
ATHR	"[""ATHR""]"	nGNX14Z0WK	16:30:00.214	2026-06-12	16:30:00.434	ATHR Class Action Notice: Robbins LLP Reminds Investors of the Lead Plaintiff Deadline in the Aether Holdings, Inc. Class Action Lawsuit	Globe Newswire	4.12	NASDAQ	3.25	34200.0	216.1667	2026-06-12 16:30:02.297114	0.1742	0.1048	0.7211	0.0694	positive	BAD	accepted:1000	sentiment_bad_released	0.0063	0.0202	0.0143	0.3035	-0.0043	2026-06-12 16:30:03.621632
PLCE	"[""PLCE""]"	nGNX4NZHdf	16:30:00.383	2026-06-12	16:30:01.128	The Children’s Place Reports First Quarter 2026 Results	Globe Newswire	7.02	NASDAQ	3.59	3070.0	568.4665	2026-06-12 16:30:02.689849	0.0963	0.1024	0.8013	-0.0061	neutral	BAD	accepted:1002	sentiment_bad_released	0.5605	0.588	0.4806	0.8931	0.3405	2026-06-12 16:30:04.051668
BHM	"[""BHM""]"	nPn5fwD38a	16:45:00.268	2026-06-12	16:45:00.376	Bluerock Homes Trust (BHM) Announces Second Quarter Dividends on Common Stock	PR Newswire	3.37	NYSE AMERICAN	9.54	34200.0	488.0	2026-06-12 16:45:00.781573	0.079	0.0855	0.8355	-0.0064	neutral	BAD	accepted:1001	sentiment_bad_released	0.2638	0.2144	0.1102	0.4253	0.1237	2026-06-12 16:45:01.341752
LASE	"[""LASE""]"	nACS795wCa	16:45:00.331	2026-06-12	16:45:00.445	Laser Photonics Regains Compliance with Nasdaq Periodic Filing Requirement	ACCESSWIRE	24.6	NASDAQ	2.41	15.1	451.6193	2026-06-12 16:45:00.795559	0.8146	0.0262	0.1592	0.7884	positive	OK	accepted:1004	sentiment_ack	0.0699	0.0717	0.0557	0.4199	0.0347	2026-06-12 16:45:01.398238
CCM	"[""CCM""]"	nNFCbjVXPK	17:24:47.187	2026-06-12	17:24:47.294	Canagold Resources Ltd. Announces Voting Results from Annual General Meeting	Newsfile Corp	2.38	TSX	4.54	34200.0	168.6667	2026-06-12 17:24:47.540635	0.1001	0.0485	0.8514	0.0515	positive	BAD	accepted:1003	sentiment_bad_released	0.5218	0.4779	0.2271	0.6155	0.2178	2026-06-12 17:24:47.816638
TRAW	"[""TRAW""]"	nGNX371MY4	17:30:00.099	2026-06-12	17:30:00.338	Traws Pharma Provides Regulatory Update on Influenza Program	Globe Newswire	11.42	NASDAQ	1.27	1145.6	735.1282	2026-06-12 17:30:00.638520	0.0833	0.0299	0.8868	0.0534	positive	BAD	accepted:1005	sentiment_bad_released	0.3219	0.3407	0.2361	0.7886	0.2603	2026-06-12 17:30:01.359285
ATOS	"[""ATOS""]"	nPn1LP0HTa	17:31:08.689	2026-06-12	17:31:08.809	Atossa Therapeutics Announces Closing of Registered Direct Offering of up to $16.5 Million in Gross Proceeds	PR Newswire	8.46	NASDAQ	2.58	26600.0	327.491	2026-06-12 17:31:08.985931	0.1436	0.0252	0.8312	0.1184	positive	BAD	accepted:1006	sentiment_bad_released	0.1915	0.1328	0.0827	0.29	0.0754	2026-06-12 17:31:09.524343
PHR	"[""PHR""]"	nNFCbXZJbb	17:35:11.777	2026-06-12	17:35:11.873	PHREESIA DEADLINE: ROSEN, TRUSTED INVESTOR COUNSEL, Encourages Phreesia, Inc. Investors with Losses in Excess of $100K to Secure Counsel Before Important Deadline in Securities Class Action - PHR	Newsfile Corp	49.77	NYSE	9.05	3601.4	24125.3485	2026-06-12 17:35:12.037237	0.216	0.0663	0.7177	0.1497	positive	OK	accepted:1008	sentiment_bad_released	0.2128	0.2635	0.1491	0.539	0.1018	2026-06-12 17:35:12.439159
PHR	"[""PHR""]"	nACS8K9Dsa	18:00:01.543	2026-06-12	18:00:01.707	Pomerantz LLP Informs Shareholders of Securities Class Action Filing Against Phreesia, Inc.  – PHR	ACCESSWIRE	49.77	NYSE	9.05	3601.4	24125.3485	2026-06-12 18:00:02.182071	0.1055	0.176	0.7184	-0.0705	negative	BAD	accepted:1007	sentiment_bad_released	-0.3544	-0.4247	-0.1297	0.0035	-0.1438	2026-06-12 18:00:02.597519
FCHL	"[""FCHL""]"	nACSpNLw6a	18:00:04.606	2026-06-12	18:00:04.748	Pomerantz LLP Notifies Shareholders of Class Action Filing Against Fitness Champs Holdings Ltd.  – FCHL	ACCESSWIRE	0.4	NASDAQ	1.28	8.5	354.53	2026-06-12 18:00:04.895009	0.0806	0.1972	0.7221	-0.1166	negative	BAD	accepted:1009	sentiment_bad_released	-0.1939	-0.2319	-0.0616	0.11	-0.0748	2026-06-12 18:00:05.231748
PHR	"[""PHR""]"	nACSdx6Sla	19:45:01.160	2026-06-12	19:45:01.298	Join Class Action to Recover Losses From Phreesia, Inc. (PHR) - Contact Levi & Korsinsky Before July 13, 2026	ACCESSWIRE	49.77	NYSE	9.05	3601.4	24125.3485	2026-06-12 19:45:01.600859	0.1423	0.1086	0.7491	0.0338	neutral	BAD	accepted:1011	sentiment_bad_released	-0.1428	-0.2533	-0.0751	0.5342	-0.1313	2026-06-12 19:45:02.088972
PHR	"[""PHR""]"	nACS9031Ka	20:20:00.422	2026-06-12	20:20:00.524	PHREESIA DEADLINE: ROSEN, SKILLED INVESTOR COUNSEL, Encourages Phreesia, Inc. Investors with Losses in Excess of $100K to Secure Counsel Before Important Deadline in Securities Class Action - PHR	ACCESSWIRE	49.77	NYSE	9.05	3601.4	24125.3485	2026-06-12 20:20:00.764832	0.2542	0.0461	0.6997	0.2081	positive	OK	accepted:1010	sentiment_bad_released	0.2123	0.2634	0.1465	0.539	0.0961	2026-06-12 20:20:01.069406
RKDA	"[""RKDA""]"	nGNX2y43RZ	22:00:00.103	2026-06-12	22:00:00.247	Arcadia Biosciences (RKDA) Announces Closing of $4 Million Private Placement Priced At-The-Market Under Nasdaq Rules	Globe Newswire	2.05	NASDAQ	1.07	4405.5	386.643	2026-06-12 22:00:00.555191	0.0623	0.0491	0.8886	0.0131	neutral	BAD	accepted:1012	sentiment_bad_released	0.1651	0.1758	0.0975	0.4011	0.0898	2026-06-12 22:00:01.044493
