Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
VENU	"[""VENU""]"	nBw85fRw0a	07:00:00.563	2026-06-15	07:00:02.384	07:00:11.030	VENU Plans $80 Million Sale-Leaseback Financing for Parking Garage Asset at Sunset Amphitheater in McKinney, Texas	Business Wire	42.96	NYSE AMERICAN	3.42	4944.9	905.0175	2026-06-15 07:00:11.052457	0.2763	0.0146	0.7091	0.2617	positive	OK	accepted:1007	sentiment_ack	0.3543	0.4241	0.2952	0.6507	0.3196	2026-06-15 07:00:11.563334
SEER	"[""SEER""]"	nGNX4J98md	07:00:01.085	2026-06-15	07:00:03.355	07:00:11.886	Seer Board of Directors Issues Letter to Shareholders Highlighting the Company’s Significant Scientific Progress and Addressing Radoff and Torok’s Short-Sighted Campaign	Globe Newswire	31.23	NASDAQ	1.72	16625.0	8303.75	2026-06-15 07:00:11.915871	0.7745	0.0332	0.1923	0.7413	positive	OK	accepted:1009	sentiment_ack	0.3876	0.4892	0.3181	0.8939	0.204	2026-06-15 07:00:13.363940
LTBR	"[""LTBR""]"	nGNX5mWN4M	07:00:01.337	2026-06-15	07:00:03.295	07:00:11.796	Lightbridge to Participate in Upcoming Investor and Nuclear Industry Events	Globe Newswire	33.05	NASDAQ	9.4	453.3	1201.2082	2026-06-15 07:00:11.839122	0.1486	0.011	0.8403	0.1376	positive	BAD	accepted:1008	sentiment_bad_released	0.3495	0.4179	0.2255	0.7016	0.2283	2026-06-15 07:00:13.379244
FCHL	"[""FCHL""]"	nACSLG8Q5a	07:00:02.007	2026-06-15	07:00:03.963	07:00:12.206	FCHL DEADLINE REMINDER: Bronstein, Gewirtz & Grossman LLC Reminds Fitness Champs Holdings Ltd. Investors to Join the Class Action Lawsuit Today	ACCESSWIRE	1.27	NASDAQ	1.46	343.8	353.437	2026-06-15 07:00:12.228112	0.167	0.138	0.695	0.029	neutral	BAD	accepted:1010	sentiment_bad_released	-0.065	-0.0881	-0.0238	0.2231	-0.066	2026-06-15 07:00:13.900484
PHR	"[""PHR""]"	nACSKYrhHa	07:00:08.714	2026-06-15	07:00:08.834	07:00:16.054	Pomerantz LLP Issues Important Reminder to Phreesia, Inc.  Shareholders – PHR	ACCESSWIRE	49.77	NYSE	9.06	3221.0	20873.2676	2026-06-15 07:00:16.072567	0.2272	0.017	0.7558	0.2102	positive	OK	accepted:1012	sentiment_bad_released	-0.3544	-0.4245	-0.1297	0.0035	-0.1439	2026-06-15 07:00:16.422721
KTTA	"[""KTTA"", ""KTTAW""]"	nGNX92k6hJ	07:02:00.084	2026-06-15	07:02:00.203	07:02:00.312	Pasithea Therapeutics Announces Exhibit at Children’s Tumor Foundation 2026 NF Conference	Globe Newswire	30.58	NASDAQ	0.5911	3927.7	1078.8974	2026-06-15 07:02:00.330557	0.1	0.0495	0.8505	0.0506	positive	BAD	accepted:1014	sentiment_bad_released	0.1529	0.2998	0.1175	0.6145	0.2162	2026-06-15 07:02:01.303198
LFCR	"[""LFCR""]"	nGNX4lkRyS	07:05:00.129	2026-06-15	07:05:00.249	07:05:00.388	Lifecore Biomedical Signs New Agreement with Global Pharmaceutical Company	Globe Newswire	33.79	NASDAQ	5.64	19950.0	3510.7708	2026-06-15 07:05:00.408947	0.7753	0.0222	0.2025	0.7531	positive	OK	accepted:1015	sentiment_ack	0.4382	0.5289	0.3021	0.8273	0.4173	2026-06-15 07:05:01.131443
NIXX	"[""NIXX""]"	nBw4PTYQya	07:10:00.092	2026-06-15	07:10:00.223	07:10:00.366	Tachyon9 Announces Strategic Partnership with Yotta Data Services Parent Nidar Infrastructure to Anchor Nakota AI Data Campus	Business Wire	24.13	NASDAQ	0.87	674.1	623.2386	2026-06-15 07:10:00.386104	0.7011	0.0104	0.2885	0.6907	positive	OK	accepted:1016	sentiment_ack	0.597	0.663	0.5712	0.8236	0.6086	2026-06-15 07:10:01.173654
DYAI	"[""DYAI""]"	nGNX4yZqz2	07:25:00.135	2026-06-15	07:25:00.371	07:25:00.648	Dyadic Highlights Accelerated Interest in C1 Biomanufacturing Platform Amid Ebola Preparedness Activities and Growing Commercial Adoption	Globe Newswire	27.08	NASDAQ	0.682	11780.0	777.5	2026-06-15 07:25:00.678502	0.8577	0.0094	0.1329	0.8482	positive	OK	accepted:1017	sentiment_ack	0.4063	0.4928	0.4063	0.7645	0.459	2026-06-15 07:25:01.277381
DFLI	"[""DFLI"", ""DFLIW""]"	nGNX2nQjwg	07:30:00.173	2026-06-15	07:30:00.321	07:30:00.505	Dragonfly Energy Receives European Patent Allowance for Advancing Dry Electrode and Solid-State Battery Manufacturing	Globe Newswire	12.62	NASDAQ	1.73	1210.9	750.9237	2026-06-15 07:30:00.519708	0.4902	0.0105	0.4993	0.4797	positive	OK	accepted:1018	sentiment_ack	0.4478	0.5191	0.2693	0.8337	0.2957	2026-06-15 07:30:01.325231
MDCX	"[""MDCX""]"	nGNXc87fVQ	07:30:00.341	2026-06-15	07:30:00.815	07:30:03.166	Medicus Pharma Announces U.S. Food and Drug Administration (FDA) Submission of Rare Pediatric Disease Designation Request for SkinJect® in Gorlin Syndrome	Globe Newswire	10.24	NASDAQ	0.3377	603.9	1267.0904	2026-06-15 07:30:03.197356	0.5286	0.1188	0.3526	0.4098	positive	OK	accepted:1019	sentiment_ack	0.386	0.5096	0.3685	0.7791	0.3456	2026-06-15 07:30:03.872099
RILY	"[""RILY""]"	nPn9Bp93qa	07:31:00.043	2026-06-15	07:31:00.172	07:31:00.234	BRC Group Holdings, Inc. Provides Update on SpaceX Carried Interest Position	PR Newswire	27.36	NASDAQ	8.72	3474.3	2831.6887	2026-06-15 07:31:00.264919	0.0843	0.0332	0.8825	0.0511	positive	BAD	accepted:1000	sentiment_bad_released	0.056	0.0308	0.0457	0.14	0.0532	2026-06-15 07:31:00.790941
HURA	"[""HURA""]"	nPnbYQkFDa	07:49:25.784	2026-06-15	07:49:25.985	07:49:26.188	TuHURA Biosciences Files Investigational New Drug Application for Evaluation of the TBS-2025 VISTA Inhibiting Antibody in Molecularly Defined Subsets of AML and Other Blood Related Cancers	PR Newswire	41.62	NASDAQ	2.32	8075.0	2441.8571	2026-06-15 07:49:26.212717	0.5659	0.0202	0.4138	0.5457	positive	OK	accepted:1001	sentiment_ack	0.4321	0.5347	0.4149	0.8003	0.3521	2026-06-15 07:49:26.929028
CHAI	"[""CHAI""]"	nGNX3VNc5r	07:50:00.031	2026-06-15	07:50:00.156	07:50:00.217	Core AI Holdings Appoints John Clinton Haley Former Meta Leader to Advisory Board	Globe Newswire	6.99	NASDAQ	1.32	32.6	268.8059	2026-06-15 07:50:00.228758	0.1196	0.0493	0.8311	0.0703	positive	BAD	accepted:1003	sentiment_bad_released	0.5168	0.6257	0.4168	0.8287	0.408	2026-06-15 07:50:00.764043
ENLV	"[""ENLV"", ""1BTG""]"	nGNX1ggWXq	08:00:00.064	2026-06-15	08:00:00.259	08:00:00.500	Enlivex Announces Issuance of Australian Patent Covering the Use of Allocetra™  in Patients with Osteoarthritis	Globe Newswire	35.12	NASDAQ	0.6701	4234.3	883.8393	2026-06-15 08:00:00.527534	0.4261	0.0206	0.5533	0.4054	positive	OK	accepted:1002	sentiment_ack	0.2341	0.3118	0.1841	0.6371	0.2834	2026-06-15 08:00:01.777623
AFCG	"[""AFCG""]"	nGNX90qTX0	08:00:00.132	2026-06-15	08:00:00.477	08:00:02.795	AFC Announces Dividend for the Second Quarter 2026	Globe Newswire	14.29	NASDAQ	3.42	22800.0	1639.0	2026-06-15 08:00:02.812005	0.0286	0.0485	0.9229	-0.0199	neutral	BAD	accepted:1004	sentiment_bad_released	0.1267	0.1322	0.0856	0.1885	0.0721	2026-06-15 08:00:03.007601
CD	"[""CD""]"	nGNX78KGtR	08:00:00.121	2026-06-15	08:00:00.774	08:00:03.814	Chaince Digital Announces Launch of USDC Yield Vault on Morpho Curated by AlphaPing	Globe Newswire	45.4	NASDAQ	4.75	7641.9	828.3661	2026-06-15 08:00:03.833189	0.2111	0.016	0.7729	0.1951	positive	OK	accepted:1005	sentiment_ack	0.288	0.3804	0.2108	0.675	0.2135	2026-06-15 08:00:04.352178
RECT	"[""RECT""]"	nGNX9l7dLh	08:00:00.212	2026-06-15	08:00:01.341	08:00:04.488	Rectitude Holdings Ltd Secures Additional AIMS System Orders for Major Infrastructure and Residential Projects Across Singapore	Globe Newswire	2.4	NASDAQ	1.2	3265.5	264.6721	2026-06-15 08:00:04.504725	0.9378	0.0167	0.0455	0.9211	positive	OK	accepted:1008	sentiment_ack	0.4438	0.5628	0.406	0.8455	0.4399	2026-06-15 08:00:05.145611
KUST	"[""KUST""]"	nGNX55vBWj	08:00:00.293	2026-06-15	08:00:01.439	08:00:04.616	Kustom Entertainment Announces Major Ticket Inventory Updates for Country Stampede Kansas 2026 in Bonner Springs, Kansas	Globe Newswire	0.58	NASDAQ	1.68	814.2	349.3093	2026-06-15 08:00:04.633139	0.1285	0.0971	0.7745	0.0314	neutral	BAD	accepted:1011	sentiment_bad_released	0.3733	0.5107	0.2866	0.8089	0.3589	2026-06-15 08:00:05.402308
BYRN	"[""BYRN""]"	nGNX82rLBN	08:00:00.236	2026-06-15	08:00:01.603	08:00:06.128	Byrna Technologies Realigns Sales and Marketing Function to Strengthen Brand Messaging and Accelerate Retail Expansion; Appoints HLK as Agency of Record	Globe Newswire	17.76	NASDAQ	6.35	5826.7	2939.2075	2026-06-15 08:00:06.151203	0.5816	0.0107	0.4078	0.5709	positive	OK	accepted:1013	sentiment_ack	0.4694	0.5167	0.3326	0.7624	0.3696	2026-06-15 08:00:06.945216
SUNS	"[""SUNS""]"	nGNX3Sh1FH	08:00:00.373	2026-06-15	08:00:01.791	08:00:07.339	Sunrise Realty Trust Announces Dividend for the Second Quarter 2026	Globe Newswire	9.67	NASDAQ	8.54	19950.0	2406.9333	2026-06-15 08:00:07.354183	0.1116	0.0794	0.809	0.0321	neutral	BAD	accepted:1006	sentiment_bad_released	0.1752	0.2241	0.1239	0.3768	0.0892	2026-06-15 08:00:07.898912
SMWB	"[""SMWB"", ""63X""]"	nBw6dxvRza	08:00:00.372	2026-06-15	08:00:01.770	08:00:07.217	Similarweb Secures Multi-Year, Seven-Figure ARR Contracts Worth Approximately $47 Million in Total Contract Value	Business Wire	34.35	NYSE	4.38	9608.6	5812.3333	2026-06-15 08:00:07.236994	0.6874	0.0199	0.2927	0.6675	positive	OK	accepted:1014	sentiment_ack	0.4486	0.5607	0.3163	0.8315	0.4181	2026-06-15 08:00:08.185953
QUCY	"[""QUCY"", ""4TO""]"	nGNXbnkfHN	08:00:00.459	2026-06-15	08:00:02.449	08:00:09.219	Quantum Cyber Executes Exclusive Quantum Antenna License Agreement, Positoning the Quantum Technology Layer at the Core of Its Defense Platform	Globe Newswire	19.49	NASDAQ	1.73	66.1	371.5889	2026-06-15 08:00:09.236758	0.1926	0.0108	0.7965	0.1818	positive	BAD	accepted:1010	sentiment_bad_released	0.4477	0.4714	0.2914	0.7132	0.2843	2026-06-15 08:00:10.748932
VWAV	"[""VWAV"", ""VWAVW""]"	nGNX52LVQT	08:00:00.305	2026-06-15	08:00:02.497	08:00:09.252	VisionWave Holdings Files U.S. Patent Application for SDNN™ Symbiotic Deep Neural Network Architecture for Autonomous Defense and Intelligent Systems	Globe Newswire	16.3	NASDAQ	4.82	914.4	410.7263	2026-06-15 08:00:09.289638	0.4368	0.0171	0.5462	0.4197	positive	OK	accepted:1012	sentiment_ack	0.2129	0.1995	0.1452	0.414	0.1623	2026-06-15 08:00:11.090814
IVDA	"[""IVDA""]"	nBw4gsmqDa	08:00:00.572	2026-06-15	08:00:02.636	08:00:09.421	Iveda Introduces High-Precision Real-Time Location Upgrade with 10cm Accuracy and New AoA Sensors	Business Wire	10.63	NASDAQ	0.2809	1026.4	818.5794	2026-06-15 08:00:09.435516	0.2263	0.0097	0.7639	0.2166	positive	OK	accepted:1015	sentiment_ignored	0.2946	0.3388	0.2364	0.7455	0.2989	2026-06-15 08:00:11.550852
COYA	"[""COYA""]"	nBw9v3Czpa	08:00:00.693	2026-06-15	08:00:03.037	08:00:09.652	Coya Therapeutics to Host Virtual Webinar on the Intersection of Repetitive Head Trauma, Brain Inflammation and Neurodegenerative Disease	Business Wire	20.01	NASDAQ	4.74	26600.0	995.8333	2026-06-15 08:00:09.687914	0.1355	0.0194	0.8451	0.1162	positive	BAD	accepted:1016	sentiment_bad_released	0.1471	0.1717	0.0831	0.3474	0.0814	2026-06-15 08:00:11.797474
SEER	"[""SEER""]"	nBw4h3cjva	08:00:01.838	2026-06-15	08:00:03.530	08:00:10.154	The Radoff-JEC Group Highlights Seer Inc.’s and Chairman and CEO Omid Farokhzad, M.D.’s History of Value Destruction	Business Wire	31.23	NASDAQ	1.72	16625.0	8303.75	2026-06-15 08:00:10.285325	0.2385	0.0965	0.6649	0.142	positive	OK	accepted:1019	sentiment_ack	-0.3741	-0.5537	-0.2333	0.1133	-0.2353	2026-06-15 08:00:12.550020
TELO	"[""TELO""]"	nACSGytzXa	08:00:00.949	2026-06-15	08:00:03.428	08:00:10.004	Telomir Pharmaceuticals Announces Peer-Reviewed Publication in Biomedicine & Pharmacotherapy Demonstrating Restoration of Insulin Sensitivity with Telomir-Zn in a Preclinical Type 2 Diabetes Model	ACCESSWIRE	18.49	NASDAQ	1.26	4306.7	637.0127	2026-06-15 08:00:10.156525	0.8356	0.0305	0.1339	0.8051	positive	OK	accepted:1017	sentiment_ack	0.2715	0.3505	0.2596	0.8552	0.2639	2026-06-15 08:00:12.578191
PAVS	"[""PAVS""]"	nACSgCjw4a	08:00:01.567	2026-06-15	08:00:03.554	08:00:10.191	Paranovus Entertainment Technology Limited Signs Non-Binding Letter of Intent to Acquire Jabanero Inc.	ACCESSWIRE	0.99	NASDAQ	0.208	0.7	497.3161	2026-06-15 08:00:10.235171	0.5691	0.0189	0.412	0.5502	positive	OK	accepted:1000	sentiment_ignored	0.3766	0.5343	0.2579	0.8199	0.2478	2026-06-15 08:00:13.485012
JRSH	"[""JRSH""]"	nACSgGyRWa	08:00:01.493	2026-06-15	08:00:04.063	08:00:10.514	Jerash Holdings Reports Financial Results for Fiscal 2026 Fourth Quarter and Full Year	ACCESSWIRE	6.33	NASDAQ	3.46	34200.0	851.0	2026-06-15 08:00:10.586535	0.1151	0.0756	0.8092	0.0395	neutral	BAD	accepted:1018	sentiment_bad_released	0.6365	0.7588	0.6365	0.9279	0.5396	2026-06-15 08:00:13.708524
MEHA	"[""MEHA""]"	nNFCbYtmlj	08:00:13.075	2026-06-15	08:00:13.408	08:00:16.190	Functional Brands Inc. Receives Nasdaq Staff Delisting Determination	Newsfile Corp	39.57	NASDAQ	0.0414	59.4	2351.8716	2026-06-15 08:00:16.210880	0.0423	0.2796	0.6782	-0.2373	negative	BAD	accepted:1003	sentiment_bad_released	0.0078	-0.0342	0.0103	0.3239	-0.017	2026-06-15 08:00:16.859341
DOMH	"[""DOMH""]"	nPn3H8pHMa	08:00:43.543	2026-06-15	08:00:43.641	08:00:43.707	Dominari Securities Raises $200,000,000.00 in World's Largest IPO	PR Newswire	8.84	NASDAQ	3.16	9690.0	988.28	2026-06-15 08:00:43.723825	0.6701	0.0141	0.3159	0.656	positive	OK	accepted:1001	sentiment_ack	0.5946	0.6151	0.3994	0.8367	0.4624	2026-06-15 08:00:44.227689
WNC	"[""WNC""]"	nBw3jWG0na	08:01:00.178	2026-06-15	08:01:00.310	08:01:00.394	Wabash Partners with Transport Trailer Sales Inc. to Expand Canadian Dealer Network	Business Wire	38.45	NYSE	9.71	4139.3	11168.8594	2026-06-15 08:01:00.408304	0.7777	0.0077	0.2146	0.7699	positive	OK	accepted:1011	sentiment_ack	0.6911	0.7351	0.5961	0.8411	0.6321	2026-06-15 08:01:01.343087
AIM	"[""AIM""]"	nGNX8Mj9jZ	08:01:00.029	2026-06-15	08:01:00.197	08:01:00.335	AIM ImmunoTech Regains NYSE American Compliance, Company Resolves Stockholder Equity Deficiency	Globe Newswire	13.69	NYSE AMERICAN	0.4059	36.2	722.5187	2026-06-15 08:01:00.353514	0.3155	0.0316	0.6529	0.2839	positive	OK	accepted:1004	sentiment_ack	0.2928	0.3555	0.2085	0.6428	0.2878	2026-06-15 08:01:01.609413
LOCL	"[""LOCL""]"	nPn5ltjPza	08:03:04.229	2026-06-15	08:03:04.407	08:03:04.563	Local Bounti Launches Distribution at Harris Teeter Across Entire Footprint	PR Newswire	22.8	NYSE	1.35	22800.0	368.32	2026-06-15 08:03:04.585552	0.2235	0.0322	0.7444	0.1913	positive	OK	accepted:1015	sentiment_ack	0.3993	0.5107	0.3258	0.7911	0.441	2026-06-15 08:03:05.714090
RKTO	"[""RKTO""]"	nPnbFgTpSa	08:11:00.043	2026-06-15	08:11:00.215	08:11:00.416	Rocket One Reports Approximately $8.4 Million in Cash and Cash Equivalents and Outlines Strategy Across AI Infrastructure, Spintronic Computing for Space and Defense Markets	PR Newswire	21.68	NASDAQ	1.115	20.5	511.1875	2026-06-15 08:11:00.446921	0.0787	0.0167	0.9046	0.062	positive	BAD	accepted:1006	sentiment_bad_released	0.3295	0.4028	0.2603	0.6733	0.2377	2026-06-15 08:11:01.059557
OBAI	"[""OBAI""]"	nGNX9gfkkC	08:27:00.030	2026-06-15	08:27:00.138	08:27:00.353	Bond CEO to Host Investor Webinar on New Developments Reinforcing Accelerating Demand	Globe Newswire	14.71	NASDAQ	0.5428	1571.2	1093.7914	2026-06-15 08:27:00.366771	0.2754	0.0308	0.6938	0.2446	positive	OK	accepted:1000	sentiment_ack	0.3245	0.2715	0.1407	0.418	0.1542	2026-06-15 08:27:00.792670
AERT	"[""AERT""]"	nGNXbzqV3j	08:30:00.067	2026-06-15	08:30:00.321	08:30:00.546	Aeries Technology Secures Strategic GCC Advisory Mandate with Leading Global Tax and Financial Advisory Platform	Globe Newswire	1.19	NASDAQ	5.8	2575.7	70.041	2026-06-15 08:30:00.561196	0.6945	0.0127	0.2928	0.6818	positive	OK	accepted:1009	sentiment_ack	0.6508	0.6536	0.5597	0.7981	0.5549	2026-06-15 08:30:01.104759
JTAI	"[""JTAI""]"	nGNX4mpNK9	08:30:00.039	2026-06-15	08:30:00.352	08:30:00.682	Jet.AI Announces New Record Date for Distribution of SpinCo Shares in Connection with Proposed flyExclusive Transaction	Globe Newswire	1.4	NASDAQ	6.75	347.9	269.2241	2026-06-15 08:30:00.712639	0.1841	0.0195	0.7964	0.1646	positive	BAD	accepted:1010	sentiment_bad_released	0.1469	0.1112	0.0813	0.1787	0.0808	2026-06-15 08:30:01.578911
QTEX	"[""QTEX""]"	nGNX8pfW5g	08:30:00.153	2026-06-15	08:30:00.687	08:30:03.607	QTREX Quantum’s AME Technology Achieves 97% Yield Validation at One of the Largest U.S. Interconnect Manufacturers	Globe Newswire	42.6	NASDAQ	1.29	12.0	481.7964	2026-06-15 08:30:03.633540	0.8276	0.0133	0.1591	0.8142	positive	OK	accepted:1016	sentiment_ack	0.3395	0.4951	0.3067	0.8506	0.3744	2026-06-15 08:30:04.166921
NCEL	"[""NCEL""]"	nGNXc9jp1l	08:30:00.122	2026-06-15	08:30:00.823	08:30:04.609	NewcelX Publishes Peer-Reviewed Study Demonstrating Broad Therapeutic Potential of its Stem Cell Technology Platform	Globe Newswire	2.51	NASDAQ	3.23	17100.0	178.2	2026-06-15 08:30:04.628298	0.7338	0.0095	0.2567	0.7242	positive	OK	accepted:1018	sentiment_ack	0.3862	0.4458	0.2967	0.6868	0.353	2026-06-15 08:30:05.369854
SKBL	"[""SKBL""]"	nBw7QgFgta	08:30:00.337	2026-06-15	08:30:01.500	08:30:06.532	Cove Kaz Capital Group and Qazgeology Provide Exploration Update on Akbulak Rare Earth Project in Kazakhstan	Business Wire	27.46	NASDAQ	3.04	6650.0	1345.2308	2026-06-15 08:30:06.551054	0.1109	0.0345	0.8546	0.0763	positive	BAD	accepted:1004	sentiment_bad_released	0.4171	0.5262	0.3463	0.7596	0.3661	2026-06-15 08:30:08.145866
SBEV	"[""SBEV"", ""AVCN""]"	nGNXv65bP	08:30:00.224	2026-06-15	08:30:01.332	08:30:06.307	Splash Beverage Group Invests in Avicanna, a Leading Cannabinoid Biopharmaceutical Platform, Advancing Its Transformation Into Cannabinoid Healthcare	Globe Newswire	10.96	NYSE AMERICAN	0.187	143.6	1069.476	2026-06-15 08:30:06.325219	0.3755	0.0121	0.6125	0.3634	positive	OK	accepted:1001	sentiment_ack	0.5531	0.6369	0.5252	0.7886	0.5315	2026-06-15 08:30:08.150241
CVKD	"[""CVKD""]"	nGNX9fSMpW	08:30:00.174	2026-06-15	08:30:01.583	08:30:06.549	Cadrenal Therapeutics Advances Multi-Indication Strategy for CAD-1005; Launches Phase 2a Acute Kidney Injury (CSA-AKI) Clinical Plan to Accelerate Pharma Partnering at Upcoming BIO 2026	Globe Newswire	2.39	NASDAQ	3.7	20900.0	493.6667	2026-06-15 08:30:06.573451	0.6248	0.0127	0.3625	0.6121	positive	OK	accepted:1002	sentiment_ack	0.4222	0.5002	0.4035	0.8202	0.4239	2026-06-15 08:30:09.495572
NNVC	"[""NNVC""]"	nACSH9KnCa	08:30:00.490	2026-06-15	08:30:02.084	08:30:06.766	As the Ebola Epidemic Spreads, NV-387 Oral Gummies Can Enter a Phase II Clinical Trial for Treatment of Ebola - NanoViricides Proposal is Approved by the Pillar Committee in DR Congo	ACCESSWIRE	22.35	NYSE AMERICAN	1.22	997.6	666.6804	2026-06-15 08:30:06.840540	0.7011	0.0178	0.2811	0.6834	positive	OK	accepted:1005	sentiment_ack	0.3634	0.4192	0.3279	0.7415	0.2956	2026-06-15 08:30:09.583933
BNRG	"[""BNRG""]"	nNFC5sPPjv	08:30:12.628	2026-06-15	08:30:12.802	08:30:12.871	Brenmiller Energy Signs Cooperation Agreement with INNOVA to Pursue Industrial Decarbonization Opportunities in Italy	Newsfile Corp	0.49	NASDAQ	1.22	127.7	339.8033	2026-06-15 08:30:12.907024	0.8814	0.0112	0.1074	0.8702	positive	OK	accepted:1008	sentiment_ack	0.4329	0.5734	0.3971	0.8134	0.4057	2026-06-15 08:30:13.526941
