Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms
CABA	"[""CABA""]"	nGNXrbl6B	2026-05-04 06:35:54	Cabaletta Bio Announces Pricing of $150 Million Underwritten Offering	Globe Newswire	97.48	0.14	0.0377	0.8223	0.1023	positive	0.0362047440699126	NO:sentiment_score	NASDAQ	4.05	36.82				
CWH	"[""CWH""]"	nGNXbZXGsZ	2026-05-04 06:41:00	$CWH Stock Drop Alert: Camping World Stock Plummeted 24% on News of Inventory Management Issues – Investors Notified to Contact BFA Law about the Class Action	Globe Newswire	58.96	0.0661	0.8761	0.0578	-0.81	negative	0.0015680125441003	NO:sentiment_score	NYSE	7.96	2.45				
SEER	"[""SEER""]"	nGNX381GLy	2026-05-04 07:00:00	Seer Announces Appointment of Anthony Bazarko as Chief Commercial Officer	Globe Newswire	29.44	0.0491	0.0427	0.9082	0.0064	neutral	0.0004369674459252	NO:sentiment_score	NASDAQ	2.09	2.96				
POET	"[""POET""]"	nACSmYhpZa	2026-05-04 07:00:00	Pomerantz LLP Advises of Securities Class Action Involving POET Technologies Inc.  – POET	ACCESSWIRE	90.52	0.1468	0.1479	0.7052	-0.0011	neutral	0.1532846715328467	NO:sentiment_score	NASDAQ	7.86	6.94				
CBUS	"[""CBUS""]"	nGNXvjxr9	2026-05-04 07:00:00	Cibus Announces Transfer of Gene-Edited Herbicide Tolerance Traits in Interoc Rice Seeds for Testing and Production	Globe Newswire	47.19	0.4981	0.0138	0.4881	0.4843	positive		NO:Trades/sec	NASDAQ	1.54	6.21				
SLMT	"[""SLMT""]"	nBw7Y8ss8a	2026-05-04 07:00:00	Letter to Shareholders of Brera Holdings PLC (d/b/a Solmate Infrastructure)	Business Wire	44.62	0.1537	0.0275	0.8188	0.1263	positive	0.0026852846401718	NO:sentiment_score	NASDAQ	8.11	8.13				
MCRB	"[""MCRB""]"	nGNX3g78mQ	2026-05-04 07:00:00	Seres Therapeutics Presents Preclinical Data at Digestive Disease Week (DDW) 2026 Supporting SER-603, a Next-Generation Cultivated Live Biotherapeutic Candidate, for Inflammatory Bowel Disease	Globe Newswire	7.24	0.7591	0.0176	0.2232	0.7415	positive		NO:Trades/sec	NASDAQ	8.29	8.94				
BCRX	"[""BCRX""]"	nGNX2QMGdN	2026-05-04 07:00:01	BioCryst Announces European Licensing Agreement with Irish Affiliate of Neopharmed Gentili for Navenibart in Hereditary Angioedema	Globe Newswire	226.41	0.8263	0.0183	0.1553	0.808	positive		NO:Trades/sec	NASDAQ	9.39	2.51				
ARMP	"[""ARMP""]"	nPn5ZPCxVa	2026-05-04 07:00:00	"Armata Pharmaceuticals Announces Structural Biology Publication in ""Communications Biology"""	PR Newswire	11.27	0.1608	0.0217	0.8174	0.1391	positive		NO:sentiment_score,Trades/sec	NYSE American	10.85	19.76				
TLRY	"[""TLRY""]"	nGNX5xZKcw	2026-05-04 07:00:00	10 Barrel Brewing Launches Clean Slate and Salty Sips, Expanding RTD Line with Functional N/A and Low-Sugar Cocktails	Globe Newswire	118.71	0.4079	0.0112	0.5809	0.3966	positive		NO:Trades/sec	TSX						
ALDX	"[""ALDX""]"	nACSCGz8fa	2026-05-04 07:00:01	Pomerantz LLP Informs Shareholders of Securities Class Action Filing Against Aldeyra Therapeutics, Inc.  – ALDX	ACCESSWIRE	55.6	0.1571	0.1923	0.6506	-0.0352	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.68	5.66				
CGEN	"[""CGEN""]"	nPn8mXkzka	2026-05-04 07:00:01	Compugen to Release First Quarter 2026 Results on Monday, May 18, 2026	PR Newswire	92.49	0.0464	0.0382	0.9154	0.0082	neutral		NO:sentiment_score,Trades/sec	NASDAQ	2.73	0.37				
AZ	"[""AZ""]"	nPn4xZ0mSa	2026-05-04 07:00:02	A2Z Cust2Mate Solutions to Host First Quarter 2026 Financial Results Conference Call on Friday, May 15, 2026	PR Newswire	32.61	0.1245	0.0197	0.8558	0.1047	positive		NO:sentiment_score,Trades/sec	NASDAQ	7.79	5.13				
ATRA	"[""ATRA""]"	nACSlHp5ga	2026-05-04 07:00:01	 ATRA INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	0.1917	0.1769	0.6315	0.0148	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.02	9.13				
CNSP	"[""CNSP""]"	nACSVwCDSa	2026-05-04 07:00:03	CNS Pharmaceuticals Announces Oversubscribed $22.5 Million Private Placement Financing	ACCESSWIRE	0.7158	0.0376	0.8279	0.1344	-0.7903	negative		NO:sentiment_score,Trades/sec	NASDAQ	10.82	368.4				
AQST	"[""AQST""]"	nACS1py6ga	2026-05-04 07:00:02	Pomerantz LLP Notifies Shareholders of Class Action Lawsuit Against Aquestive Therapeutics, Inc. – AQST	ACCESSWIRE	114.86	0.1378	0.2229	0.6393	-0.0851	negative		NO:sentiment_score,Trades/sec	NASDAQ	4.29	2.14				
GOSS	"[""GOSS""]"	nACSMS9g2a	2026-05-04 07:00:02	Pomerantz LLP Issues Alert Regarding Shareholder Class Action Involving Gossamer Bio, Inc.  – GOSS	ACCESSWIRE	204.1	0.11	0.2477	0.6423	-0.1378	negative		NO:sentiment_score,Trades/sec	NASDAQ	0.38	2.7				
FCHL	"[""FCHL""]"	nACS86LL8a	2026-05-04 07:00:03	FCHL SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Shareholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	0.1359	0.3299	0.5342	-0.194	negative		NO:sentiment_score,Trades/sec	NASDAQ	3.65	43.7				
CHOW	"[""CHOW""]"	nACS6tP8Ja	2026-05-04 07:00:03	CHOW INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that ChowChow Cloud International Holdings Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	10.64	0.1335	0.1696	0.6969	-0.0361	neutral		NO:sentiment_score,Trades/sec	NYSE American	0.44	4.76				
GEMI	"[""GEMI""]"	nACSL5qFga	2026-05-04 07:00:05	Class Action Litigation by Pomerantz LLP Filed Against Gemini Space Station, Inc.  – GEMI	ACCESSWIRE	38.2	0.1237	0.1149	0.7614	0.0087	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.0	5.26				
NUAI	"[""NUAI""]"	nACStRFnMa	2026-05-04 07:00:05	NUAI SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that New Era Energy & Digital, Inc. (f/k/a New Era Helium Inc.) Shareholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	73.85	0.1759	0.1885	0.6356	-0.0126	neutral		NO:sentiment_score,Trades/sec	NASDAQ	4.18	3.98				
SES	"[""SES""]"	nACSvvJbla	2026-05-04 07:00:04	SES SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that SES AI Corporation Stockholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	236.25	0.167	0.3291	0.5039	-0.1621	negative		NO:sentiment_score,Trades/sec	NYSE	1.07	1.9				
GO	"[""GO""]"	nACSCQYPza	2026-05-04 07:00:06	GO STOCKHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Grocery Outlet Holding Corp. Investors with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	90.72	0.1298	0.3183	0.5519	-0.1885	negative		NO:sentiment_score,Trades/sec	NASDAQ	8.36	0.24				
YOOV	"[""YOOV""]"	nACSJT2P5a	2026-05-04 07:00:07	CIGL INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Concorde International Group, Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	5.91	0.1527	0.2527	0.5946	-0.1	negative		NO:sentiment_score,Trades/sec	NASDAQ	1.63	4.49				
ZENA	"[""ZENA""]"	nNFC6B7cB7	2026-05-04 07:00:23	ZenaTech Files Early Warning Report Pursuant to National Instrument 61-103	Newsfile Corp	18.44	0.0793	0.0526	0.8681	0.0268	neutral		NO:sentiment_score,Trades/sec	NASDAQ	2.58	6.17				
UHG	"[""UHG""]"	nACSjgnwga	2026-05-04 07:00:06	Pomerantz LLP Issues Reminder to United Homes Group, Inc.  Investors – UHG	ACCESSWIRE	11.21	0.1169	0.0421	0.841	0.0748	positive		NO:sentiment_score,Trades/sec	NASDAQ						
ICG	"[""ICG""]"	nNFC1k59GR	2026-05-04 07:00:28	ICG Silver & Gold Announces Completion of Initial District-Scale Geological Modeling, Increasing Historical Drilling Database to over 40,000 Meters at the Tuscarora District	Newsfile Corp	29.4089	0.7557	0.01	0.2342	0.7457	positive		NO:Trades/sec							
UGRO	"[""UGRO""]"	nGNX9mMwc9	2026-05-04 07:05:00	Galle Gallants Announce New Ownership Under Gallant Sports and Media LLC Within urban-gro / Flash Sports & Media / IPG–Operated LPL Season 6 Ecosystem; Pubudu Dassanayake Appointed Head Coach	Globe Newswire	1.01	0.1565	0.0183	0.8252	0.1383	positive	0.0125470514429109	NO:sentiment_score	NASDAQ	6.35	4.44				
IRWD	"[""IRWD""]"	nBw4tvNmGa	2026-05-04 07:05:00	Ironwood Survey Findings at DDW 2026 Underscore Need for Therapies that Address Multiple Dimensions of Total Parenteral Nutrition (TPN) Burden in Short Bowel Syndrome (SBS)	Business Wire	156.39	0.6631	0.0463	0.2906	0.6168	positive	0.003537944454272	YES	NASDAQ	4.64	5.45				
NXTC	"[""NXTC""]"	nGNX6dVjbk	2026-05-04 07:05:00	NextCure and Simcere Zaiming Initiate Dose Optimization for SIM0505 (CDH6 ADC) in Gynecologic Cancers	Globe Newswire	2.38	0.4226	0.0234	0.5541	0.3992	positive	0.0003711952487008	YES	NASDAQ	9.44	0.85				
RNAC	"[""RNAC""]"	nGNX8Gybwn	2026-05-04 07:05:00	Cartesian Therapeutics Announces New Employment Inducement Grants	Globe Newswire	9.59	0.2442	0.1366	0.6192	0.1076	positive		NO:sentiment_score,Trades/sec	NASDAQ	6.98	12.22				
MCRP	"[""MCRP""]"	nGNX6zPn2n	2026-05-04 07:29:19	Micropolis Robotics Unveils New, Next-Generation, High-Endurance Robot at the Make it in the Emirates 2026 Industry Exhibition	Globe Newswire	10.32	0.2435	0.009	0.7474	0.2345	positive	0.0016770082173402	YES	NYSE American	2.95	8.46				
KURA	"[""KURA""]"	nGNX32msjF	2026-05-04 07:30:00	Kura Oncology Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)	Globe Newswire	86.06	0.1255	0.035	0.8395	0.0906	positive	0.0017026106696935	NO:sentiment_score	NASDAQ	9.42	6.68				
REKR	"[""REKR""]"	nGNE45LCZG	2026-05-04 07:30:00	Rekor Systems Secures $16.8 Million Contract with Oklahoma District Attorneys Council as Technology Partner for Statewide Uninsured Vehicle Enforcement Program	Globe Newswire	131.89	0.8394	0.0169	0.1437	0.8226	positive	0.0150943396226415	YES	NASDAQ	1.19	38.37				
MGNX	"[""MGNX""]"	nGNE4xGFwb	2026-05-04 07:30:00	MacroGenics and Sagard Healthcare Partners Enter into Expanded ZYNYZ® Royalty Purchase Agreement 	Globe Newswire	61.39	0.4006	0.0128	0.5866	0.3878	positive	0.000915834783405	YES	NASDAQ	3.4	8.28				
GBTG	"[""GBTG""]"	nBwTl8nLa	2026-05-04 07:30:00	Long Lake Agrees to Acquire American Express Global Business Travel, the World’s Largest Corporate Travel Platform, for $6.3 Billion, With Support From General Catalyst and Alpha Wave	Business Wire	240.56	0.6906	0.0105	0.299	0.6801	positive	1.818181818181818	YES	NYSE	9.39	58.35				
RLJ	"[""RLJ""]"	nBw6Cc41Va	2026-05-04 07:30:00	RLJ Lodging Trust Reports First Quarter 2026 Results	Business Wire	122.17	0.0781	0.0733	0.8486	0.0048	neutral		NO:sentiment_score,Trades/sec	NYSE	8.56	0.94				
FGNX	"[""FGNX""]"	nGNX7rqwz7	2026-05-04 07:30:00	FG Nexus Announces Formation of Special Committee to Evaluate Strategic Alternatives including a Potential Business Combination to Build a Leading Platform in Affordable Housing	Globe Newswire	5.3	0.6284	0.0145	0.3571	0.6138	positive	0.0009920634920634	YES	NASDAQ	6.89	7.49				
ADCT	"[""ADCT""]"	nPn2HRHZba	2026-05-04 07:30:03	ADC Therapeutics Reports First Quarter 2026 Financial Results and Provides Operational Updates	PR Newswire	93.68	0.1103	0.0392	0.8506	0.0711	positive		NO:sentiment_score,Trades/sec	NYSE	4.19	8.83				
KWM	"[""KWM""]"	nGNX6bY1K4	2026-05-04 07:30:00	K Wave Media Secures $485M to Launch AI Infrastructure Platform and Eliminates $48M in Debt	Globe Newswire	43.72	0.7931	0.0317	0.1752	0.7613	positive		NO:Trades/sec	NASDAQ	0.59	55.26				
KIDZ	"[""KIDZ""]"	nACSXft9ya	2026-05-04 07:35:00	Classover Announces Strategic Collaboration With Vensin Computer Technology To Advance AI Robotics Education and Infrastructure	ACCESSWIRE	0.99	0.6871	0.0091	0.3038	0.678	positive	0.0701754385964912	YES	NASDAQ	1.02	43.66				
PML	"[""PML""]"	nGNX4kZMvp	2026-05-04 07:45:00	Panoro Announces Brokered LIFE Offering for Gross Proceeds of up to $20 Million	Globe Newswire	125.43	0.1541	0.0147	0.8312	0.1395	positive		NO:sentiment_score,Trades/sec							
STKL	"[""STKL""]"	nGNE1CM6yb	2026-05-04 08:00:00	News Release in accordance with Canadian National Instrument 62-103	Globe Newswire	95.73	0.0726	0.0286	0.8988	0.044	neutral		NO:sentiment_score,Trades/sec	NASDAQ						
PRQR	"[""PRQR""]"	nGNE8gnzYB	2026-05-04 08:00:00	ProQR Announces Annual General Meeting of Shareholders to be Held June 2, 2026	Globe Newswire	71.43	0.0441	0.0266	0.9293	0.0176	neutral	0.0056290458767238	NO:sentiment_score	NASDAQ	1.66	7.1				
EVAX	"[""EVAX""]"	nGNE48vHPm	2026-05-04 08:00:00	Evaxion to announce business update and first quarter 2026 financial results on May 7, 2026	Globe Newswire	6.74	0.0752	0.0429	0.8818	0.0323	neutral	0.0002881014116969	NO:sentiment_score	NASDAQ	4.75	5.56				
LENZ	"[""LENZ""]"	nGNXbxCVNl	2026-05-04 08:00:00	LENZ Therapeutics to Report First Quarter 2026 Financial Results and Recent Corporate Highlights on May 11, 2026 and Attend Upcoming Investor Conference	Globe Newswire	27.72	0.0628	0.031	0.9062	0.0318	neutral	0.0008090614886731	NO:sentiment_score	NASDAQ	9.53	6.01				
VYX	"[""VYX""]"	nBwZPRZLa	2026-05-04 08:00:00	Stater Bros. Markets Signs New Agreement With NCR Voyix to Modernize POS and Payments on the Voyix Commerce Platform	Business Wire	137.68	0.8314	0.0089	0.1596	0.8225	positive	0.0011528706479133	YES	NYSE	7.49	4.17				
MIMI	"[""MIMI""]"	nGNE9j5ztg	2026-05-04 08:00:00	Mint Incorporation Limited Announces 1-for-10 Reverse Stock Split	Globe Newswire	12.7	0.0964	0.0252	0.8784	0.0712	positive		NO:sentiment_score,Trades/sec	NASDAQ	2.92	0.0				
JRSH	"[""JRSH""]"	nACSQcYNya	2026-05-04 08:00:00	Jerash Holdings (US), Inc. Declares Quarterly Dividend	ACCESSWIRE	6.33	0.0951	0.0867	0.8181	0.0084	neutral		NO:sentiment_score,Trades/sec	NASDAQ	3.55	0.57				
CLNN	"[""CLNN""]"	nGNX4fy73s	2026-05-04 08:00:01	After Successful FDA Meeting, Clene Filing Accelerated Approval NDA for ALS	Globe Newswire	8.53	0.6211	0.0226	0.3563	0.5985	positive	0.0066282420749279	YES	NASDAQ	9.78	62.46				
LCTX	"[""LCTX""]"	nBwcw7dha	2026-05-04 08:00:01	OpRegen® 3 Year Results in Patients With GA Presented at Foundation Fighting Blindness Retinal Innovation Summit 2026	Business Wire	236.33	0.422	0.0372	0.5408	0.3848	positive		NO:Trades/sec	NYSE American	1.54	0.0				
BLNK	"[""BLNK""]"	nGNX4WkYWj	2026-05-04 08:00:00	Blink Charging to Host First Quarter Conference Call on Monday, May 11, 2026	Globe Newswire	139.6	0.0684	0.0227	0.9089	0.0457	neutral		NO:sentiment_score,Trades/sec	NASDAQ	0.78	5.41				
BLND	"[""BLND""]"	nBw41gbSKa	2026-05-04 08:00:02	Blend Launches Autopilot MCP Server, Opening Its Lending Platform to FI-Built AI Agents	Business Wire	177.38	0.2357	0.015	0.7493	0.2207	positive		NO:Trades/sec	NYSE	1.61	7.33				
LOBO	"[""LOBO""]"	nGNX7yV1fw	2026-05-04 08:00:01	LOBO Claw AI Agent Completes New Round of Upgrades with DeepSeek V4 Model Integration	Globe Newswire	11.23	0.7491	0.0087	0.2422	0.7403	positive		NO:Trades/sec	NASDAQ	0.67	6.35				
NNOX	"[""NNOX""]"	nGNXblK3v6	2026-05-04 08:00:01	Nanox Announces Distribution Agreement with NuvioDx to Support Deployment of Nanox.ARC Systems	Globe Newswire	69.02	0.3363	0.0091	0.6547	0.3272	positive		NO:Trades/sec	NASDAQ	1.89	9.88				
OTH	"[""OTH""]"	nGNX2HG1fn	2026-05-04 08:00:02	Off The Hook Yachts to Announce 2026 First Quarter Financial and Operating Results on Thursday, May 14, 2026	Globe Newswire	3.45	0.1696	0.0492	0.7812	0.1203	positive		NO:sentiment_score,Trades/sec	NYSE American	2.98	9.96				
GENI	"[""GENI""]"	nBw6bbtgsa	2026-05-04 08:00:02	Genius Sports and Liga MX Strike Landmark Technology and AI Partnership to Drive Future of Mexican Soccer	Business Wire	221.15	0.6953	0.0117	0.293	0.6836	positive		NO:Trades/sec	NYSE	4.55	3.88				
NKLR	"[""NKLR""]"	nGNX9C6Cr0	2026-05-04 08:00:02	Terra Innovatum Expands U.S. Presence with Pittsburgh, Pa. Headquarters and Leadership Appointments to Advance SOLO™ Licensing Readiness and FOAK Deployment	Globe Newswire	21.74	0.4524	0.0111	0.5365	0.4413	positive		NO:Trades/sec	NASDAQ	6.41	3.55				
RYET	"[""RYET""]"	nGNX4H9cq0	2026-05-04 08:00:02	Ruanyun Edai Technology’s Saudi RHQ Signs MOU with Wadi Makkah, A Subsidiary of Umm Al-Qura University	Globe Newswire	12.73	0.576	0.0155	0.4085	0.5604	positive		NO:Trades/sec	NASDAQ	1.17	1.74				
KLTR	"[""KLTR""]"	nGNX67cTBS	2026-05-04 08:00:02	Kaltura Open-Sources Suite of AI Agent Skills, Enabling Any AI Agent to Build Intelligent Rich-Media Digital Experiences  	Globe Newswire	72.58	0.1791	0.0106	0.8103	0.1685	positive		NO:sentiment_score,Trades/sec	NASDAQ	1.52	7.04				
AGAE	"[""AGAE""]"	nGNXPRDxk	2026-05-04 08:00:02	Allied Gaming & Entertainment Announces Proposed Rebranding to “AI & FutureTech Alliance Limited (AIFA)” and Plans for Hainan Silicon Photonics AI Supercomputing Center, Supported by Convertible Notes Financing plan to Build a Global Optical Compute Network Platform	Globe Newswire	13.33	0.5948	0.0128	0.3924	0.582	positive		NO:Trades/sec	NASDAQ	0.76	31.03				
AKBA	"[""AKBA""]"	nGNX1KPYlV	2026-05-04 08:00:02	Akebia Therapeutics Announces Vadadustat Post-hoc Win Statistics Analysis Demonstrating Statistically Significant Reduction in Mortality and Hospitalization Composite Endpoint Published in the Journal of American Society of Nephrology	Globe Newswire	258.52	0.5589	0.3383	0.1028	0.2206	positive		NO:Trades/sec	NASDAQ	1.53	10.07				
KYTX	"[""KYTX""]"	nGNX87RtRp	2026-05-04 08:00:02	Kyverna Therapeutics Appoints Nadia Dac, Seasoned Commercial Leader in Neurology and Rare Disease, as Chief Commercial Officer	Globe Newswire	36.45	0.1569	0.02	0.8231	0.1369	positive		NO:sentiment_score,Trades/sec	NASDAQ	9.18	4.68				
FDMT	"[""FDMT""]"	nGNXb28Yp3	2026-05-04 08:00:02	4DMT to Participate in Upcoming Investor Conferences	Globe Newswire	45.5	0.2175	0.0147	0.7678	0.2028	positive	0.0006643046944198	YES	NASDAQ	9.55	5.06				
TRAD	"[""TRAD""]"	nWkr38ZRHV	2026-05-04 08:00:04	Tradedoubler buy-backs of own shares	Cision	11.56	0.1526	0.0542	0.7932	0.0984	positive		NO:sentiment_score,Trades/sec	Nasdaq Stockholm						
ACXP	"[""ACXP""]"	nPn7M37nGa	2026-05-04 08:00:05	Acurx Announces Scientific Poster Presentation of its DNA pol IIIC Inhibitors' Microbiome Evaluation at ESCMID Global 2026	PR Newswire	3.37	0.2025	0.0361	0.7614	0.1663	positive		NO:sentiment_score,Trades/sec	NASDAQ	2.24	1.82				
DOMH	"[""DOMH""]"	nPn2dmnH6a	2026-05-04 08:00:08	Dominari Holdings Announces Record Date for Cash Dividend	PR Newswire	4.02	0.2322	0.0979	0.6699	0.1344	positive		NO:sentiment_score,Trades/sec	NASDAQ	3.35	11.67				
VNDA	"[""VNDA""]"	nPnb6kJf2a	2026-05-04 08:00:11	Vanda Pharmaceuticals Announces U.S. Commercial Availability of NEREUS™ (tradipitant), the First New Pharmacologic Treatment for People with Motion Sickness in More Than 40 Years	PR Newswire	54.11	0.6282	0.0223	0.3495	0.6058	positive		NO:Trades/sec	NASDAQ	7.82	7.42				
UP	"[""UP""]"	nPn5YNnyYa	2026-05-04 08:00:12	Wheels Up Announces Date of First Quarter 2026 Earnings Release	PR Newswire	22.37	0.0469	0.0575	0.8956	-0.0106	neutral		NO:sentiment_score,Trades/sec	NYSE	5.6	0.0				
LOCL	"[""LOCL""]"	nPnbTXCL8a	2026-05-04 08:00:14	Local Bounti to Participate in the BMO Global Farm to Market Conference	PR Newswire	22.4	0.2764	0.0142	0.7094	0.2621	positive		NO:Trades/sec	NYSE	2.08	11.83				
RAIL	"[""RAIL""]"	nNFC86wxB5	2026-05-04 08:00:22	Railtown AI Technologies Announces Appointment of Industry Leader Saeed Otufat-Shamsi to Advisory Board	Newsfile Corp	12.57	0.1312	0.0354	0.8334	0.0958	positive		NO:sentiment_score,Trades/sec							
SKYQ	"[""SKYQ""]"	nACSJz7gca	2026-05-04 08:00:42	Sky Quarry's 180-Million-Barrel Oil Sands Asset Subject to RFP for Accelerated Commercialization	ACCESSWIRE	2.98	0.2817	0.0087	0.7096	0.273	positive		NO:Trades/sec	NASDAQ	7.48	25.93				
