Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger	DailyHigh($)	DailyHigh(%)
DMRC	"[""DMRC""]"	nACSSJcSva	2026-05-17 11:00:04	Bronstein, Gewirtz & Grossman, LLC Is Investigating Digimarc Corporation (DMRC) And Encourages Shareholders to Connect	ACCESSWIRE	16.8	NASDAQ	2026-05-17 11:00:04.840758	0.0964	0.0889	0.8147	0.0075	neutral	NO:sentiment_score	10.01	2.14
ARDT	"[""ARDT""]"	nACSt6nHza	2026-05-17 11:00:04	Bronstein, Gewirtz & Grossman, LLC Encourages Ardent Health, Inc. (ARDT) Shareholders to Inquire about Securities Investigation	ACCESSWIRE	22.42	NYSE	2026-05-17 11:00:05.001254	0.1669	0.0325	0.8006	0.1344	positive	NO:sentiment_score	10.4	2.97
VTGN	"[""VTGN""]"	nACSM7Kkna	2026-05-17 11:00:07	Bronstein, Gewirtz & Grossman, LLC Is Investigating Vistagen Therapeutics, Inc. (VTGN) And Encourages Shareholders to Connect	ACCESSWIRE	33.78	NASDAQ	2026-05-17 11:00:07.065133	0.1547	0.0536	0.7917	0.1011	positive	NO:sentiment_score	0.66	6.45
PMI	"[""PMI""]"	nACSn4yjDa	2026-05-17 11:00:07	Bronstein, Gewirtz & Grossman, LLC Is Investigating Picard Medical, Inc. (PMI) And Encourages Shareholders to Connect	ACCESSWIRE	24.95	NYSE AMERICAN	2026-05-17 11:00:07.534263	0.1452	0.1359	0.7189	0.0093	neutral	NO:sentiment_score	0.31	93.75
UHG	"[""UHG""]"	nACSvsY5Va	2026-05-17 11:00:12	UHG INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that United Homes Group, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	11.21	NASDAQ	2026-05-17 11:00:12.399727	0.1672	0.2298	0.6031	-0.0626	negative	NO:sentiment_score		
GEMI	"[""GEMI""]"	nNFCR6gr6	2026-05-17 12:00:13	Bronstein, Gewirtz & Grossman LLC Urges Gemini Space Station, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	38.2	NASDAQ	2026-05-17 12:00:13.380228	0.1485	0.2226	0.6289	-0.0741	negative	NO:sentiment_score	5.63	-0.18
PHR	"[""PHR""]"	nNFC3C8V7V	2026-05-17 12:00:13	Bronstein, Gewirtz & Grossman LLC Urges Phreesia, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	46.13	NYSE	2026-05-17 12:00:13.388050	0.1708	0.2267	0.6025	-0.0559	negative	NO:sentiment_score	9.22	4.18
PHR	"[""PHR""]"	nGNX63SVT5	2026-05-17 12:10:00	Bronstein, Gewirtz & Grossman LLC Urges Phreesia, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	46.13	NYSE	2026-05-17 12:10:00.124629	0.1708	0.2267	0.6025	-0.0559	negative	NO:sentiment_score	9.22	4.18
SINT	"[""SINT""]"	nNFCbPFKGt	2026-05-17 15:30:13	SINTX Technologies to Present at the LD Micro Invitational XVI Conference	Newsfile Corp	3.24	NASDAQ	2026-05-17 15:30:13.707077	0.1314	0.0233	0.8453	0.1082	positive	NO:sentiment_score	2.45	6.52
RCEL	"[""RCEL""]"	nGNX9FbbQN	2026-05-17 18:00:00	AVITA Medical to Host Investor Webinar Briefing	Globe Newswire	24.4	NASDAQ	2026-05-17 18:00:00.111617	0.15	0.0189	0.8311	0.131	positive	NO:sentiment_score	4.53	-0.66
