Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)
GPUS	"[""GPUS""]"	nPn8wGR3Ga	2026-05-06 06:00:04	Hyperscale Data to Expand Digital and Physical Asset Treasury with Planned Purchase of 2,000 Ounces of Gold	PR Newswire	411.68	0.3455	0.0087	0.6459	0.3368	positive	0.04242424242424243	NO:Float	NYSE American	0.13	0.0
HITI	"[""HITI""]"	nPnbV6hRDa	2026-05-06 06:00:07	High Tide Reports Record Quarterly Distribution of 7.6 Tonnes of Medical Cannabis Through Remexian Pharma GmbH, Accelerating German Market Leadership	PR Newswire	76.71	0.63	0.0387	0.3312	0.5913	positive	0.0032	YES	NASDAQ	2.54	6.72
VET	"[""VET""]"	nPn1bwbxXa	2026-05-06 06:00:09	Vermilion Energy Inc. Announces $0.135 CDN Cash Dividend for June 30, 2026 Payment Date	PR Newswire	151.2	0.1049	0.0314	0.8637	0.0735	positive	0.0011745705476435178	YES	NYSE	13.64	0.29
PMAX	"[""PMAX""]"	nNFC9W3rB0	2026-05-06 06:00:23	Powermax Minerals Announces Option to Acquire the Hopkins Rare Earths Project, located in the Clay Howell Complex, Northern Ontario	Newsfile Corp	0.47	0.2825	0.0269	0.6905	0.2556	positive	0.009144947416552356	YES			
TBLA	"[""TBLA""]"	nGNX54lbyL	2026-05-06 06:15:00	Taboola Reports Strong First Quarter 2026 Results Exceeding High-End of Guidance, Raises Full-Year Outlook Reflecting Accelerating Growth	Globe Newswire	116.78	0.9439	0.0205	0.0356	0.9234	positive	0.0015781167806417674	YES	NASDAQ	4.8	25.98
CMPS	"[""CMPS""]"	nBw87Hfs7a	2026-05-06 06:25:00	Compass Pathways Announces New Employee Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)	Business Wire	93.51	0.2265	0.0193	0.7542	0.2072	positive	0.000527245406374397	YES	NASDAQ	9.8	4.93
BESS	"[""BESS""]"	nGNX5km2q2	2026-05-06 06:30:00	Bimergen Energy Selects SMA as Inverter Supplier for 80 MW ERCOT BESS Portfolio	Globe Newswire	4.38	0.5068	0.0113	0.4819	0.4956	positive		NO:Trades/sec	NYSE American	2.59	12.61
AMZE	"[""AMZE""]"	nGNX7QwCVv	2026-05-06 06:30:00	Amaze Announces Partnership with All Media Solutions to Power Brand Supply for Amaze Live	Globe Newswire	34.3	0.6251	0.0088	0.3662	0.6163	positive	0.0024603272235207284	YES	NYSE American	0.17	30.77
EGAN	"[""EGAN""]"	nGNX69Yzkt	2026-05-06 06:30:00	eGain to Announce Fiscal 2026 Third Quarter Financial Results on May 14, 2026	Globe Newswire	17.65	0.0976	0.0478	0.8546	0.0498	neutral		NO:sentiment_score,Trades/sec	NASDAQ	8.11	0.75
BLMN	"[""BLMN""]"	nBw7gfmwWa	2026-05-06 06:30:00	Bloomin’ Brands Announces 2026 Q1 Financial Results	Business Wire	84.15	0.1902	0.1499	0.6599	0.0403	neutral		NO:sentiment_score,Trades/sec	NASDAQ	8.56	49.13
UTZ	"[""UTZ""]"	nBw8TSk4Sa	2026-05-06 06:30:01	Utz Brands Reports First Quarter 2026 Results and Reaffirms Full Year Guidance	Business Wire	71.92	0.1369	0.0425	0.8206	0.0945	positive	0.0005564830272676684	YES	NYSE	8.68	12.87
CMPS	"[""CMPS""]"	nBw9dRT9La	2026-05-06 06:30:00	Compass Pathways to Announce First Quarter 2026 Financial Results on May 13, 2026	Business Wire	93.51	0.1026	0.0469	0.8505	0.0557	positive		NO:Trades/sec	NASDAQ	9.8	4.93
PRGO	"[""PRGO""]"	nPn3DK5y3a	2026-05-06 06:30:01	Perrigo Reports First Quarter 2026 Financial Results From Continuing Operations	PR Newswire	137.13	0.2325	0.0751	0.6924	0.1575	positive		NO:Trades/sec	NYSE	12.58	8.08
L	"[""L""]"	nGNX5RG3rj	2026-05-06 06:30:01	Loblaw Reports First Quarter Revenue Growth of 4.2% and Adjusted Diluted Net Earnings Per Common Share Growth of 10.6%	Globe Newswire	167.23	0.3382	0.024	0.6378	0.3141	positive		NO:Trades/sec	TSX		
ADMA	"[""ADMA""]"	nGNX7QnLfn	2026-05-06 06:41:00	$ADMA Shareholder News: ADMA Biologics 29% Stock Drop Leads to Securities Fraud Investigation – BFA Law Encourages Investors with Losses to Act	Globe Newswire	224.61	0.07	0.8121	0.1179	-0.7422	negative	0.005261773217574322	NO:sentiment_score	NASDAQ	10.57	2.32
GRO	"[""GRO""]"	nGNXbZZlCl	2026-05-06 06:45:00	Brazil Potash Awards Front-End Engineering Design (FEED) Contract for Surface Facilities and Infrastructure to Wood and Promon Engenharia, Advancing Bankability of the Autazes Project	Globe Newswire	40.11	0.9231	0.0143	0.0625	0.9088	positive		NO:Trades/sec	NYSE American	2.93	0.69
RMAX	"[""RMAX""]"	nGNX6sPVGt	2026-05-06 06:46:00	$RMAX Shareholder News: RE/MAX Holdings Merger Announcement Leads to Board Investigation – BFA Law Encourages Current Shareholders to Act	Globe Newswire	15.32	0.2114	0.1241	0.6645	0.0873	positive	0.0021358393848782574	YES	NYSE	10.86	3.23
1M4	"[""SRAD"", ""1M4""]"	nGNXbJSr0Z	2026-05-06 06:46:00	$SRAD Shareholder News: Sportradar Group 22% Stock Drop Leads to Securities Fraud Investigation – BFA Law Encourages Investors with Losses to Act	Globe Newswire		0.1042	0.7231	0.1727	-0.6189	negative		NO:sentiment_score,Float,Trades/sec	NASDAQ		
SRAD	"[""SRAD"", ""1M4""]"	nGNXbJSr0Z	2026-05-06 06:46:00	$SRAD Shareholder News: Sportradar Group 22% Stock Drop Leads to Securities Fraud Investigation – BFA Law Encourages Investors with Losses to Act	Globe Newswire	185.52	0.1042	0.7231	0.1727	-0.6189	negative		NO:sentiment_score,Trades/sec	NASDAQ	14.1	4.83
SMPL	"[""SMPL""]"	nGNX71Gvg5	2026-05-06 06:46:00	$SMPL Shareholder News: Simply Good Foods 18% Stock Drop Leads to Securities Fraud Investigation – BFA Law Encourages Investors with Losses to Act	Globe Newswire	82.06	0.2559	0.4279	0.3162	-0.1719	negative		NO:sentiment_score,Trades/sec	NASDAQ	12.99	1.64
FSK	"[""FSK""]"	nGNX2TKfhC	2026-05-06 06:47:00	$FSK Shareholder News: FS KKR Capital 15% Stock Drop Leads to Securities Fraud Class Action – BFA Law Alerts Investors of Imminent June 8 Legal Deadline	Globe Newswire	279.32	0.1103	0.7671	0.1226	-0.6567	negative	0.003771551724137931	NO:sentiment_score	NYSE	11.6	0.26
PBDA	"[""PLX"", ""PBDA""]"	nPnc2t3gha	2026-05-06 06:50:00	Protalix BioTherapeutics to Announce First Quarter 2026 Financial Results and Business Update on May 13, 2026	PR Newswire		0.0812	0.0404	0.8784	0.0409	neutral		NO:sentiment_score,Float,Trades/sec	NYSE American		
M000	"[""EVTL"", ""M000""]"	nBwbjDQf6a	2026-05-06 06:50:00	Vertical Aerospace Provides First Quarter Update, Achieves Key Execution Milestones and Advances Toward Certification	Business Wire		0.8624	0.0114	0.1261	0.851	positive		NO:Float,Trades/sec	NYSE		
EVTL	"[""EVTL"", ""M000""]"	nBwbjDQf6a	2026-05-06 06:50:00	Vertical Aerospace Provides First Quarter Update, Achieves Key Execution Milestones and Advances Toward Certification	Business Wire	121.04	0.8624	0.0114	0.1261	0.851	positive	0.0035109143642192034	YES	NYSE	2.8	15.23
PLX	"[""PLX"", ""PBDA""]"	nPnc2t3gha	2026-05-06 06:50:00	Protalix BioTherapeutics to Announce First Quarter 2026 Financial Results and Business Update on May 13, 2026	PR Newswire	72.08	0.0812	0.0404	0.8784	0.0409	neutral	0.0006265664160401002	NO:sentiment_score	NYSE American	2.07	4.55
WBX	"[""WBX"", ""67E0""]"	nBwjDRKwa	2026-05-06 06:50:00	Wallbox Announces First Quarter 2026 Financial Results	Business Wire	4.84	0.09	0.1144	0.7955	-0.0244	neutral		NO:sentiment_score,Trades/sec	NYSE	3.11	7.24
67E0	"[""WBX"", ""67E0""]"	nBwjDRKwa	2026-05-06 06:50:00	Wallbox Announces First Quarter 2026 Financial Results	Business Wire		0.09	0.1144	0.7955	-0.0244	neutral		NO:sentiment_score,Float,Trades/sec	NYSE		
SRFM	"[""SRFM""]"	nBw6HQ504a	2026-05-06 06:55:00	Surf Air Mobility Announces Details of SurfOS Commercial Launch Plan	Business Wire	70.09	0.0822	0.0321	0.8857	0.0501	positive	0.0273972602739726	YES	NYSE	1.39	28.7
HGTY	"[""HGTY""]"	nPn7dTnqla	2026-05-06 06:55:00	Hagerty Reports First Quarter 2026 Results; Reaffirms 2026 Growth Outlook	PR Newswire	97.03	0.8992	0.0232	0.0776	0.876	positive		NO:Trades/sec	NYSE	10.55	2.53
KLAR	"[""KLAR""]"	nBw7TpX0Za	2026-05-06 06:56:00	From Checkout to Check-In: Klarna and Minor Hotels Bring Flexible Payments to Europe	Business Wire	143.94	0.1991	0.0109	0.79	0.1882	positive	0.01555104800540906	YES	NYSE	14.65	2.73
OFIX	"[""OFIX""]"	nBwbGNpWza	2026-05-06 07:00:00	Orthofix Expands Pediatric Limb Reconstruction Portfolio with New FITBONE™ Innovation at POSNA 2026 Annual Meeting	Business Wire	38.93	0.5834	0.0119	0.4047	0.5715	positive		NO:Trades/sec	NASDAQ	12.59	1.21
AQST	"[""AQST""]"	nGNXhWWHZ	2026-05-06 07:00:00	Aquestive Therapeutics to Report First Quarter 2026 Financial Results and Recent Business Highlights on May 13 and Host Conference Call on May 14 at 8:00 a.m. ET	Globe Newswire	114.86	0.0517	0.0239	0.9243	0.0278	neutral		NO:sentiment_score,Trades/sec	NASDAQ	4.33	3.59
AVXL	"[""AVXL""]"	nGNXch4qDH	2026-05-06 07:00:00	Anavex Life Sciences Board of Directors Appoints Former Senior Vice President of Clinical Development Terrie Kellmeyer, PhD, as Interim Chief Executive Officer	Globe Newswire	89.78	0.0529	0.2551	0.692	-0.2022	negative	0.0007681966583445362	NO:sentiment_score	NASDAQ	3.5	4.48
PSBD	"[""PSBD""]"	nBw3yScJZa	2026-05-06 07:00:00	Palmer Square Capital BDC Inc. Announces First Quarter 2026 Financial Results	Business Wire	21.48	0.0843	0.1399	0.7758	-0.0555	negative		NO:sentiment_score,Trades/sec	NYSE	11.35	1.79
TNXP	"[""TNXP""]"	nGNXbv7f8V	2026-05-06 07:00:00	Tonix Pharmaceuticals Secures Commercial Payer Coverage for TONMYA®, Providing Access for ~35 Million U.S. Patients	Globe Newswire	14.17	0.6677	0.0166	0.3157	0.6512	positive	0.01607717041800643	YES	NASDAQ	15.18	12.95
KMDA	"[""KMDA""]"	nGNX1KHPWl	2026-05-06 07:00:00	Kamada to Announce First Quarter 2026 Financial Results on May 13, 2026	Globe Newswire	31.25	0.0963	0.06	0.8437	0.0362	neutral	0.007524454477050414	NO:sentiment_score			
SLND	"[""SLND""]"	nBw9bvypTa	2026-05-06 07:00:00	Southland Schedules First Quarter 2026 Conference Call	Business Wire	12.5	0.0702	0.0843	0.8455	-0.0142	neutral		NO:sentiment_score,Trades/sec	NYSE American	1.06	-0.93
NIQ	"[""NIQ""]"	nBw9ygWSha	2026-05-06 07:00:00	NIQ Brandbank and RangeMe Advance Wellness Product Discovery	Business Wire	68.86	0.1026	0.025	0.8724	0.0777	positive		NO:Trades/sec	NYSE	10.66	-0.56
TCRX	"[""TCRX""]"	nGNX2P0svM	2026-05-06 07:00:00	TScan Therapeutics Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	47.65	0.0829	0.0333	0.8838	0.0495	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.34	9.84
SES	"[""SES""]"	nACS3y1nga	2026-05-06 07:00:00	Pomerantz LLP Advises Shareholders of Class Action Against SES AI Corporation  – SES	ACCESSWIRE	236.25	0.1859	0.1971	0.6171	-0.0112	neutral		NO:sentiment_score,Trades/sec	NYSE	0.99	1.02
KVHI	"[""KVHI""]"	nGNX4cdVKZ	2026-05-06 07:00:01	KVH Industries Reports First Quarter 2026 Results	Globe Newswire	11.31	0.077	0.0687	0.8543	0.0082	neutral		NO:sentiment_score,Trades/sec	NASDAQ	11.1	17.71
TIC	"[""TIC""]"	nBw8rP8BBa	2026-05-06 07:00:01	TIC Solutions Reports Results for the First Quarter 2026	Business Wire	108.09	0.0861	0.0633	0.8505	0.0228	neutral		NO:sentiment_score,Trades/sec	NYSE	10.5	8.47
PESI	"[""PESI""]"	nGNXbD6BDc	2026-05-06 07:00:01	Perma-Fix Reports First Quarter 2026 Results and Strategic Outlook	Globe Newswire	17.15	0.1032	0.0432	0.8536	0.06	positive		NO:Trades/sec	NASDAQ	12.79	-1.08
FCHL	"[""FCHL""]"	nACSTtqpVa	2026-05-06 07:00:01	FCHL INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Investors with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	0.1438	0.1988	0.6574	-0.055	negative		NO:sentiment_score,Trades/sec	NASDAQ	2.86	8.75
HYPD	"[""HYPD""]"	nGNXGz0Qm	2026-05-06 07:00:01	Hyperion DeFi Announces Pricing of Public Offering of Common Stock	Globe Newswire	6.89	0.1716	0.0473	0.7811	0.1243	positive		NO:Trades/sec	NASDAQ	4.36	3.81
ICG	"[""ICG""]"	nGNX3B2q33	2026-05-06 07:00:01	Intchains Group Limited Announces Transition to Semi-Annual Financial Reporting	Globe Newswire	29.4089	0.1291	0.0544	0.8165	0.0747	positive		NO:Trades/sec	NASDAQ	1.34	6.35
SII	"[""SII""]"	nGNX9V7TRD	2026-05-06 07:00:01	Sprott Announces First Quarter 2026 Results	Globe Newswire	21.49	0.0503	0.0418	0.9078	0.0085	neutral		NO:sentiment_score,Trades/sec	TSX		
MASS	"[""MASS""]"	nBwc9XcXda	2026-05-06 07:00:01	908 Devices Acquires NIRLAB AG, Expanding Its Narcotics Detection Portfolio	Business Wire	27.86	0.6714	0.0112	0.3173	0.6602	positive	0.0018726591760299626	YES	NASDAQ	8.2	15.66
USEG	"[""USEG""]"	nGNX1RMFkJ	2026-05-06 07:00:01	U.S. Energy Corp. Selected to Participate in the Inaugural Emerging Company Pavilion at the 31st Annual Sohn Investment Conference on May 12, 2026	Globe Newswire	35.97	0.223	0.0132	0.7638	0.2098	positive		NO:Trades/sec	NASDAQ	1.12	4.67
CHOW	"[""CHOW""]"	nACSVdNP7a	2026-05-06 07:00:01	CHOW Investors Have Opportunity to Lead ChowChow Cloud International Holdings Ltd. Class Action Lawsuit – Contact Bronstein, Gewirtz and Grossman, LLC Today!	ACCESSWIRE	10.64	0.1867	0.0662	0.7472	0.1205	positive		NO:Trades/sec	NYSE American	0.43	0.0
EYPT	"[""EYPT""]"	nGNX5J5mmp	2026-05-06 07:00:01	EyePoint Reports First Quarter 2026 Financial Results and Highlights Recent Corporate Developments	Globe Newswire	73.28	0.1018	0.0315	0.8668	0.0703	positive		NO:Trades/sec	NASDAQ	14.22	2.3
YOOV	"[""YOOV""]"	nACSY70xXa	2026-05-06 07:00:01	CIGL SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Concorde International Group, Ltd. Stockholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	5.91	0.2	0.1968	0.6032	0.0033	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.49	1.36
VITL	"[""VITL""]"	nACSj30GWa	2026-05-06 07:00:02	Pomerantz LLP Issues Important Reminder to Investors in Vital Farms, Inc.  of Class Action – VITL	ACCESSWIRE	36.68	0.2728	0.0376	0.6896	0.2352	positive		NO:Trades/sec	NASDAQ	13.43	4.92
ALDX	"[""ALDX""]"	nACSXhDhZa	2026-05-06 07:00:01	Pomerantz LLP Issues Alert Regarding Shareholder Class Action Against Aldeyra Therapeutics, Inc.  – ALDX	ACCESSWIRE	55.6	0.1088	0.2591	0.6322	-0.1503	negative		NO:sentiment_score,Trades/sec	NASDAQ	1.86	8.14
SRTA	"[""SRTA""]"	nGNX9j0Q6c	2026-05-06 07:00:02	Strata Critical Medical Announces First Quarter 2026 Results	Globe Newswire	65.33	0.0976	0.0678	0.8346	0.0298	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.66	19.16
BW	"[""BW""]"	nACSYSKMba	2026-05-06 07:00:02	Pomerantz LLP Moves to File Class Action Lawsuit Against Babcock & Wilcox Enterprises, Inc.  – BW	ACCESSWIRE	130.21	0.1583	0.2738	0.568	-0.1155	negative		NO:sentiment_score,Trades/sec	NYSE	16.08	3.74
CWH	"[""CWH""]"	nACSHNV2Ka	2026-05-06 07:00:02	CWH SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Camping World Holdings, Inc. Stockholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	58.96	0.1653	0.2264	0.6083	-0.0612	negative		NO:sentiment_score,Trades/sec	NYSE	8.11	8.71
EPRX	"[""EPRX""]"	nGNXc268Z3	2026-05-06 07:00:02	Eupraxia Pharmaceuticals’ First Release of EoEHSS Sub Scores Data from its Ongoing Phase 1b/2a RESOLVE Trial in Eosinophilic Esophagitis at Digestive Disease Week	Globe Newswire	49.53	0.1571	0.0265	0.8164	0.1306	positive		NO:Trades/sec	NASDAQ	7.65	5.23
UHG	"[""UHG""]"	nACSjZW6ga	2026-05-06 07:00:03	Pomerantz LLP Issues Reminder to United Homes Group, Inc.  Shareholders – UHG	ACCESSWIRE	11.21	0.0937	0.0375	0.8688	0.0562	positive		NO:Trades/sec	NASDAQ		
DRVN	"[""DRVN""]"	nACSKtnPBa	2026-05-06 07:00:03	DRVN INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Reminds Stockholders of Driven Brands Holdings Inc. to Contact the Firm Today!	ACCESSWIRE	58.87	0.1615	0.0471	0.7914	0.1145	positive		NO:Trades/sec	NASDAQ	14.07	1.22
RLMD	"[""RLMD""]"	nGNX8S3V4R	2026-05-06 07:00:03	Relmada Therapeutics to Report First Quarter 2026 Financial Results on Tuesday, May 12, 2026	Globe Newswire	92.04	0.0902	0.0548	0.855	0.0353	neutral		NO:sentiment_score,Trades/sec	NASDAQ	8.0	8.84
TPST	"[""TPST""]"	nGNX6MGmTG	2026-05-06 07:00:03	Tempest Presents Clinical Update at ISCT 2026 Annual Meeting	Globe Newswire	8.13	0.1239	0.0307	0.8454	0.0933	positive		NO:Trades/sec	NASDAQ	2.25	4.65
BCRX	"[""BCRX""]"	nGNX11XrgW	2026-05-06 07:00:04	BioCryst Reports First Quarter 2026 Financial Results and Provides Business Update	Globe Newswire	226.41	0.0557	0.0298	0.9144	0.0259	neutral		NO:sentiment_score,Trades/sec	NASDAQ	9.49	5.44
GEMI	"[""GEMI""]"	nACSTdRrJa	2026-05-06 07:00:04	Class Action Litigation Filed by Pomerantz LLP Against Gemini Space Station, Inc.  – GEMI	ACCESSWIRE	38.2	0.1218	0.1502	0.728	-0.0285	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.05	5.21
NUAI	"[""NUAI""]"	nACSW6lsja	2026-05-06 07:00:05	NUAI INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that New Era Energy & Digital, Inc. (f/k/a New Era Helium Inc.) Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	73.85	0.2902	0.162	0.5478	0.1282	positive		NO:Trades/sec	NASDAQ	5.08	23.6
ATRA	"[""ATRA""]"	nACSF63qsa	2026-05-06 07:00:06	ATRA SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Stockholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	0.196	0.173	0.6311	0.023	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.26	10.5
POET	"[""POET""]"	nACSYC6vha	2026-05-06 07:00:07	Pomerantz LLP Advises Shareholders of Class Action Against POET Technologies Inc.  – POET	ACCESSWIRE	90.52	0.1167	0.1042	0.779	0.0125	neutral		NO:sentiment_score,Trades/sec	NASDAQ	10.95	15.38
INMD	"[""INMD""]"	nPnCGDGwa	2026-05-06 07:00:08	InMode Reports First Quarter 2026 Financial Results: Quarterly GAAP Revenue of $82 Million, Represents 5% Year-Over-Year Increase	PR Newswire	55.07	0.6553	0.0297	0.315	0.6256	positive		NO:Trades/sec	NASDAQ	14.37	-0.55
KD	"[""KD""]"	nPn6qD83Fa	2026-05-06 07:00:07	KYNDRYL REPORTS FOURTH QUARTER AND FULL-YEAR 2026 RESULTS	PR Newswire	220.5	0.0783	0.0295	0.8922	0.0488	neutral		NO:sentiment_score,Trades/sec	NYSE	14.99	2.25
6B6	"[""MNDY"", ""6B6""]"	nACSGbk27a	2026-05-06 07:00:11	Class Action Lawsuit Reminder from Pomerantz LLP for Shareholders of monday.com Ltd.  – MNDY	ACCESSWIRE		0.2005	0.1466	0.6529	0.0539	positive		NO:Float,Trades/sec	NYSE		
MNDY	"[""MNDY"", ""6B6""]"	nACSGbk27a	2026-05-06 07:00:11	Class Action Lawsuit Reminder from Pomerantz LLP for Shareholders of monday.com Ltd.  – MNDY	ACCESSWIRE	41.34	0.2005	0.1466	0.6529	0.0539	positive		NO:Trades/sec	NYSE	77.49	1.48
RAC	"[""RAC""]"	nPn8KYpc9a	2026-05-06 07:00:08	(E,E)-bisantrene Discovered to Function via Silencing of c-MYC Expression	PR Newswire	23.0	0.6304	0.0176	0.352	0.6128	positive		NO:Trades/sec	ASX		
GOSS	"[""GOSS""]"	nACS5bZc9a	2026-05-06 07:00:10	Pomerantz LLP Issues Important Reminder to Gossamer Bio, Inc.  Investors – GOSS	ACCESSWIRE	204.1	0.1916	0.0232	0.7852	0.1684	positive		NO:Trades/sec	NASDAQ	0.36	5.88
GO	"[""GO""]"	nACSrntBKa	2026-05-06 07:00:11	Pomerantz LLP Shares Class Action Details With Shareholders in Grocery Outlet Holding Corp.  – GO	ACCESSWIRE	90.72	0.1293	0.1072	0.7635	0.022	neutral		NO:sentiment_score,Trades/sec	NASDAQ	8.09	2.66
INTR	"[""INTR""]"	nNFC6BnCkf	2026-05-06 07:00:18	Intrepid Metals Extends Tombstone South Option Agreement	Newsfile Corp	240.42	0.3172	0.0315	0.6513	0.2856	positive		NO:Trades/sec			
