Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	LastDailyClose	itiBaseline	tradeSizeBaseline	Sentiment	ClerkArm	ClerkSentiment	Created	ArrivalDate	CurlTime	MktCap	DailyHigh($)	DailyHigh(%)	Headline-RBscore
PSTV	"[""PSTV""]"	nGNX1VnYTj	2026-05-19 07:30:00	Plus Therapeutics Partners with Ephemeral Technologies to Deploy AI Execution Platform for CNS Oncology	Globe Newswire	6.82	NASDAQ	2026-05-19 07:30:00.667803	0.5027	0.0101	0.4872	0.4926	positive	NO:sentiment_score	0.384	0.4853	0.2776	0.8063	0.4469												6.25	6.84	72
ELTK	"[""ELTK""]"	nPn1H6tlQa	2026-05-19 07:30:00	Eltek Ltd. Reports 2026 First Quarter Financial Results	PR Newswire	2.76	NASDAQ	2026-05-19 07:30:00.767090	0.123	0.119	0.758	0.004	neutral	NO:sentiment_score	-0.0914	-0.1524	-0.0294	0.886	-0.132												8.08	-0.12	50
LTRN	"[""LTRN""]"	nBwkdPPla	2026-05-19 07:30:00	Lantern Pharma Announces Successful Outcome of FDA Type C Meeting Request for HARMONIC™ Phase 2 Trial of LP-300 in Never-Smokers with NSCLC	Business Wire	8.28	NASDAQ	2026-05-19 07:30:00.774185	0.783	0.0272	0.1898	0.7558	positive	YES	0.3172	0.3824	0.2646	0.8034	0.3175												3.2	10.34	66
RILY	"[""RILY""]"	nPn4XNXF2a	2026-05-19 07:32:00	B. Riley Securities Expands Executive Leadership Team with Return of Industry Leaders Patrice McNicoll and Matt Feinberg	PR Newswire	23.59	NASDAQ	2026-05-19 07:32:00.083022	0.7022	0.0208	0.277	0.6814	positive	NO:sentiment_score	0.4987	0.6257	0.3836	0.8281	0.4223												9.78	3.49	40
SYPR	"[""SYPR""]"	nBw5mgCFZa	2026-05-19 07:45:00	Sypris Reports First Quarter Results	Business Wire	12.3	NASDAQ	2026-05-19 07:45:00.198333	0.1131	0.0516	0.8353	0.0616	positive	NO:sentiment_score	0.1258	0.1252	0.0965	0.9118	0.3581												2.8	0.36	50
TRAK	"[""TRAK""]"	nBw7cMBD8a	2026-05-19 07:59:00	Snack Food Suppliers Join the ReposiTrak Traceability Network® Queue	Business Wire	12.14	NYSE	2026-05-19 07:59:00.248227	0.1671	0.011	0.8219	0.156	positive	NO:sentiment_score	0.2766	0.3546	0.1776	0.7614	0.2992												10.19	3.45	50
ONCO	"[""ONCO""]"	nGNX2dJr7Y	2026-05-19 08:00:00	Onconetix, Inc. Announces 1-for-10 Reverse Stock Split	Globe Newswire	0.58	NASDAQ	2026-05-19 08:00:00.293606	0.1135	0.0968	0.7897	0.0166	neutral	NO:sentiment_score	0.1213	0.1223	0.0593	0.2923	0.0761												4.76	25.93	50
MG	"[""MG""]"	nGNXc3xGgw	2026-05-19 08:00:00	Magna Awarded Driver and Occupant Monitoring System Program With European OEM	Globe Newswire	17.7	TSX	2026-05-19 08:00:00.439044	0.5359	0.0164	0.4477	0.5195	positive	NO:sentiment_score	0.4511	0.5446	0.3675	0.8022	0.4746														50
BBLG	"[""BBLG""]"	nGNE2JsfFl	2026-05-19 08:00:00	Bone Biologics Achieves 29-Month Validated Shelf Life for rhNELL-1	Globe Newswire	1.79	NASDAQ	2026-05-19 08:00:00.541316	0.87	0.0131	0.1169	0.8569	positive	YES	0.4748	0.588	0.4065	0.8621	0.5092												1.33	6.4	50
INM	"[""INM""]"	nPn29Ny5Ha	2026-05-19 08:00:00	InMed Pharmaceuticals & Mentari Therapeutics Announce Merger to Advance Migraine Prevention Therapies	PR Newswire	3.31	NASDAQ	2026-05-19 08:00:00.734547	0.3459	0.0213	0.6328	0.3246	positive	NO:sentiment_score	0.3915	0.4318	0.1858	0.869	0.3898												2.09	207.35	50
GVH	"[""GVH""]"	nGNE6X7yGq	2026-05-19 08:00:00	Globavend Welcomes Pictureworks CEO to Lead Its AI-Driven Entertainment Business	Globe Newswire	2.06	NASDAQ	2026-05-19 08:00:00.741644	0.2248	0.013	0.7622	0.2118	positive	NO:sentiment_score	0.2839	0.4153	0.2106	0.7852	0.3052												4.77	16.91	58
QUCY	"[""QUCY"", ""4TO""]"	nGNX5bbwPM	2026-05-19 08:00:00	Quantum Cyber Files Non-Provisional Patent Application With the USPTO for EMP-Shielding 3D-Printable Composite Filament for Drone and Defense Electronics	Globe Newswire	10.66	NASDAQ	2026-05-19 08:00:00.938862	0.2584	0.0131	0.7285	0.2453	positive	NO:sentiment_score	0.1723	0.2476	0.1187	0.7127	0.1273												3.67	16.51	50
ENVB	"[""ENVB""]"	nBwb1jCVja	2026-05-19 08:00:00	Enveric Biosciences Reports Positive Preclinical Results from Phototoxicity Analysis for Lead Neuroplastogen Candidate EB-003	Business Wire	1.62	NASDAQ	2026-05-19 08:00:00.941243	0.8902	0.0258	0.084	0.8644	positive	YES	0.3915	0.4601	0.2301	0.8334	0.3264												2.81	27.73	58
WSHP	"[""WSHP"", ""HRIP""]"	nGNX8SJGxl	2026-05-19 08:00:01	WeShop Founder John Garner to Present at TD Cowen Future of the Consumer Conference	Globe Newswire	1.34	NASDAQ	2026-05-19 08:00:01.485110	0.0965	0.0382	0.8653	0.0583	positive	NO:sentiment_score	0.1871	0.1952	0.1296	0.3339	0.1233												6.88	1.47	50
BCDA	"[""BCDA""]"	nGNX106Ljf	2026-05-19 08:00:01	BioCardia to Participate in a Fireside Chat at the Alliance Global Partners (A.G.P) Healthcare Company Showcase	Globe Newswire	4.92	NASDAQ	2026-05-19 08:00:01.490360	0.1421	0.0362	0.8217	0.1059	positive	NO:sentiment_score	0.2099	0.1762	0.1121	0.2365	0.131												0.96	5.49	58
OTH	"[""OTH""]"	nACSQsCBSa	2026-05-19 08:00:01	"Off The Hook YS To Rebrand as NextBoat and Change Ticker Symbol to ""NXB"""	ACCESSWIRE	3.45	NYSE AMERICAN	2026-05-19 08:00:01.678059	0.1555	0.0226	0.8219	0.1328	positive	NO:sentiment_score	0.3819	0.4413	0.2299	0.766	0.2483														50
PDCC	"[""PDCC""]"	nPnbJfjvBa	2026-05-19 08:00:01	Pearl Diver Credit Company Inc. Announces First Quarter 2026 Financial Results	PR Newswire	2.54	NYSE	2026-05-19 08:00:01.717765	0.1158	0.1523	0.7319	-0.0365	neutral	NO:sentiment_score	0.1197	0.12	0.085	0.8534	0.1913												11.05	-4.66	50
CHPT	"[""CHPT""]"	nBw51wWvpa	2026-05-19 08:00:01	ChargePoint and OBE Power to Deploy Thousands of EV Chargers at Multifamily Residences Across North America	Business Wire	21.75	NYSE	2026-05-19 08:00:01.721058	0.3655	0.0098	0.6247	0.3557	positive	NO:sentiment_score	0.4461	0.4963	0.2951	0.7903	0.3683												6.37	0.95	50
BDTX	"[""BDTX""]"	nGNX1pdP39	2026-05-19 08:00:02	Black Diamond Therapeutics to Host Webcast for Investors Highlighting Updated Results from Phase 2 Trial of Silevertinib in 1L EGFRm NSCLC	Globe Newswire	45.05	NASDAQ	2026-05-19 08:00:02.176547	0.1819	0.0157	0.8023	0.1662	positive	NO:sentiment_score	0.3498	0.309	0.1667	0.3498	0.163												3.02	16.6	58
IINN	"[""IINN""]"	nGNX3RSFr4	2026-05-19 08:00:02	"Inspira Technologies to Begin Trading as QTREX Quantum Under Nasdaq Ticker ""QTEX"" on May 20, 2026, Following Strategic Focus on AME and Quantum Connectivity"	Globe Newswire	41.9	NASDAQ	2026-05-19 08:00:02.227833	0.1858	0.0199	0.7944	0.1659	positive	NO:sentiment_score	0.1556	0.1353	0.072	0.3931	0.0841														58
EIC	"[""EIC""]"	nBw6QkYfPa	2026-05-19 08:00:02	Eagle Point Income Company Inc. Announces First Quarter 2026 Financial Results	Business Wire	19.18	NYSE	2026-05-19 08:00:02.493857	0.1018	0.1294	0.7687	-0.0276	neutral	NO:sentiment_score	0.1154	0.1276	0.0804	0.8542	0.145												10.75	0.56	50
GLND	"[""GLND""]"	nGNX2bZsMT	2026-05-19 08:00:03	IBN Announces Latest Episode of The MiningNewsWire Podcast featuring Robert Price, CEO of Greenland Energy Company	Globe Newswire	9.32	NASDAQ	2026-05-19 08:00:03.493944	0.1113	0.0615	0.8272	0.0498	neutral	NO:sentiment_score	0.2384	0.2832	0.1882	0.6934	0.1953												2.91	0.69	50
TONX	"[""TONX""]"	nGNXbQd7NR	2026-05-19 08:00:03	TON Strategy Company Highlights Launch of Acton Developer Toolchain for the TON Ecosystem	Globe Newswire	40.74	NASDAQ	2026-05-19 08:00:03.962568	0.2146	0.0147	0.7706	0.1999	positive	NO:sentiment_score	0.3646	0.4569	0.2973	0.7164	0.3565												3.59	6.53	58
IRHO	"[""IRHO""]"	nGNXGTg4	2026-05-19 08:00:03	D-Orbit and ELECTRA AI Sign MoU to Bring AI Battery Intelligence to Space	Globe Newswire	23.57	NASDAQ	2026-05-19 08:00:03.967940	0.4346	0.0097	0.5558	0.4249	positive	NO:sentiment_score	0.215	0.2363	0.1212	0.6509	0.1295												10.02	0.4	76
LFWD	"[""LFWD"", ""2RW""]"	nGNX78zTrK	2026-05-19 08:00:03	Lifeward Appoints Dr. Keith D. Rose as Chief Medical Officer to Support Expansion of Neurorehabilitation Portfolio and Advance Biomed Platform	Globe Newswire	1.48	NASDAQ	2026-05-19 08:00:03.971752	0.253	0.0112	0.7358	0.2417	positive	NO:sentiment_score	0.3098	0.4036	0.2077	0.7605	0.2602												6.42	-2.43	56
ARTV	"[""ARTV""]"	nGNXXLxJW	2026-05-19 08:00:04	Artiva Biotherapeutics Appoints Veteran Biotech Executive and Drug Developer Diego Miralles, M.D., as President and Head of Research and Development	Globe Newswire	12.15	NASDAQ	2026-05-19 08:00:04.484059	0.1169	0.0346	0.8485	0.0824	positive	NO:sentiment_score	0.3557	0.4403	0.2464	0.7868	0.3981												9.47	2.82	50
FRMM	"[""FRMM""]"	nPnb46PCfa	2026-05-19 08:00:06	Forum to Present at Benchmark's Digital Assets Summit on May 27	PR Newswire	9.12	NASDAQ	2026-05-19 08:00:06.698354	0.1255	0.0205	0.854	0.105	positive	NO:sentiment_score	0.191	0.2003	0.1197	0.2659	0.1249												4.26	17.68	50
LPCN	"[""LPCN""]"	nPn5PDwj9a	2026-05-19 08:00:16	Lipocine Announces LPCN 1154 Phase 3 Data Accepted for Oral Presentation at 2026 ASCP Annual Meeting	PR Newswire	6.93	NASDAQ	2026-05-19 08:00:16.352309	0.1423	0.0266	0.8311	0.1158	positive	NO:sentiment_score	0.3378	0.4312	0.208	0.7479	0.1867												2.37	3.95	63
NINE	"[""NINE""]"	nNFC1P4Sr1	2026-05-19 08:00:19	Nine Mile Metals Announces Drill Rig Mobilization for the Wedge 10,000m Drill Program and Targets New High Grade Copper Zone	Newsfile Corp	42.88		2026-05-19 08:00:19.782088	0.1241	0.0242	0.8517	0.0999	positive	NO:sentiment_score	0.1069	0.1692	0.0978	0.7393	0.2235														50
TTRX	"[""TTRX""]"	nBw5Hl87Pa	2026-05-19 08:01:00	Turn Therapeutics to Present at Jefferies Global Healthcare Conference 2026	Business Wire	10.57	NASDAQ	2026-05-19 08:01:00.128611	0.128	0.0283	0.8437	0.0996	positive	NO:sentiment_score	0.2886	0.2706	0.1561	0.3715	0.1624												4.91	0.2	50
AIM	"[""AIM""]"	nGNX24BsNm	2026-05-19 08:02:00	AIM ImmunoTech Announces Significant Increase in Stockholder Equity and Extension of Promissory Note Maturity Date to June 2027, Enhancing Financial Flexibility and Supporting Strategic Clinical Priorities	Globe Newswire	7.66	NYSE AMERICAN	2026-05-19 08:02:00.196949	0.9273	0.0126	0.0602	0.9147	positive	YES	0.3075	0.4251	0.2172	0.8467	0.4184												0.43	30.3	58
FLNT	"[""FLNT""]"	nGNX69pd3m	2026-05-19 08:03:00	Fluent, Inc. Selected as Commerce Media Partner for BackpackSM Media by Sallie	Globe Newswire	15.09	NASDAQ	2026-05-19 08:03:00.186088	0.2408	0.0115	0.7476	0.2293	positive	NO:sentiment_score	0.4598	0.4894	0.2781	0.7525	0.3512												2.88	3.23	58
ZENA	"[""ZENA""]"	nGNXbjDDjK	2026-05-19 08:15:00	ZenaTech Advances Three ZenaDrone Defense Platforms Through Blue UAS Certification Pathway	Globe Newswire	18.44	NASDAQ	2026-05-19 08:15:00.208967	0.5903	0.0095	0.4002	0.5808	positive	NO:sentiment_score	0.2933	0.375	0.2165	0.7916	0.3464												1.41	0.71	56
OPTX	"[""OPTX""]"	nGNXbJ0yKf	2026-05-19 08:15:00	Syntec Optics (Nasdaq: OPTX) Makes Deep Tech Deliveries for Next Gen Defense, Space, and Hyperscale AI	Globe Newswire	6.23	NASDAQ	2026-05-19 08:15:00.315529	0.0916	0.0172	0.8911	0.0744	positive	NO:sentiment_score	0.3063	0.3973	0.2625	0.7771	0.3885												7.93	20.15	58
HOTH	"[""HOTH""]"	nPnbWNl6Da	2026-05-19 08:17:00	AI Chip Energy Efficiency: Hoth Therapeutics Restructures as Rocket One Inc. to Enter the AI Semiconductor Infrastructure Market with Acquisition of Exclusive Rights to Next Generation AI Semiconductor Acceleration Technology Built on Non-Volatile Nanomagnetic Semiconductor Architecture	PR Newswire	18.48	NASDAQ	2026-05-19 08:17:00.343335	0.2598	0.0137	0.7266	0.2461	positive	NO:sentiment_score	0.3125	0.3889	0.2233	0.7762	0.2409														78
IHT	"[""IHT""]"	nGNXbHFXQq	2026-05-19 08:27:00	IHT REVENUES STABLE; FURTHER DIVERSIFICATION EXPLORED	Globe Newswire	2.77	NYSE AMERICAN	2026-05-19 08:27:00.205820	0.898	0.015	0.087	0.8829	positive	YES	0.3742	0.454	0.3004	0.8813	0.3613												1.45	16.0	58
EOLS	"[""EOLS""]"	nBw6nj5Y8a	2026-05-19 08:30:00	Evolus to Participate in The Jefferies Global Healthcare Conference	Business Wire	47.85	NASDAQ	2026-05-19 08:30:00.139192	0.2334	0.0138	0.7528	0.2196	positive	NO:sentiment_score	0.2457	0.1314	0.068	0.2457	0.082												6.71	2.13	50
RNXT	"[""RNXT""]"	nGNX1ls3Qk	2026-05-19 08:30:00	RenovoRx to Present at the Alliance Global Partners Virtual Annual Healthcare Company Showcase on May 20th	Globe Newswire	43.15	NASDAQ	2026-05-19 08:30:00.322572	0.2171	0.0222	0.7607	0.1949	positive	NO:sentiment_score	0.2718	0.3794	0.2372	0.7613	0.2905												0.81	2.53	58
HMR	"[""HMR""]"	nGNX6GQlV0	2026-05-19 08:30:00	Heidmar Maritime Holdings Corp. Grows Managed Fleet with Five Strategic Crude Tanker Additions Amid Record Market Conditions	Globe Newswire	5.24	NASDAQ	2026-05-19 08:30:00.370972	0.8631	0.0162	0.1207	0.8469	positive	YES	0.4942	0.553	0.3157	0.9019	0.4647												1.2	10.09	66
DPRO	"[""DPRO""]"	nGNX7x9P2F	2026-05-19 08:30:00	Draganfly Launches Draganfly Blitz™ Advanced Optical Payload Product Line to Address Growing Demand for Best-in-Class, NDAA-Compliant Integrated Gimbal Systems	Globe Newswire	36.35		2026-05-19 08:30:00.376014	0.7176	0.0116	0.2709	0.706	positive	YES	0.3739	0.4383	0.3201	0.7415	0.3852														43
