Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms	neutral_filter	confidence_weighted	net_score	top_k	positional	recommended
SLMT	"[""SLMT""]"	nBw7Y8ss8a	2026-05-04 07:00:00	Letter to Shareholders of Brera Holdings PLC (d/b/a Solmate Infrastructure)	Business Wire	44.62	0.1537	0.0275	0.8188	0.1263	positive	0.0026852846401718	NO:sentiment_score	NASDAQ	8.11	8.13					0.244	0.2841	0.244	0.244	0.3508	0.2841
MCRB	"[""MCRB""]"	nGNX3g78mQ	2026-05-04 07:00:00	Seres Therapeutics Presents Preclinical Data at Digestive Disease Week (DDW) 2026 Supporting SER-603, a Next-Generation Cultivated Live Biotherapeutic Candidate, for Inflammatory Bowel Disease	Globe Newswire	7.24	0.7591	0.0176	0.2232	0.7415	positive		NO:Trades/sec	NASDAQ	8.29	8.94					0.2893	0.3741	0.2893	0.2893	0.3824	0.3741
ARMP	"[""ARMP""]"	nPn5ZPCxVa	2026-05-04 07:00:00	"Armata Pharmaceuticals Announces Structural Biology Publication in ""Communications Biology"""	PR Newswire	11.27	0.1608	0.0217	0.8174	0.1391	positive		NO:sentiment_score,Trades/sec	NYSE American	10.85	19.76					0.3909	0.4871	0.2696	0.2696	0.2238	0.544
AZ	"[""AZ""]"	nPn4xZ0mSa	2026-05-04 07:00:02	A2Z Cust2Mate Solutions to Host First Quarter 2026 Financial Results Conference Call on Friday, May 15, 2026	PR Newswire	32.61	0.1245	0.0197	0.8558	0.1047	positive		NO:sentiment_score,Trades/sec	NASDAQ	7.79	5.13					0.06	0.0758	0.0771	0.0771	0.0785	0.06
ATRA	"[""ATRA""]"	nACSlHp5ga	2026-05-04 07:00:01	 ATRA INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	0.1917	0.1769	0.6315	0.0148	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.02	9.13					0.0288	0.029	0.025	0.4484	-0.023	0.0305
CNSP	"[""CNSP""]"	nACSVwCDSa	2026-05-04 07:00:03	CNS Pharmaceuticals Announces Oversubscribed $22.5 Million Private Placement Financing	ACCESSWIRE	0.7158	0.0376	0.8279	0.1344	-0.7903	negative		NO:sentiment_score,Trades/sec	NASDAQ	10.82	368.4					0.4322	0.5008	0.256	0.5303	0.4262	0.5751
FCHL	"[""FCHL""]"	nACS86LL8a	2026-05-04 07:00:03	FCHL SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Shareholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	0.1359	0.3299	0.5342	-0.194	negative		NO:sentiment_score,Trades/sec	NASDAQ	3.65	43.7					-0.0213	-0.0265	0.0027	0.3341	-0.0493	-0.0464
CHOW	"[""CHOW""]"	nACS6tP8Ja	2026-05-04 07:00:03	CHOW INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that ChowChow Cloud International Holdings Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	10.64	0.1335	0.1696	0.6969	-0.0361	neutral		NO:sentiment_score,Trades/sec	NYSE American	0.44	4.76					0.016	0.0262	0.0176	0.3292	-0.0283	0.0278
GEMI	"[""GEMI""]"	nACSL5qFga	2026-05-04 07:00:05	Class Action Litigation by Pomerantz LLP Filed Against Gemini Space Station, Inc.  – GEMI	ACCESSWIRE	38.2	0.1237	0.1149	0.7614	0.0087	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.0	5.26					-0.0384	-0.0579	-0.0055	0.809	0.0396	-0.0745
YOOV	"[""YOOV""]"	nACSJT2P5a	2026-05-04 07:00:07	CIGL INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Concorde International Group, Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	5.91	0.1527	0.2527	0.5946	-0.1	negative		NO:sentiment_score,Trades/sec	NASDAQ	1.63	4.49					0.0301	0.0226	0.0225	0.3341	-0.0205	0.0245
ZENA	"[""ZENA""]"	nNFC6B7cB7	2026-05-04 07:00:23	ZenaTech Files Early Warning Report Pursuant to National Instrument 61-103	Newsfile Corp	18.44	0.0793	0.0526	0.8681	0.0268	neutral		NO:sentiment_score,Trades/sec	NASDAQ	2.58	6.17					0.2216	0.2778	0.0973	0.2856	0.0918	0.4363
UGRO	"[""UGRO""]"	nGNX9mMwc9	2026-05-04 07:05:00	Galle Gallants Announce New Ownership Under Gallant Sports and Media LLC Within urban-gro / Flash Sports & Media / IPG–Operated LPL Season 6 Ecosystem; Pubudu Dassanayake Appointed Head Coach	Globe Newswire	1.01	0.1565	0.0183	0.8252	0.1383	positive	0.0125470514429109	NO:sentiment_score	NASDAQ	6.35	4.44					0.2692	0.2977	0.1968	0.3224	0.3505	0.3351
NXTC	"[""NXTC""]"	nGNX6dVjbk	2026-05-04 07:05:00	NextCure and Simcere Zaiming Initiate Dose Optimization for SIM0505 (CDH6 ADC) in Gynecologic Cancers	Globe Newswire	2.38	0.4226	0.0234	0.5541	0.3992	positive	0.0003711952487008	YES	NASDAQ	9.44	0.85					0.2611	0.4014	0.1868	0.519	0.3805	0.4562
RNAC	"[""RNAC""]"	nGNX8Gybwn	2026-05-04 07:05:00	Cartesian Therapeutics Announces New Employment Inducement Grants	Globe Newswire	9.59	0.2442	0.1366	0.6192	0.1076	positive		NO:sentiment_score,Trades/sec	NASDAQ	6.98	12.22					0.1984	0.1417	0.1145	0.1145	0.0826	0.1984
MCRP	"[""MCRP""]"	nGNX6zPn2n	2026-05-04 07:29:19	Micropolis Robotics Unveils New, Next-Generation, High-Endurance Robot at the Make it in the Emirates 2026 Industry Exhibition	Globe Newswire	10.32	0.2435	0.009	0.7474	0.2345	positive	0.0016770082173402	YES	NYSE American	2.95	8.46					0.4902	0.6558	0.4902	0.4902	0.2886	0.6558
FGNX	"[""FGNX""]"	nGNX7rqwz7	2026-05-04 07:30:00	FG Nexus Announces Formation of Special Committee to Evaluate Strategic Alternatives including a Potential Business Combination to Build a Leading Platform in Affordable Housing	Globe Newswire	5.3	0.6284	0.0145	0.3571	0.6138	positive	0.0009920634920634	YES	NASDAQ	6.89	7.49					0.4133	0.5635	0.4133	0.4133	0.3613	0.5635
KWM	"[""KWM""]"	nGNX6bY1K4	2026-05-04 07:30:00	K Wave Media Secures $485M to Launch AI Infrastructure Platform and Eliminates $48M in Debt	Globe Newswire	43.72	0.7931	0.0317	0.1752	0.7613	positive		NO:Trades/sec	NASDAQ	0.59	55.26					0.0	0.0192	0.0192	0.0192	0.0192	0.0
KIDZ	"[""KIDZ""]"	nACSXft9ya	2026-05-04 07:35:00	Classover Announces Strategic Collaboration With Vensin Computer Technology To Advance AI Robotics Education and Infrastructure	ACCESSWIRE	0.99	0.6871	0.0091	0.3038	0.678	positive	0.0701754385964912	YES	NASDAQ	1.02	43.66					0.611	0.3509	0.118	0.2406	0.2387	0.611
EVAX	"[""EVAX""]"	nGNE48vHPm	2026-05-04 08:00:00	Evaxion to announce business update and first quarter 2026 financial results on May 7, 2026	Globe Newswire	6.74	0.0752	0.0429	0.8818	0.0323	neutral	0.0002881014116969	NO:sentiment_score	NASDAQ	4.75	5.56					0.0907	0.0907	0.0907	0.0907	0.0907	0.0907
LENZ	"[""LENZ""]"	nGNXbxCVNl	2026-05-04 08:00:00	LENZ Therapeutics to Report First Quarter 2026 Financial Results and Recent Corporate Highlights on May 11, 2026 and Attend Upcoming Investor Conference	Globe Newswire	27.72	0.0628	0.031	0.9062	0.0318	neutral	0.0008090614886731	NO:sentiment_score	NASDAQ	9.53	6.01					0.189	0.1535	0.1155	0.1412	0.1169	0.1998
MIMI	"[""MIMI""]"	nGNE9j5ztg	2026-05-04 08:00:00	Mint Incorporation Limited Announces 1-for-10 Reverse Stock Split	Globe Newswire	12.7	0.0964	0.0252	0.8784	0.0712	positive		NO:sentiment_score,Trades/sec	NASDAQ	2.92	0.0					0.0	0.0829	0.0827	0.0827	0.0913	0.0
JRSH	"[""JRSH""]"	nACSQcYNya	2026-05-04 08:00:00	Jerash Holdings (US), Inc. Declares Quarterly Dividend	ACCESSWIRE	6.33	0.0951	0.0867	0.8181	0.0084	neutral		NO:sentiment_score,Trades/sec	NASDAQ	3.55	0.57					0.1869	0.1607	0.0789	0.1386	0.0949	0.2442
CLNN	"[""CLNN""]"	nGNX4fy73s	2026-05-04 08:00:01	After Successful FDA Meeting, Clene Filing Accelerated Approval NDA for ALS	Globe Newswire	8.53	0.6211	0.0226	0.3563	0.5985	positive	0.0066282420749279	YES	NASDAQ	9.78	62.46					0.1783	0.1841	0.1783	0.1783	0.2047	0.1841
LOBO	"[""LOBO""]"	nGNX7yV1fw	2026-05-04 08:00:01	LOBO Claw AI Agent Completes New Round of Upgrades with DeepSeek V4 Model Integration	Globe Newswire	11.23	0.7491	0.0087	0.2422	0.7403	positive		NO:Trades/sec	NASDAQ	0.67	6.35					0.5227	0.4376	0.2888	0.2888	0.5176	0.5227
OTH	"[""OTH""]"	nGNX2HG1fn	2026-05-04 08:00:02	Off The Hook Yachts to Announce 2026 First Quarter Financial and Operating Results on Thursday, May 14, 2026	Globe Newswire	3.45	0.1696	0.0492	0.7812	0.1203	positive		NO:sentiment_score,Trades/sec	NYSE American	2.98	9.96					0.1804	0.0642	0.0366	0.0854	0.0699	0.1804
NKLR	"[""NKLR""]"	nGNX9C6Cr0	2026-05-04 08:00:02	Terra Innovatum Expands U.S. Presence with Pittsburgh, Pa. Headquarters and Leadership Appointments to Advance SOLO™ Licensing Readiness and FOAK Deployment	Globe Newswire	21.74	0.4524	0.0111	0.5365	0.4413	positive		NO:Trades/sec	NASDAQ	6.41	3.55					0.572	0.5998	0.572	0.572	0.5241	0.5998
RYET	"[""RYET""]"	nGNX4H9cq0	2026-05-04 08:00:02	Ruanyun Edai Technology’s Saudi RHQ Signs MOU with Wadi Makkah, A Subsidiary of Umm Al-Qura University	Globe Newswire	12.73	0.576	0.0155	0.4085	0.5604	positive		NO:Trades/sec	NASDAQ	1.17	1.74					0.6966	0.6018	0.3506	0.4868	0.5844	0.6976
AGAE	"[""AGAE""]"	nGNXPRDxk	2026-05-04 08:00:02	Allied Gaming & Entertainment Announces Proposed Rebranding to “AI & FutureTech Alliance Limited (AIFA)” and Plans for Hainan Silicon Photonics AI Supercomputing Center, Supported by Convertible Notes Financing plan to Build a Global Optical Compute Network Platform	Globe Newswire	13.33	0.5948	0.0128	0.3924	0.582	positive		NO:Trades/sec	NASDAQ	0.76	31.03					0.3381	0.3044	0.2255	0.2255	0.0162	0.3442
KYTX	"[""KYTX""]"	nGNX87RtRp	2026-05-04 08:00:02	Kyverna Therapeutics Appoints Nadia Dac, Seasoned Commercial Leader in Neurology and Rare Disease, as Chief Commercial Officer	Globe Newswire	36.45	0.1569	0.02	0.8231	0.1369	positive		NO:sentiment_score,Trades/sec	NASDAQ	9.18	4.68					0.1078	0.1139	0.0968	0.1439	0.0589	0.1197
FDMT	"[""FDMT""]"	nGNXb28Yp3	2026-05-04 08:00:02	4DMT to Participate in Upcoming Investor Conferences	Globe Newswire	45.5	0.2175	0.0147	0.7678	0.2028	positive	0.0006643046944198	YES	NASDAQ	9.55	5.06					0.4822	0.4822	0.4822	0.4822	0.4822	0.4822
ACXP	"[""ACXP""]"	nPn7M37nGa	2026-05-04 08:00:05	Acurx Announces Scientific Poster Presentation of its DNA pol IIIC Inhibitors' Microbiome Evaluation at ESCMID Global 2026	PR Newswire	3.37	0.2025	0.0361	0.7614	0.1663	positive		NO:sentiment_score,Trades/sec	NASDAQ	2.24	1.82					0.2062	0.1759	0.1219	0.2062	0.1544	0.2223
DOMH	"[""DOMH""]"	nPn2dmnH6a	2026-05-04 08:00:08	Dominari Holdings Announces Record Date for Cash Dividend	PR Newswire	4.02	0.2322	0.0979	0.6699	0.1344	positive		NO:sentiment_score,Trades/sec	NASDAQ	3.35	11.67					0.6901	0.6526	0.416	0.6901	0.4757	0.6959
UP	"[""UP""]"	nPn5YNnyYa	2026-05-04 08:00:12	Wheels Up Announces Date of First Quarter 2026 Earnings Release	PR Newswire	22.37	0.0469	0.0575	0.8956	-0.0106	neutral		NO:sentiment_score,Trades/sec	NYSE	5.6	0.0					0.0171	0.0171	0.0171	0.0171	0.0171	0.0171
LOCL	"[""LOCL""]"	nPnbTXCL8a	2026-05-04 08:00:14	Local Bounti to Participate in the BMO Global Farm to Market Conference	PR Newswire	22.4	0.2764	0.0142	0.7094	0.2621	positive		NO:Trades/sec	NYSE	2.08	11.83										
SKYQ	"[""SKYQ""]"	nACSJz7gca	2026-05-04 08:00:42	Sky Quarry's 180-Million-Barrel Oil Sands Asset Subject to RFP for Accelerated Commercialization	ACCESSWIRE	2.98	0.2817	0.0087	0.7096	0.273	positive		NO:Trades/sec	NASDAQ	7.48	25.93					0.5519	0.5793	0.3446	0.6841	0.3982	0.6342
SPAI	"[""SPAI""]"	nGNX2j9HhY	2026-05-04 08:04:00	Safe Pro Launches New Growth Team Led by Brian Mack as Chief Growth Officer and Benjamin Chitty as VP of Government Growth	Globe Newswire	12.96	0.1657	0.0127	0.8216	0.153	positive	0.0019630938358853	NO:sentiment_score	NASDAQ	4.52	0.44					0.2565	0.2678	0.1192	0.4344	0.1732	0.3681
EZRA	"[""EZRA""]"	nGNX3H9Qmb	2026-05-04 08:17:00	Reliance Global Group Completes Transformative Investment in Late-Stage Radiopharmaceutical Innovator Innervate Through EZRA’s Biotech Division	Globe Newswire	7.47	0.6214	0.0098	0.3688	0.6117	positive	0.3739130434782609	YES	NASDAQ	8.33	20.72					0.6217	0.7091	0.6217	0.8658	0.6117	0.7091
DFDV	"[""DFDV""]"	nGNX42hXml	2026-05-04 08:30:00	DeFi Development Corp. Launches $200 Million At-The-Market Facility (ATM) to Buy More SOL	Globe Newswire	20.89	0.4494	0.0159	0.5348	0.4335	positive	0.0149988282165455	YES	NASDAQ	4.66	5.43					0.5303	0.4772	0.306	0.3822	0.3895	0.5532
BRFH	"[""BRFH""]"	nGNX5JSBrF	2026-05-04 08:30:00	Barfresh to Present at the LD Micro Invitational XVI	Globe Newswire	6.35	0.1627	0.0253	0.812	0.1375	positive		NO:sentiment_score,Trades/sec	NASDAQ	2.53	0.0					0.1409	0.0962	0.0699	0.0699	0.0734	0.1409
GLOO	"[""GLOO""]"	nBw9hZBwza	2026-05-04 08:30:00	Gloo Completes Acquisition of EnterpriseMarketdesk (EMD) Bringing AI-enabled Workday Services and Expertise to the Gloo Platform	Business Wire	5.2	0.7383	0.0082	0.2534	0.7301	positive	0.0024617067833698	YES	NASDAQ	7.5	6.69					0.5234	0.6066	0.4712	0.699	0.4892	0.6252
AGPU	"[""AGPU""]"	nGNXgSmV5	2026-05-04 08:30:00	Axe Compute Inc. (NASDAQ: AGPU) CEO Chris Miglino to Appear on Schwab Network May 4 and Cheddar May 6	Globe Newswire	3.87	0.0661	0.0509	0.883	0.0152	neutral	0.0311244979919678	NO:sentiment_score	NASDAQ	5.73	4.75					0.3668	0.4025	0.2353	0.4341	0.28	0.481
ABEO	"[""ABEO""]"	nGNXbQFnr1	2026-05-04 08:30:00	Abeona Therapeutics® Announces Date of First Quarter Financial Results	Globe Newswire	48.32	0.1911	0.1289	0.68	0.0622	positive	0.000876347384103	NO:sentiment_score	NASDAQ	6.13	12.89					0.162	0.1429	0.0898	0.2756	0.0895	0.2017
FBLG	"[""FBLG""]"	nGNX9nmdqt	2026-05-04 08:30:00	FibroBiologics Announces Release of CYWC628 Drug Product for Phase 1/2 Diabetic Foot Ulcer Clinical Trial	Globe Newswire	2.93	0.3372	0.0337	0.6291	0.3035	positive		NO:Trades/sec	NASDAQ	1.7	23.19					0.372	0.4538	0.2363	0.742	0.3497	0.52
REFR	"[""REFR""]"	nGNX2Pgs0W	2026-05-04 08:30:00	RESEARCH FRONTIERS TO HOST FIRST QUARTER 2026 CONFERENCE CALL	Globe Newswire	27.11	0.1093	0.0231	0.8676	0.0862	positive		NO:sentiment_score,Trades/sec	NASDAQ	0.94	4.44					0.1171	0.0602	0.0515	0.0658	0.0522	0.1171
FBIO	"[""FBIO""]"	nGNX61gFgZ	2026-05-04 08:30:00	Fortress Biotech to Participate in the H.C. Wainwright 2nd Annual Royalty Company Virtual Conference	Globe Newswire	24.68	0.2369	0.0159	0.7472	0.221	positive		NO:Trades/sec	NASDAQ	2.42	4.76					0.2951	0.4511	0.2951	0.3901	0.2791	0.4511
NNVC	"[""NNVC""]"	nACSPjjC9a	2026-05-04 08:30:00	NV-387 for The Treatment of Measles is Granted Orphan Drug Designation by The US FDA 	ACCESSWIRE	20.99	0.743	0.0308	0.2261	0.7122	positive	0.0038860103626943	YES	NYSE American	1.59	22.31					0.357	0.3918	0.1738	0.5709	0.2719	0.4962
NIVF	"[""NIVF""]"	nGNX55QBQp	2026-05-04 08:30:00	NewGen Provides Update on Fiscal Year 2025 Results and Strategic Progress	Globe Newswire	0.5685	0.0758	0.0291	0.895	0.0467	neutral		NO:sentiment_score,Trades/sec	NASDAQ	3.01	81.33					0.4372	0.4502	0.4372	0.4372	0.4621	0.4502
ATOS	"[""ATOS""]"	nPn95gscNa	2026-05-04 08:30:00	Atossa Therapeutics Receives FDA Rare Pediatric Disease Designation for (Z)-Endoxifen for McCune-Albright Syndrome	PR Newswire	8.52	0.7026	0.0147	0.2827	0.6879	positive		NO:Trades/sec	NASDAQ	6.0	17.88					0.2872	0.2421	0.1935	0.1935	0.2979	0.2891
NEOV	"[""NEOV""]"	nGNXbRh9gp	2026-05-04 08:30:00	NeoVolta Announces Timing of Third Quarter Fiscal 2026 Earnings Release and Conference Call	Globe Newswire	33.62	0.0574	0.0483	0.8943	0.0091	neutral		NO:sentiment_score,Trades/sec	NASDAQ	2.8	1.82					0.2937	0.3679	0.2147	0.2937	0.1389	0.3934
JAGX	"[""JAGX""]"	nACSpcjSFa	2026-05-04 08:30:01	Jaguar Health Expands Neonorm Franchise with Introduction of Neonorm Dog for Companion Animal Gut Health	ACCESSWIRE	9.03	0.6733	0.0103	0.3164	0.6631	positive		NO:Trades/sec	NASDAQ	6.74	0.9					0.3614	0.3018	0.1673	0.3614	0.3634	0.3961
DRIO	"[""DRIO""]"	nPn1zfbJKa	2026-05-04 08:30:04	DarioHealth to Report First Quarter 2026 Results on Wednesday, May 13, 2026	PR Newswire	5.81	0.059	0.0504	0.8905	0.0086	neutral		NO:sentiment_score,Trades/sec	NASDAQ	7.63	4.52					0.2493	0.0997	0.0556	0.1067	0.0496	0.2493
SRI	"[""SRI""]"	nPn4Lkz8Ma	2026-05-04 08:30:05	Stoneridge, Inc. to Broadcast its First Quarter 2026 Conference Call on the Web	PR Newswire	27.13	0.0672	0.0167	0.9161	0.0505	positive		NO:sentiment_score,Trades/sec	NYSE	6.92	1.17					0.162	0.0806	0.0622	0.0854	0.0632	0.162
DAIC	"[""DAIC""]"	nACSpXWgka	2026-05-04 08:31:00	Dot Ai to Host First Quarter 2026 Earnings Call on May 11 at 4:30 p.m. Eastern Time	ACCESSWIRE	23.33	0.0438	0.0321	0.9241	0.0117	neutral	0.000901645503043	NO:sentiment_score	NASDAQ	0.22	10.0					0.0448	0.0252	0.0228	0.0315	0.0233	0.0448
ATLX	"[""ATLX""]"	nGNX4DNWvG	2026-05-04 08:35:00	Atlas Lithium Corporation to Present at the Precious Metals & Critical Minerals Virtual Investor Conference May 5th	Globe Newswire	19.17	0.1198	0.0245	0.8557	0.0954	positive	0.0097703957010258	NO:sentiment_score	NASDAQ	5.71	3.07					0.5351	0.5266	0.2916	0.5351	0.2949	0.6186
GEMI	"[""GEMI""]"	nNFC73njBl	2026-05-04 08:36:21	INVESTOR ALERT: Berger Montague Advises Gemini Space Station, Inc. (GEMI) Investors to Inquire About a Securities Fraud Class Action by May 18, 2026	Newsfile Corp	38.2	0.1675	0.0836	0.7489	0.0838	positive	0.027063599458728	NO:sentiment_score	NASDAQ	5.0	5.26					-0.1036	-0.2328	-0.0437	0.4234	-0.0575	-0.2738
KLC	"[""KLC""]"	nBw8pTcTka	2026-05-04 08:37:00	KinderCare Celebrates Teachers with Child Care Tuition Support	Business Wire	30.46	0.2572	0.0516	0.6912	0.2056	positive	0.000372995151063	YES	NYSE	4.42	4.25					0.4011	0.5166	0.4011	0.4011	0.5843	0.5166
WKSP	"[""WKSP""]"	nACSM1cJna	2026-05-04 08:46:01	Worksport (NASDAQ:WKSP) Invited to Present at D. Boral 2026 Global Conference	ACCESSWIRE	9.27	0.1119	0.0128	0.8753	0.0991	positive	0.0006771314250538	NO:sentiment_score	NASDAQ	1.16	5.45					0.5607	0.5691	0.31	0.8019	0.3076	0.6446
GYRE	"[""GYRE""]"	nGNX9nVvYN	2026-05-04 08:47:47	Gyre Therapeutics Completes Acquisition of Cullgen to Create U.S.- and China-based Fully Integrated Biopharmaceutical Company	Globe Newswire	12.94	0.1911	0.0156	0.7933	0.1755	positive	0.0014792899408284	NO:sentiment_score	NASDAQ	8.05	2.55					0.0905	0.0905	0.0905	0.0905	0.0905	0.0905
OWLT	"[""OWLT""]"	nBw2WMghsa	2026-05-04 08:50:00	Owlet Gives Moms the Ultimate Mother's Day Gift: More Confidence and Peace of Mind 	Business Wire	15.17	0.2495	0.042	0.7085	0.2075	positive	0.0007824726134585	YES	NYSE	4.97	2.69					0.0	0.063	0.063	0.063	0.063	0.0
FOXX	"[""FOXX""]"	nGNX53fLTW	2026-05-04 09:00:00	Foxx Development Regains Compliance with Nasdaq Minimum Market Value of Listed Securities Requirement	Globe Newswire	1.25	0.8817	0.0205	0.0978	0.8612	positive		NO:Trades/sec	NASDAQ	4.96	1.43					0.1754	0.1425	0.0893	0.0893	0.1063	0.1754
XXII	"[""XXII""]"	nGNX9dmxfk	2026-05-04 09:00:00	22nd Century Group to Announce First Quarter 2026 Results on May 7, 2026	Globe Newswire	0.7	0.0837	0.0542	0.8621	0.0296	neutral	0.1875	NO:sentiment_score	NASDAQ	1.02	17.24					0.0988	0.0988	0.0988	0.0988	0.0988	0.0988
NAII	"[""NAII""]"	nGNX2B8PWR	2026-05-04 09:00:01	CarnoSyn® Brands Expands TriBsyn® Applications Across Beverage, Dairy, and Medical Nutrition	Globe Newswire	5.03	0.2148	0.0104	0.7748	0.2044	positive	0.0003599064243296	YES	NASDAQ	2.76	1.47										
MCHX	"[""MCHX""]"	nBwbxNJK2a	2026-05-04 09:00:01	Marchex to Report First Quarter 2026 Financial Results on Wednesday, May 13, 2026	Business Wire	36.17	0.0589	0.054	0.8871	0.0049	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.75	1.16					0.4428	0.4125	0.2033	0.4428	0.1813	0.5154
TYGO	"[""TYGO""]"	nBw84xyRda	2026-05-04 09:00:01	Tigo Energy Breaks Global Growth Benchmark; Boosts U.S. Energy Feature in Predict+	Business Wire	43.41	0.9074	0.0153	0.0773	0.8921	positive		NO:Trades/sec	NASDAQ	5.01	5.47					0.5189	0.5219	0.5189	0.5189	0.4903	0.5219
III	"[""III""]"	nBwdNpY8a	2026-05-04 09:00:01	End-to-End Platforms Unify Customer Experience, ISG says	Business Wire	33.28	0.1853	0.0102	0.8046	0.1751	positive	0.0002783654381471	NO:sentiment_score	NASDAQ	4.25	3.16					0.3106	0.3488	0.2234	0.6922	0.2489	0.3932
