Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger	DailyHigh($)	DailyHigh(%)
TRAW	"[""TRAW""]"	nGNX30twHf	2026-05-15 07:00:00	Traws Pharma Provides Business Highlights and Reports Q1 2026 Financial Results	Globe Newswire	7.74	NASDAQ	2026-05-15 07:00:00.463345	0.0787	0.067	0.8543	0.0116	neutral	NO:sentiment_score	1.65	0.61
NTRB	"[""NTRB"", ""NTRBW""]"	nGNXbZRF64	2026-05-15 07:00:00	Nutriband Inc to Showcase Expanding AI Wellness Product Portfolio and New June Product Launches at ECRM Conference	Globe Newswire	4.93	NASDAQ	2026-05-15 07:00:00.554785	0.6953	0.0102	0.2946	0.6851	positive	NO:sentiment_score	3.51	-2.23
NTRBW	"[""NTRB"", ""NTRBW""]"	nGNXbZRF64	2026-05-15 07:00:00	Nutriband Inc to Showcase Expanding AI Wellness Product Portfolio and New June Product Launches at ECRM Conference	Globe Newswire		NASDAQ	2026-05-15 07:00:00.556501	0.6953	0.0102	0.2946	0.6851	positive	NO:sentiment_score,Float		
TIL	"[""TIL""]"	nGNX9BtmYX	2026-05-15 07:00:00	Instil Bio Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	4.02	NASDAQ	2026-05-15 07:00:00.655683	0.0795	0.0346	0.8859	0.0449	neutral	NO:sentiment_score	8.37	4.1
JG	"[""JG""]"	nGNXQcW8y	2026-05-15 07:00:00	Aurora Mobile’s AI-Native Solution Drives 24/7 Real Estate Conversions for Japan’s Axios Management	Globe Newswire	4.32	NASDAQ	2026-05-15 07:00:00.684541	0.2255	0.0127	0.7618	0.2128	positive	NO:sentiment_score		
BTAI	"[""BTAI""]"	nGNXbGpf2m	2026-05-15 07:00:00	BioXcel Therapeutics Provides Business Update and  Reports First Quarter 2026 Financial Results	Globe Newswire	26.02	NASDAQ	2026-05-15 07:00:00.775563	0.0682	0.0635	0.8683	0.0047	neutral	NO:sentiment_score	1.22	1.67
PPBT	"[""PPBT""]"	nGNX7nm7TR	2026-05-15 07:00:01	Purple Biotech Reports First Quarter 2026 Financial Results and Business Highlights	Globe Newswire	0.93		2026-05-15 07:00:01.101457	0.1471	0.0347	0.8183	0.1124	positive	NO:sentiment_score		
TARA	"[""TARA""]"	nGNX7hsP38	2026-05-15 07:00:01	Protara Therapeutics Announces Positive Updated 12-Month Data Demonstrating Durable Responses in the Fully Enrolled BCG-Naïve Cohort of the Ongoing Phase 2 ADVANCED-2 Trial of TARA-002 in NMIBC 	Globe Newswire	49.3	NASDAQ	2026-05-15 07:00:01.162182	0.805	0.0617	0.1333	0.7433	positive	YES	5.4	3.85
INDP	"[""INDP""]"	nGNX7qJrZV	2026-05-15 07:00:01	Indaptus Therapeutics Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	0.03	NASDAQ	2026-05-15 07:00:01.893496	0.0832	0.0386	0.8782	0.0446	neutral	NO:sentiment_score	2.04	16.57
MHH	"[""MHH""]"	nPn6L5Mjja	2026-05-15 07:00:02	Mastech Digital Reports First Quarter 2026 Results	PR Newswire	3.76	NYSE AMERICAN	2026-05-15 07:00:02.786464	0.0559	0.0461	0.898	0.0098	neutral	NO:sentiment_score	7.46	5.22
YOOV	"[""YOOV""]"	nACShjYMja	2026-05-15 07:00:03	CIGL INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Concorde International Group, Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	5.91	NASDAQ	2026-05-15 07:00:03.077738	0.1527	0.2527	0.5946	-0.1	negative	NO:sentiment_score	1.22	10.91
ATRA	"[""ATRA""]"	nACSyk3KXa	2026-05-15 07:00:03	ATRA INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	NASDAQ	2026-05-15 07:00:03.473568	0.1917	0.1769	0.6315	0.0148	neutral	NO:sentiment_score	9.8	-0.51
FCHL	"[""FCHL""]"	nACSJ1cjXa	2026-05-15 07:00:04	FCHL INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	NASDAQ	2026-05-15 07:00:04.069547	0.1637	0.2242	0.612	-0.0605	negative	NO:sentiment_score	2.68	10.29
EZGO	"[""EZGO""]"	nPn911YvCa	2026-05-15 07:00:04	EZGO Announces 1-for-150 Reverse Share Split Effective May 19, 2026	PR Newswire	20.72	NASDAQ	2026-05-15 07:00:04.170435	0.0437	0.039	0.9173	0.0047	neutral	NO:sentiment_score	0.03	0.0
GEMI	"[""GEMI""]"	nACSt6lcJa	2026-05-15 07:00:04	GEMI STOCKHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Gemini Space Station, Inc. Investors with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	38.2	NASDAQ	2026-05-15 07:00:04.493799	0.1648	0.2114	0.6238	-0.0467	neutral	NO:sentiment_score	7.33	15.43
ELAB	"[""ELAB""]"	nGNX1Hd1Fp	2026-05-15 07:02:00	PMGC Holdings Inc. [NASDAQ: ELAB] Reports Q1 2026 Results and Files Form 10-Q; Total Assets Reach Over $26.0 Million, Up 102% from Year-End 2025 and 193% Year-over-Year	Globe Newswire	4.43	NASDAQ	2026-05-15 07:02:00.201707	0.9249	0.0218	0.0533	0.9031	positive	YES	2.32	16.58
TE	"[""TE""]"	nGNE4C5bNc	2026-05-15 07:04:23	REG-Technip Energies receives Full Notice To Proceed on major EPC contract with Commonwealth LNG in the United States	Globe Newswire	202.05	EURONEXT PARIS	2026-05-15 07:04:23.174120	0.8607	0.0149	0.1244	0.8457	positive	NO:Float		
RAC	"[""RAC""]"	nPnFTMRka	2026-05-15 07:06:31	Racura Oncology Announces Positive Safety Review Committee Recommendation in ongoing CPACS Clinical Trial	PR Newswire	23.0	ASX	2026-05-15 07:06:31.563293	0.8932	0.0192	0.0876	0.8741	positive	YES		
PRSO	"[""PRSO""]"	nGNEqMXxL	2026-05-15 07:06:58	REG-Prosafe SE: Safe Caledonia contract signed with Ithaca Energy	Globe Newswire	12.12	OSLO BØRS	2026-05-15 07:06:58.155005	0.714	0.0106	0.2753	0.7034	positive	YES		
SUUN	"[""SUUN"", ""SUNN""]"	nPn8jdskSa	2026-05-15 07:07:00	PowerBank Announces Third Quarter Results	PR Newswire	42.61	NASDAQ	2026-05-15 07:07:00.201680	0.1304	0.1264	0.7432	0.004	neutral	NO:sentiment_score	0.7	4.48
SUNN	"[""SUUN"", ""SUNN""]"	nPn8jdskSa	2026-05-15 07:07:00	PowerBank Announces Third Quarter Results	PR Newswire		NASDAQ	2026-05-15 07:07:00.203669	0.1304	0.1264	0.7432	0.004	neutral	NO:sentiment_score,Float		
BRAI	"[""BRAI""]"	nPRrF3080a	2026-05-15 07:15:12	REG-BlackRock American Income Trust Plc: Net Asset Value(s)	PR Newswire	17.7	LSE	2026-05-15 07:15:12.037687	0.0711	0.0375	0.8914	0.0336	neutral	NO:sentiment_score		
ARAI	"[""ARAI""]"	nACSlBHrBa	2026-05-15 07:28:00	Arrive AI Announces First Quarter 2026 Results and Highlights Operational Progress Toward Commercial Scale	ACCESSWIRE	8.3	NASDAQ	2026-05-15 07:28:00.938472	0.5763	0.0217	0.402	0.5546	positive	NO:sentiment_score	0.75	1.35
MTA	"[""MTA""]"	nPn5NTYDqa	2026-05-15 07:30:00	METALLA ANNOUNCES NOMINATION OF SANDEEP SINGH TO THE BOARD IN CONNECTION WITH ITS UPCOMING AGM	PR Newswire	69.75	NYSE AMERICAN	2026-05-15 07:30:00.193268	0.0903	0.0232	0.8865	0.0671	positive	NO:sentiment_score,Float	7.54	2.17
AXG	"[""AXG""]"	nGNX416Njj	2026-05-15 07:30:00	SOLOWIN HOLDINGS (AXG)’s AX Coin and INFINIOS Sign Strategic MOU to Collaborate on Regulated Wallet Infrastructure and Digital Payment Solutions	Globe Newswire	46.01	NASDAQ	2026-05-15 07:30:00.359038	0.7855	0.0116	0.2029	0.7739	positive	YES	3.6	0.0
PFSA	"[""PFSA""]"	nGNE3jYgcF	2026-05-15 07:30:00	Profusa Announces Listing Transfer to The Nasdaq Capital Market	Globe Newswire	4.22	NASDAQ	2026-05-15 07:30:00.390706	0.0998	0.0171	0.8831	0.0827	positive	NO:sentiment_score	0.44	0.0
RENX	"[""RENX""]"	nGNX1ZLhYB	2026-05-15 07:30:00	RenX Enterprises Corp. Reports First Quarter 2026 Results: Logistics Segment Achieves Profitability, Consolidated Revenue Reaches $3.96 Million with 20.5% Quarter-over-Quarter Growth	Globe Newswire	2.3	NASDAQ	2026-05-15 07:30:00.563825	0.9406	0.0212	0.0382	0.9195	positive	YES	2.27	7.08
SLE	"[""SLE""]"	nGNX7X85vj	2026-05-15 07:30:00	Super League Reports First Quarter 2026 Financial Results, Advancing Transition from Corporate Restructuring to Operational Execution	Globe Newswire	1.13	NASDAQ	2026-05-15 07:30:00.571845	0.7037	0.0337	0.2626	0.67	positive	NO:sentiment_score	7.1	74.45
ANVS	"[""ANVS""]"	nGNX2j64jT	2026-05-15 07:30:00	Annovis Provides Corporate Updates and Reports First Quarter 2026 Financial Results	Globe Newswire	28.68	NYSE	2026-05-15 07:30:00.874987	0.0684	0.0716	0.86	-0.0033	neutral	NO:sentiment_score	2.13	-0.47
CREX	"[""CREX""]"	nGNXb5m6z1	2026-05-15 07:30:01	Creative Realities Reports Fiscal 2026 First Quarter Results	Globe Newswire	9.09	NASDAQ	2026-05-15 07:30:01.173289	0.1101	0.0751	0.8148	0.0351	neutral	NO:sentiment_score	3.75	-3.6
LMFA	"[""LMFA""]"	nGNXbhqjfB	2026-05-15 07:30:01	LM Funding America, Inc. Reports First Quarter 2026 Financial Results	Globe Newswire	14.38	NASDAQ	2026-05-15 07:30:01.343711	0.0956	0.1104	0.794	-0.0148	neutral	NO:sentiment_score	0.26	0.0
